gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	11 	949 	
YAL068W-A 	3 	8 	
PAU8 	3 	50 	
YAL067W-A 	5 	50 	
SEO1 	37 	3190 	
YAL066W 	10 	359 	
YAL065C 	8 	555 	
YAL064W-B 	5 	69 	
TDA8 	7 	245 	
YAL064W 	6 	103 	
YAL063C-A 	5 	61 	
FLO9 	43 	3028 	
GDH3 	114 	15277 	
BDH2 	64 	7440 	
BDH1 	45 	2516 	
YAL059C-A 	16 	721 	
ECM1 	17 	1048 	
CNE1 	59 	5730 	
YAL056C-A 	17 	1685 	
GPB2 	101 	9182 	
PEX22 	24 	1418 	
ACS1 	83 	4960 	
FLC2 	64 	2945 	
OAF1 	81 	3701 	
AIM2 	23 	1508 	
GEM1 	76 	2996 	
YAL047W-A 	21 	909 	
SPC72 	4 	292 	
AIM1 	8 	141 	
YAL045C 	8 	299 	
YAL044W-A 	10 	617 	
GCV3 	29 	2590 	
PTA1 	14 	279 	
YAL042C-A 	26 	2304 	
ERV46 	79 	8303 	
CDC24 	8 	283 	
CLN3 	19 	621 	
CYC3 	87 	13064 	
CDC19 	2 	1 	
YAL037C-B 	2 	1 	
YAL037C-A 	11 	818 	
YAL037W 	36 	1668 	
RBG1 	57 	2924 	
FUN12 	13 	185 	
YAL034C-B 	22 	2601 	
MTW1 	11 	105 	
FUN19 	59 	2105 	
POP5 	7 	33 	
PRP45 	49 	5522 	
YAL031W-A 	13 	970 	
GIP4 	71 	4333 	
SNC1 	16 	630 	
MYO4 	148 	8306 	
FRT2 	75 	3511 	
SAW1 	34 	1471 	
YAL026C-A 	14 	407 	
DRS2 	92 	2236 	
MAK16 	1 	0 	
LTE1 	35 	719 	
PMT2 	80 	5806 	
FUN26 	70 	7592 	
CCR4 	72 	3826 	
ATS1 	60 	7109 	
YAL019W-A 	38 	8272 	
FUN30 	73 	3144 	
LDS1 	39 	1195 	
PSK1 	128 	8810 	
YAL016C-B 	17 	150 	
YAL016C-A 	7 	440 	
TPD3 	1 	0 	
NTG1 	81 	10843 	
SYN8 	46 	4529 	
DEP1 	60 	1679 	
CYS3 	13 	109 	
SWC3 	78 	3138 	
MDM10 	13 	181 	
SPO7 	40 	1294 	
FUN14 	42 	5312 	
ERP2 	48 	5002 	
SSA1 	69 	4611 	
YAL004W 	15 	667 	
EFB1 	1 	0 	
