Strain ID;Systematic gene name;Allele/Gene name;Single mutant fitness (26°);Single mutant fitness (26°) stddev;Single mutant fitness (30°);Single mutant fitness (30°) stddev;;;;;
YAL001C_damp174;YAL001C;tfc3_damp;0,9395;0,0988;0,9395;0,0988;;;;;
YAL001C_tsa508;YAL001C;tfc3-g349e;0,8658;0,1789;0,8285;0,1964;;;;;
YAL001C_tsq508;YAL001C;tfc3-g349e;0,8658;0,1789;0,8285;0,1964;;;;;
YAL002W_dma23;YAL002W;vps8;0,764;0,0773;0,764;0,0773;;;;;
YAL002W_sn273;YAL002W;vps8;0,764;0,0773;0,764;0,0773;;;;;
YAL004W_dma22;YAL004W;yal004w;1,009;0,0227;1,009;0,0227;;;;;
YAL005C_dma21;YAL005C;ssa1;1,0405;0,0109;1,0405;0,0109;;;;;
YAL007C_dma20;YAL007C;erp2;1,026;0,0769;1,026;0,0769;;;;;
YAL007C_sn184;YAL007C;erp2;1,026;0,0769;1,026;0,0769;;;;;
YAL008W_dma19;YAL008W;fun14;1,0445;0,0746;1,0445;0,0746;;;;;
YAL008W_sn2532;YAL008W;fun14;1,0445;0,0746;1,0445;0,0746;;;;;
YAL009W_sn1073;YAL009W;spo7;0,9165;0,0205;0,9165;0,0205;;;;;
YAL010C_dma18;YAL010C;mdm10;0,6365;0,2067;0,6365;0,2067;;;;;
YAL010C_sn2699;YAL010C;mdm10;0,6365;0,2067;0,6365;0,2067;;;;;
YAL011W_dma17;YAL011W;swc3;0,9;0,1487;0,9;0,1487;;;;;
YAL011W_sn1778;YAL011W;swc3;0,9;0,1487;0,9;0,1487;;;;;
YAL012W_damp1259;YAL012W;cys3_damp;0,94;0,003;0,94;0,003;;;;;
YAL012W_sn4470;YAL012W;cys3;0,668;0,1347;0,668;0,1347;;;;;
YAL013W_dma16;YAL013W;dep1;0,832;0,1288;0,832;0,1288;;;;;
YAL013W_sn2007;YAL013W;dep1;0,832;0,1288;0,832;0,1288;;;;;
YAL014C_dma15;YAL014C;syn8;1,0182;0,0989;1,0182;0,0989;;;;;
YAL014C_sn4677;YAL014C;syn8;1,0182;0,0989;1,0182;0,0989;;;;;
YAL015C_dma14;YAL015C;ntg1;1,0345;0,0176;1,0345;0,0176;;;;;
YAL015C_sn1277;YAL015C;ntg1;1,0345;0,0176;1,0345;0,0176;;;;;
YAL016C-B_sn4628;YAL016C-B;yal016c-b;0,9975;0,0328;0,9975;0,0328;;;;;
YAL017W_dma13;YAL017W;psk1;0,9895;0,0227;0,9895;0,0227;;;;;
YAL017W_sn2937;YAL017W;psk1;0,9895;0,0227;0,9895;0,0227;;;;;
YAL018C_dma35;YAL018C;lds1;1,023;0,0603;1,023;0,0603;;;;;
YAL018C_sn3084;YAL018C;lds1;1,023;0,0603;1,023;0,0603;;;;;
YAL019W_dma34;YAL019W;fun30;0,959;0,1306;0,959;0,1306;;;;;
YAL019W_sn1217;YAL019W;fun30;0,959;0,1306;0,959;0,1306;;;;;
YAL020C_dma33;YAL020C;ats1;0,9842;0,0466;0,9842;0,0466;;;;;
YAL020C_sn1168;YAL020C;ats1;0,9842;0,0466;0,9842;0,0466;;;;;
YAL021C_damp1297;YAL021C;ccr4_damp;0,996;0,0365;0,996;0,0365;;;;;
YAL021C_sn1991;YAL021C;ccr4;0,446;0,0152;0,446;0,0152;;;;;
YAL022C_dma32;YAL022C;fun26;0,9872;0,0714;0,9872;0,0714;;;;;
YAL022C_sn2248;YAL022C;fun26;0,9872;0,0714;0,9872;0,0714;;;;;
YAL023C_dma31;YAL023C;pmt2;1,0708;0,0277;1,0708;0,0277;;;;;
YAL023C_sn870;YAL023C;pmt2;1,0708;0,0277;1,0708;0,0277;;;;;
YAL024C_dma5246;YAL024C;lte1-supp1;0,946;0,0108;0,946;0,0108;;;;;
YAL024C_sn1594;YAL024C;lte1;0,898;0,0523;0,898;0,0523;;;;;
YAL025C_damp1;YAL025C;mak16_damp;0,972;0,0201;0,972;0,0201;;;;;
YAL025C_tsa1066;YAL025C;mak16-5001;0,6862;0,0636;0,5532;0,0586;;;;;
YAL025C_tsq1295;YAL025C;mak16-5001;0,6862;0,0636;0,5532;0,0586;;;;;
YAL026C_dma30;YAL026C;drs2-supp1;0,692;0,0467;0,692;0,0467;;;;;
YAL027W_dma29;YAL027W;saw1;1,0277;0,039;1,0277;0,039;;;;;
YAL027W_sn3723;YAL027W;saw1;1,0277;0,039;1,0277;0,039;;;;;
YAL028W_dma28;YAL028W;frt2;0,9822;0,0888;0,9822;0,0888;;;;;
YAL028W_sn1011;YAL028W;frt2;0,9822;0,0888;0,9822;0,0888;;;;;
YAL029C_dma27;YAL029C;myo4;1,0277;0,0282;1,0277;0,0282;;;;;
YAL029C_sn833;YAL029C;myo4;1,0277;0,0282;1,0277;0,0282;;;;;
YAL030W_dma26;YAL030W;snc1;1,052;0,046;1,052;0,046;;;;;
YAL030W_sn178;YAL030W;snc1;1,052;0,046;1,052;0,046;;;;;
YAL031C_dma25;YAL031C;gip4;1,0028;0,0864;1,0028;0,0864;;;;;
YAL032C_damp176;YAL032C;prp45_damp;1,0405;0,0141;1,0405;0,0141;;;;;
YAL032C_tsq2549;YAL032C;prp45-5002;0,9091;0,0107;NaN;NaN;;;;;
YAL033W_tsq2933;YAL033W;pop5-5005;NaN;NaN;NaN;NaN;;;;;
YAL033W_tsq2934;YAL033W;pop5-5006;NaN;NaN;NaN;NaN;;;;;
YAL034C_dma47;YAL034C;fun19;1,003;0,0611;1,003;0,0611;;;;;
YAL034C_sn3064;YAL034C;fun19;1,003;0,0611;1,003;0,0611;;;;;
YAL034W-A_tsa235;YAL034W-A;mtw1-ts;0,887;0,1131;0,8447;0,1529;;;;;
YAL034W-A_tsq1259;YAL034W-A;mtw1-ts;0,887;0,1131;0,8447;0,1529;;;;;
YAL036C_dma46;YAL036C;rbg1;1,0055;0,0248;1,0055;0,0248;;;;;
YAL036C_sn3892;YAL036C;rbg1;1,0055;0,0248;1,0055;0,0248;;;;;
YAL037C-A_sn4629;YAL037C-A;yal037c-a;1,012;0,0399;1,012;0,0399;;;;;
YAL037W_dma45;YAL037W;yal037w;1,021;0,0481;1,021;0,0481;;;;;
YAL038W_tsa34;YAL038W;cdc19-1;0,9005;0,1055;0,876;0,1287;;;;;
YAL038W_tsq26;YAL038W;cdc19-1;0,9005;0,1055;0,876;0,1287;;;;;
YAL039C_sn2635;YAL039C;cyc3;0,7895;0,0576;0,7895;0,0576;;;;;
YAL040C_dma44;YAL040C;cln3;0,9575;0,0447;0,9575;0,0447;;;;;
YAL040C_sn1334;YAL040C;cln3;0,9575;0,0447;0,9575;0,0447;;;;;
YAL041W_tsa148;YAL041W;cdc24-11;0,8262;0,1187;0,5439;0,2775;;;;;
YAL041W_tsa149;YAL041W;cdc24-4;0,9709;0,0295;0,9207;0,1221;;;;;
YAL041W_tsa304;YAL041W;cdc24-5;0,9389;0,0057;0,6956;0,0983;;;;;
YAL041W_tsa408;YAL041W;cdc24-1;0,9201;0,1112;0,7312;0,1524;;;;;
YAL041W_tsa410;YAL041W;cdc24-2;0,9999;0,0468;0,8919;0,1224;;;;;
YAL041W_tsa412;YAL041W;cdc24-3;0,9543;0,0484;0,8861;0,0323;;;;;
