Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	31	823
YAL068W-A	10	76
PAU8	29	384
YAL067W-A	18	243
SEO1	55	2026
YAL066W	25	959
YAL065C	36	1069
YAL064W-B	16	296
TDA8	16	530
YAL064W	18	358
YAL063C-A	12	290
FLO9	191	6865
GDH3	140	5845
BDH2	132	7450
BDH1	62	2371
YAL059C-A	23	968
ECM1	30	1321
CNE1	73	2804
YAL056C-A	21	769
GPB2	79	1214
PEX22	28	1549
ACS1	106	4434
FLC2	65	1943
OAF1	101	3287
AIM2	37	1146
GEM1	74	3015
YAL047W-A	14	734
SPC72	19	390
BOL3	21	1150
YAL045C	17	618
BOL1	22	781
GCV3	21	563
PTA1	26	314
YAL042C-A	23	532
ERV46	69	2544
CDC24	21	318
CLN3	23	299
CYC3	99	1912
CDC19	18	231
YAL037C-B	15	144
YAL037C-A	11	367
YAL037W	48	1316
RBG1	48	1247
FUN12	21	453
YAL034C-B	27	1631
MTW1	20	499
FUN19	56	1638
POP5	4	16
PRP45	38	1112
YAL031W-A	16	780
GIP4	78	2817
SNC1	28	876
MYO4	127	4401
FRT2	51	2186
SAW1	48	1133
YAL026C-A	25	493
DRS2	136	3121
MAK16	5	38
LTE1	75	1565
PMT2	62	1456
FUN26	84	2973
CCR4	56	2223
ATS1	61	2512
YAL019W-A	58	3392
FUN30	107	2970
LDS1	47	1452
PSK1	143	5145
YAL016C-B	22	607
YAL016C-A	15	834
TPD3	13	178
NTG1	70	2069
SYN8	41	1696
DEP1	29	260
CYS3	38	445
SWC3	71	3136
MDM10	29	588
SPO7	34	242
FUN14	46	1685
ERP2	46	2772
SSA1	229	7417
YAL004W	36	698
EFB1	3	3
VPS8	224	13623
TFC3	42	1184
NUP60	73	1562
ERP1	44	1897
SWD1	47	689
RFA1	8	123
SEN34	10	207
BUD14	107	4407
ADE1	6	93
KIN3	60	1091
CDC15	28	835
YAR019W-A	48	2793
PAU7	11	286
YAR023C	30	1131
UIP3	45	2253
YAR028W	37	2505
YAR029W	5	21
YAR030C	17	373
PRM9	60	2620
MST28	70	2573
YAT1	350	14165
YAR035C-A	15	427
SWH1	124	3399
YAR047C	0	0
FLO1	218	8688
YAR053W	3	32
YAR060C	14	243
YAR064W	34	518
YAR066W	15	260
YAR068W	13	120
YAR069C	28	649
YAR070C	8	185
PHO11	54	1790
IMD1	14	124
YAR075W	3	2
YBL113C	227	2076
YBL113W-A	80	737
YBL112C	33	302
YBL111C	338	5470
YBL109W	45	1399
PAU9	18	150
YBL108W	17	599
YBL107W-A	12	40
MIX23	29	618
SRO77	73	2194
PKC1	48	1305
SEA4	108	2721
RTG3	38	939
SFT2	24	355
ECM21	100	3363
YBL100W-C	14	579
YBL100C	4	4
ATP1	15	131
BNA4	47	1770
BRN1	45	1707
YBL096C	25	1047
MRX3	23	1017
YBL094C	8	124
ROX3	21	1480
RPL32	3	4
SCS22	21	579
MAP2	30	1114
MRP21	14	184
AVT5	38	1220
TEL1	202	5615
RPL23A	40	999
YBL086C	12	257
BOI1	59	1494
CDC27	22	808
YBL083C	4	20
ALG3	28	511
YBL081W	37	961
PET112	31	559
NUP170	109	4610
ATG8	4	15
YBL077W	12	434
ILS1	25	387
SSA3	104	3486
AAR2	37	1040
YBL073W	23	964
RPS8A	13	91
YBL071C-B	6	46
KTI11	3	8
YBL071C	16	349
YBL070C	13	294
AST1	43	1412
YBL068W-A	8	342
PRS4	23	688
UBP13	39	1647
SEF1	67	1290
