Gene name	Number of transposons per gene	Number of reads per gene
TFC3	26	459
EFB1	1	0
MAK16	5	56
PRP45	36	1652
POP5	4	24
YAL034C-B	36	3090
MTW1	14	274
CDC19	12	156
CDC24	24	692
PTA1	21	353
RFA1	1	0
SEN34	11	336
CDC15	29	398
HTA2	28	1032
UTP20	52	775
RRN6	36	712
POP8	8	296
RFT1	17	231
MCM2	21	313
LSM2	3	40
PET9	17	149
STU1	61	1114
POL12	24	882
ERD2	21	387
PRE7	5	25
SEC17	10	160
YBL073W	27	1639
AAR2	27	900
ILS1	21	178
YBL077W	15	673
CDC27	20	413
RPL32	2	9
BRN1	34	992
SFT2	15	304
PKC1	35	1083
RER2	14	888
GPI18	10	237
HHF1	12	93
IPP1	23	763
SCO2	45	2588
CDS1	28	497
CHS2	37	867
REB1	25	436
PRP6	37	1295
TSC3	3	2
ORC2	20	530
ALG14	4	18
RPG1	44	641
SEC18	19	251
RFC5	7	36
POL30	4	6
YBR089W	1	0
TIM12	0	0
EXO84	34	593
CMD1	3	4
ALG1	7	70
GRS1	0	0
TFC1	16	120
YBR124W	13	713
CKS1	4	59
MEC1	54	1342
IRA1	70	1342
MAK5	25	569
SUP45	12	88
SPP381	13	442
RIB7	6	16
RPB5	5	11
CNS1	6	9
AMN1	32	1297
CDC28	6	98
POP7	5	18
YBR190W	15	266
RIM2	6	27
MED8	4	189
PGI1	10	49
TAF5	24	440
MCM7	20	338
AME1	9	85
DAD3	2	20
ARC40	12	257
ABD1	19	473
PRP5	23	485
ALG7	7	62
ENP1	12	117
DUT1	3	100
SRB6	7	79
TRS20	5	26
RIB5	11	87
POP4	9	132
TSC10	9	158
PGS1	24	879
NFS1	15	209
RRP7	18	281
YCL041C	53	466
PDI1	26	564
PBN1	20	524
SPB1	45	644
KRR1	11	203
HMLALPHA2	3	3
PGK1	7	116
YCR013C	9	64
RRP43	5	25
MATALPHA2	3	2
RSC6	14	193
CTR86	25	682
PWP2	35	955
RSA4	21	216
CDC39	67	2116
HMRA2	2	1
MCD1	12	45
ATP16	8	51
RPT2	14	160
APC11	12	128
SLX5	42	778
NOP1	2	1
TSC13	8	80
YDL016C	5	442
CDC7	24	940
MPS1	36	1115
ARP2	4	24
PRP9	15	142
DBP10	28	1295
PRP11	11	141
FAD1	9	36
PSA1	8	51
USO1	53	1498
TSR1	24	929
UBC9	14	168
COX9	5	51
SUB2	10	68
LUC7	12	170
SRP14	18	632
RPN6	13	269
SNU23	10	290
POL3	28	864
QRI1	7	43
NSE4	7	75
KIN28	12	323
RRP42	14	219
YFH1	2	42
CDC48	40	999
CDC53	32	521
SCM3	4	20
RPO21	47	1121
BPL1	21	521
CCT4	12	179
COP1	24	232
RPN5	9	75
NOP14	52	882
RPC53	12	93
YDL152W	17	408
SAS10	6	39
CLB3	29	1143
YDL163W	8	166
CDC9	24	503
CDC36	9	51
FAP7	5	10
NUS1	4	61
SEC31	22	441
YDL196W	37	1717
HEM3	29	697
GLE1	12	191
NHP2	1	0
CWC2	8	62
SHR3	3	6
TIM22	6	204
CDC13	45	2311
YDL221W	40	2296
YPD1	1	0
YRB1	3	2
PSF1	1	0
DAD1	2	2
FAL1	10	167
SES1	13	82
KRS1	19	469
RSM10	6	173
HEM13	2	16
RPC11	4	31
BAP3	45	2224
HEM12	22	329
TPI1	1	0
DBF4	17	172
YDR053W	4	7
CDC34	8	172
MAK21	22	312
LCB2	11	87
RPS13	8	102
PDC2	10	65
STN1	21	837
SSS1	1	0
RRP1	3	12
SLU7	12	182
RLI1	12	89
PDS1	13	112
APC4	29	363
INO2	12	96
DOP1	36	557
TAF12	7	94
CTH1	19	531
SSY1	13	358
SEC1	33	716
SEC5	34	497
TAF10	11	320
CDC37	23	386
SEC7	63	2048
SUP35	19	368
UBC1	9	165
SCC2	33	650
CDC1	20	229
YDR187C	15	406
CCT6	21	441
SLY1	12	107
RVB1	9	68
CAB5	7	85
SPC19	2	37
MSS4	45	1329
GCD6	20	380
TCP1	17	439
HTB1	8	30
PCF11	6	99
COX20	20	524
HEM1	15	141
RTN1	10	101
PRP42	4	93
FMN1	6	14
SEC26	27	650
SNU56	11	222
PRP28	16	208
TRS23	14	165
CIA1	13	348
RRP45	9	282
NSE3	11	162
SRP101	22	468
BFR2	12	141
CFT1	37	698
GPI11	4	10
RSC3	25	194
SRB7	1	0
TFB1	25	492
UTP4	13	202
YCG1	39	998
YDR327W	4	27
SKP1	5	79
GPI8	12	77
FCF1	1	0
YDR341C	17	226
TRR1	4	28
YDR355C	2	1
SPC110	16	124
BCP1	15	323
TFC6	29	781
ESF1	10	81
KEI1	6	18
FRQ1	3	2
ARH1	11	199
YRA1	11	128
SAC7	24	661
UBA2	12	107
RPT3	12	213
YDR396W	7	106
NCB2	7	106
UTP5	8	42
RPB7	0	0
TRS120	43	929
RRP17	1	0
YDR413C	1	0
SYF1	32	804
RPL12B	8	207
RPN9	9	87
TIF35	3	2
GPI17	12	277
GPI19	2	6
UTP6	15	309
GUK1	0	0
TFB3	7	23
SPP41	23	378
TLG1	7	85
UGO1	17	174
TRS31	6	44
PRP3	27	297
SNM1	4	16
RIB3	5	32
SLD5	19	423
SEC20	10	70
LCD1	22	439
PSP1	18	356
SMT3	4	14
YDR526C	2	2
RBA50	16	292
CAB1	22	468
WBP1	16	400
MMS21	16	214
SNU13	1	0
MCM3	27	365
HYP2	7	20
UTR5	79	3431
POL5	19	187
PCM1	15	506
PMI40	18	184
YND1	115	8016
NUG1	27	638
SEC3	72	2708
NTF2	1	0
PRE1	5	21
PRP22	49	2162
BIM1	40	1778
SPC25	13	284
RPN3	24	415
SRB4	26	1072
PRO3	5	20
GCD11	6	101
ARB1	13	70
KRE29	9	163
SAH1	20	427
ISD11	5	42
FCY21	27	1076
YOS1	1	0
UTP7	18	321
TSC11	55	2274
PUP3	5	119
RTT105	14	491
MAM1	8	127
LSM4	4	7
RSP5	19	300
NSA2	10	86
LCP5	9	302
GLC7	7	114
GDI1	14	166
LSM5	4	28
SCC4	41	1045
SPT15	13	261
COG3	24	668
BUR6	4	51
PAB1	10	130
CCA1	15	362
RAD3	20	360
BRR2	69	1526
SPB4	20	486
SEC4	4	4
SMC1	31	561
CDC4	39	1098
GNA1	9	157
SMX2	1	0
FRS2	18	284
EPL1	43	705
CAK1	9	60
MOB2	22	341
TUB2	29	627
YPT1	5	15
ACT1	13	211
SEC53	3	11
NIC96	55	2031
YPI1	5	20
RPN11	8	57
SAD1	9	115
ECO1	4	19
CDC14	21	832
PTR3	47	1018
SMC2	27	485
RSC8	19	378
KEG1	3	4
PRE4	17	237
RET2	51	2545
RPN12	11	96
ERG26	12	260
PMA1	13	169
SCL1	10	50
PUF4	69	3303
JAC1	10	141
STT3	38	938
RPL30	3	8
HEM2	9	54
RNA15	9	161
ALG13	2	7
RPT6	4	13
OLE1	13	214
DUO1	15	407
ALG2	14	141
MNP1	5	20
YGL069C	5	20
HSF1	50	2665
YGL074C	14	661
MPS2	14	585
NBP35	16	363
NUP145	40	1137
SPC105	28	442
SRM1	16	141
USE1	1	0
LSG1	9	166
YGL102C	4	35
RPL28	8	96
NSA1	10	109
TAF6	1	0
SLD3	20	228
CDC20	19	288
PRP43	32	952
NAB2	12	361
RPS2	0	0
CWC23	5	9
