Gene name	Number of transposons per gene	Number of reads per gene
TFC3	31	979
EFB1	2	2
MAK16	2	2
PRP45	30	918
POP5	2	2
YAL034C-B	27	3215
MTW1	10	103
CDC19	12	101
CDC24	28	815
PTA1	24	338
RFA1	5	21
SEN34	19	368
CDC15	29	664
HTA2	25	660
UTP20	45	1331
RRN6	29	625
POP8	14	387
RFT1	15	293
MCM2	21	284
LSM2	4	31
PET9	16	170
STU1	59	2116
POL12	28	893
ERD2	18	410
PRE7	5	25
SEC17	12	181
YBL073W	26	2904
AAR2	38	1213
ILS1	22	387
YBL077W	16	394
CDC27	24	715
RPL32	3	14
BRN1	23	395
SFT2	26	870
PKC1	35	1320
RER2	17	477
GPI18	9	222
HHF1	11	31
IPP1	16	172
SCO2	55	1631
CDS1	20	291
CHS2	33	883
REB1	33	689
PRP6	45	1438
TSC3	3	33
ORC2	24	564
ALG14	9	38
RPG1	46	670
SEC18	24	415
RFC5	4	16
POL30	4	23
YBR089W	4	23
TIM12	1	0
EXO84	30	690
CMD1	2	1
ALG1	4	120
GRS1	0	0
TFC1	9	85
YBR124W	19	471
CKS1	7	89
MEC1	94	3107
IRA1	74	944
MAK5	42	1139
SUP45	13	198
SPP381	17	427
RIB7	5	39
RPB5	2	1
CNS1	6	22
AMN1	33	979
CDC28	7	45
POP7	5	30
YBR190W	17	88
RIM2	7	20
MED8	3	70
PGI1	11	176
TAF5	19	215
MCM7	19	567
AME1	9	123
DAD3	2	1
ARC40	12	228
ABD1	16	791
PRP5	31	776
ALG7	4	7
ENP1	8	31
DUT1	3	36
SRB6	10	389
TRS20	5	19
RIB5	5	22
POP4	5	18
TSC10	14	282
PGS1	26	1308
NFS1	16	163
RRP7	21	629
YCL041C	52	370
PDI1	28	664
PBN1	19	487
SPB1	43	1114
KRR1	9	191
HMLALPHA2	8	13
PGK1	3	26
YCR013C	4	233
RRP43	1	0
MATALPHA2	8	8
RSC6	10	245
CTR86	28	589
PWP2	26	751
RSA4	26	397
CDC39	66	2259
HMRA2	7	9
MCD1	19	335
ATP16	2	12
RPT2	17	269
APC11	14	108
SLX5	29	421
NOP1	6	10
TSC13	6	52
YDL016C	7	258
CDC7	20	847
MPS1	36	1433
ARP2	6	28
PRP9	14	174
DBP10	22	301
PRP11	16	233
FAD1	8	100
PSA1	7	51
USO1	58	1445
TSR1	25	755
UBC9	5	26
COX9	3	6
SUB2	11	159
LUC7	14	139
SRP14	18	662
RPN6	15	215
SNU23	10	233
POL3	30	620
QRI1	6	60
NSE4	7	80
KIN28	9	335
RRP42	8	71
YFH1	3	3
CDC48	23	1123
CDC53	25	603
SCM3	6	129
RPO21	43	889
BPL1	19	462
CCT4	12	101
COP1	21	190
RPN5	10	199
NOP14	37	1203
RPC53	9	187
YDL152W	13	370
SAS10	15	109
CLB3	32	1955
YDL163W	10	185
CDC9	25	700
CDC36	10	50
FAP7	3	6
NUS1	9	289
SEC31	14	310
YDL196W	42	1958
HEM3	17	371
GLE1	14	884
NHP2	2	7
CWC2	3	17
SHR3	5	76
TIM22	4	9
CDC13	45	2013
YDL221W	46	2577
YPD1	2	14
YRB1	3	2
PSF1	0	0
DAD1	2	1
FAL1	9	153
SES1	7	12
KRS1	24	595
RSM10	3	11
HEM13	4	31
RPC11	0	0
BAP3	48	1409
HEM12	23	286
TPI1	2	1
DBF4	20	147
YDR053W	3	7
CDC34	8	120
MAK21	28	758
LCB2	11	86
RPS13	8	121
PDC2	17	335
STN1	23	504
SSS1	1	0
RRP1	4	8
SLU7	9	177
RLI1	10	103
PDS1	6	52
APC4	24	448
INO2	17	460
DOP1	40	845
TAF12	5	94
CTH1	18	280
SSY1	16	231
SEC1	23	224
SEC5	29	296
TAF10	5	80
CDC37	18	758
SEC7	55	932
SUP35	13	311
UBC1	18	331
SCC2	40	1384
CDC1	16	380
YDR187C	13	222
CCT6	24	662
SLY1	15	259
RVB1	9	231
CAB5	7	38
SPC19	2	1
MSS4	31	465
GCD6	18	168
TCP1	4	4
HTB1	10	43
PCF11	7	295
COX20	22	565
HEM1	16	188
RTN1	16	217
PRP42	7	92
FMN1	5	21
SEC26	22	252
SNU56	6	160
PRP28	10	344
TRS23	8	225
CIA1	24	560
RRP45	11	158
NSE3	8	102
SRP101	21	818
BFR2	11	124
CFT1	38	626
GPI11	5	92
RSC3	21	332
SRB7	7	153
TFB1	12	178
UTP4	11	128
YCG1	30	921
YDR327W	2	1
SKP1	7	41
GPI8	10	86
FCF1	0	0
YDR341C	21	235
TRR1	3	4
YDR355C	3	3
SPC110	27	789
BCP1	15	374
TFC6	33	1028
ESF1	10	143
KEI1	8	106
