Gene name	Number of transposons per gene	Number of reads per gene
TFC3	39	1747
EFB1	3	6
MAK16	8	65
PRP45	33	753
POP5	4	50
YAL034C-B	31	1797
MTW1	16	342
CDC19	22	675
CDC24	26	423
PTA1	23	378
RFA1	7	145
SEN34	13	202
CDC15	33	585
HTA2	38	1151
UTP20	50	1070
RRN6	34	623
POP8	9	185
RFT1	20	303
MCM2	22	379
LSM2	6	39
PET9	16	251
STU1	59	1919
POL12	29	1091
ERD2	19	792
PRE7	5	40
SEC17	8	147
YBL073W	24	942
AAR2	36	1448
ILS1	20	342
YBL077W	20	753
CDC27	25	778
RPL32	4	30
BRN1	36	948
SFT2	31	597
PKC1	35	692
RER2	29	2078
GPI18	20	222
HHF1	13	298
IPP1	17	358
SCO2	28	1108
CDS1	29	559
CHS2	42	989
REB1	21	228
PRP6	46	1282
TSC3	1	0
ORC2	23	393
ALG14	9	17
RPG1	48	1121
SEC18	15	399
RFC5	6	52
POL30	4	28
YBR089W	3	25
TIM12	3	4
EXO84	50	1479
CMD1	1	0
ALG1	5	45
GRS1	1	0
TFC1	18	426
YBR124W	23	541
CKS1	4	24
MEC1	120	3571
IRA1	91	1926
MAK5	38	975
SUP45	10	37
SPP381	16	377
RIB7	9	72
RPB5	2	3
CNS1	7	48
AMN1	37	2040
CDC28	6	20
POP7	5	6
YBR190W	9	179
RIM2	7	30
MED8	4	18
PGI1	9	84
TAF5	26	536
MCM7	24	710
AME1	14	204
DAD3	3	14
ARC40	15	432
ABD1	14	626
PRP5	26	464
ALG7	7	65
ENP1	5	44
DUT1	3	7
SRB6	5	29
TRS20	6	72
RIB5	9	58
POP4	6	93
TSC10	13	412
PGS1	34	1119
NFS1	19	424
RRP7	11	140
YCL041C	42	180
PDI1	42	1161
PBN1	23	461
SPB1	45	950
KRR1	9	65
HMLALPHA2	6	16
PGK1	8	85
YCR013C	10	106
RRP43	6	58
MATALPHA2	6	13
RSC6	12	154
CTR86	29	679
PWP2	32	993
RSA4	23	324
CDC39	61	1483
HMRA2	4	3
MCD1	22	262
ATP16	6	21
RPT2	10	97
APC11	17	611
SLX5	57	1010
NOP1	7	28
TSC13	7	57
YDL016C	12	443
CDC7	30	411
MPS1	38	1140
ARP2	7	14
PRP9	20	349
DBP10	21	276
PRP11	11	64
FAD1	7	57
PSA1	5	57
USO1	64	2182
TSR1	26	314
UBC9	14	205
COX9	9	120
SUB2	14	88
LUC7	6	24
SRP14	23	953
RPN6	14	114
SNU23	14	255
POL3	29	393
QRI1	8	248
NSE4	7	77
KIN28	12	153
RRP42	13	85
YFH1	9	195
CDC48	20	1186
CDC53	25	298
SCM3	8	94
RPO21	61	1073
BPL1	23	425
CCT4	14	154
COP1	25	213
RPN5	9	48
NOP14	44	1030
RPC53	14	315
YDL152W	14	191
SAS10	12	147
CLB3	36	1575
YDL163W	9	168
CDC9	36	546
CDC36	5	16
FAP7	8	122
NUS1	6	31
SEC31	46	1141
YDL196W	50	2389
HEM3	23	479
GLE1	10	72
NHP2	1	0
CWC2	4	10
SHR3	7	290
TIM22	3	2
CDC13	53	1292
YDL221W	53	1965
YPD1	0	0
YRB1	1	0
PSF1	4	18
DAD1	3	15
FAL1	11	319
SES1	10	400
KRS1	30	566
RSM10	5	9
HEM13	4	54
RPC11	2	3
BAP3	58	1820
HEM12	27	452
TPI1	1	0
DBF4	18	201
YDR053W	2	4
CDC34	7	57
MAK21	25	528
LCB2	15	201
RPS13	7	22
PDC2	16	294
STN1	19	690
SSS1	0	0
RRP1	4	29
SLU7	14	301
RLI1	13	100
PDS1	11	151
APC4	34	824
INO2	11	431
DOP1	43	1148
TAF12	11	77
CTH1	32	783
SSY1	15	234
SEC1	32	423
SEC5	26	389
TAF10	5	189
CDC37	24	293
SEC7	61	1213
SUP35	16	146
UBC1	10	86
SCC2	37	748
CDC1	22	293
YDR187C	21	364
CCT6	23	598
SLY1	17	191
RVB1	7	51
CAB5	9	106
SPC19	2	4
MSS4	48	670
GCD6	20	188
