Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	40	843
YAL068W-A	9	129
PAU8	25	211
YAL067W-A	17	317
SEO1	54	2201
YAL066W	22	1755
YAL065C	30	1218
YAL064W-B	22	553
TDA8	16	475
YAL064W	14	391
YAL063C-A	10	571
FLO9	214	7846
GDH3	134	4751
BDH2	131	7071
BDH1	67	3331
YAL059C-A	21	500
ECM1	30	839
CNE1	77	3509
YAL056C-A	22	967
GPB2	80	1801
PEX22	29	1466
ACS1	104	4577
FLC2	73	1627
OAF1	92	3381
AIM2	33	1621
GEM1	94	4201
YAL047W-A	19	520
SPC72	14	202
BOL3	15	562
YAL045C	18	460
BOL1	20	493
GCV3	26	530
PTA1	23	378
YAL042C-A	24	515
ERV46	68	1943
CDC24	26	423
CLN3	21	437
CYC3	111	2789
CDC19	22	675
YAL037C-B	12	400
YAL037C-A	10	681
YAL037W	44	1647
RBG1	47	1166
FUN12	20	248
YAL034C-B	31	1797
MTW1	16	342
FUN19	55	2305
POP5	4	50
PRP45	33	753
YAL031W-A	19	628
GIP4	81	3171
SNC1	26	988
MYO4	137	5951
FRT2	47	1658
SAW1	53	1230
YAL026C-A	22	302
DRS2	129	4619
MAK16	8	65
LTE1	74	2191
PMT2	58	1316
FUN26	84	3543
CCR4	50	1416
ATS1	59	2772
YAL019W-A	64	3956
FUN30	103	3584
LDS1	46	1582
PSK1	149	4725
YAL016C-B	19	905
YAL016C-A	15	679
TPD3	12	73
NTG1	70	2766
SYN8	45	2414
DEP1	29	338
CYS3	37	620
SWC3	70	3120
MDM10	33	635
SPO7	31	518
FUN14	48	1508
ERP2	45	1874
SSA1	233	7534
YAL004W	39	678
EFB1	3	6
VPS8	206	13778
TFC3	39	1747
NUP60	70	2292
ERP1	48	1933
SWD1	37	1009
RFA1	7	145
SEN34	13	202
BUD14	110	3788
ADE1	6	13
KIN3	45	921
CDC15	33	585
YAR019W-A	50	2367
PAU7	9	223
YAR023C	29	1909
UIP3	46	2296
YAR028W	51	2806
YAR029W	4	48
YAR030C	14	530
PRM9	59	2456
MST28	78	3319
YAT1	373	16655
YAR035C-A	16	584
SWH1	115	4653
YAR047C	0	0
FLO1	235	12130
YAR053W	2	4
YAR060C	15	117
YAR064W	36	407
YAR066W	14	145
YAR068W	12	167
YAR069C	25	764
YAR070C	11	125
PHO11	50	1211
IMD1	20	518
YAR075W	4	15
YBL113C	220	2151
YBL113W-A	91	957
YBL112C	37	284
YBL111C	322	5592
YBL109W	46	1656
PAU9	16	170
YBL108W	19	783
YBL107W-A	12	27
MIX23	27	672
SRO77	80	2450
PKC1	35	692
SEA4	99	2591
RTG3	30	741
SFT2	31	597
ECM21	102	3355
YBL100W-C	13	598
YBL100C	4	3
ATP1	13	113
BNA4	45	1736
BRN1	36	948
YBL096C	28	1346
MRX3	25	1366
YBL094C	7	78
ROX3	26	1208
RPL32	4	30
SCS22	19	299
MAP2	32	770
MRP21	19	607
AVT5	43	1077
TEL1	182	5635
RPL23A	36	914
YBL086C	15	315
BOI1	61	1210
CDC27	25	778
YBL083C	2	2
ALG3	22	333
YBL081W	41	1034
PET112	33	728
NUP170	110	3499
ATG8	4	14
YBL077W	20	753
ILS1	20	342
SSA3	109	2927
AAR2	36	1448
YBL073W	24	942
RPS8A	9	118
YBL071C-B	4	5
KTI11	4	41
YBL071C	9	54
YBL070C	14	278
AST1	44	1465
YBL068W-A	8	301
PRS4	27	1018
UBP13	41	2097
SEF1	75	1375
YBL065W	25	657
PRX1	30	684
KIP1	97	4058
YBL062W	9	131
SKT5	38	1083
YEL1	56	1385
CMC2	5	29
YBL059W	20	381
SHP1	32	914
PTH2	31	1603
PTC3	43	2445
YBL055C	61	2029
TOD6	49	2013
YBL053W	11	324
SAS3	43	1371
PIN4	41	587
SEC17	8	147
MOH1	13	270
RRT1	3	6
EDE1	80	2052
PSY4	50	1928
COR1	13	108
YBL044W	64	4238
ECM13	52	1478
FUI1	76	2501
PRE7	5	40
ERD2	19	792
YBL039W-B	5	83
URA7	53	1574
YBL039C-A	0	0
MRPL16	15	176
APL3	86	3434
YBL036C	28	1241
POL12	29	1091
STU1	59	1919
RIB1	20	441
HEK2	42	1018
SHE1	34	1423
PET9	16	251
YBL029C-A	23	368
YBL029W	97	4454
YBL028C	15	436
RPL19B	12	127
LSM2	6	39
RRN10	4	28
NCL1	41	2769
MCM2	22	379
PIM1	66	1213
HAP3	13	170
RFT1	20	303
APN2	87	2796
POP8	9	185
PEP1	164	5351
FUS3	74	3220
ACH1	79	3087
RRN6	34	623
FMT1	199	11827
YBL012C	33	1453
SCT1	88	3212
YBL010C	39	1346
ALK2	87	3051
YBL008W-A	25	719
HIR1	91	1834
SLA1	63	1272
LDB7	40	1214
YBL006W-A	14	311
PDR3	174	9664
UTP20	50	1070
HTA2	38	1151
HTB2	45	2120
ECM15	34	1844
NTH2	164	8649
RER2	29	2078
COQ1	35	719
GPI18	20	222
RCR1	69	3138
UGA2	147	8850
DSF2	175	9675
FLR1	159	9610
HHF1	13	298
HHT1	26	474
IPP1	17	358
YBR012C	14	219
YBR013C	37	1450
GRX7	19	432
MNN2	54	796
YBR016W	35	1297
KAP104	28	483
GAL7	60	4015
GAL10	133	5175
GAL1	94	3935
FUR4	63	2234
POA1	39	1969
CHS3	37	550
SCO2	28	1108
OLA1	40	926
ETR1	34	926
YBR027C	40	1703
YPK3	45	950
CDS1	29	559
RKM3	40	1691
RPL4A	26	486
YBR032W	48	1751
EDS1	117	5131
HMT1	28	940
PDX3	32	824
CSG2	15	163
SCO1	17	331
CHS2	42	989
ATP3	19	385
FIG1	25	455
FAT1	22	351
CST26	33	924
QDR3	66	2498
TCM62	56	1427
GIP1	53	1684
ZTA1	24	409
FMP23	18	755
RPS11B	25	433
REB1	21	228
REG2	21	387
YBR051W	8	134
RFS1	38	1067
YBR053C	26	1826
YRO2	50	1980
PRP6	46	1282
YBR056W	57	1946
YBR056W-A	12	213
YBR056C-B	11	208
MUM2	28	670
UBP14	41	1023
TSC3	1	0
AKL1	74	3685
ORC2	23	393
TRM7	24	597
YBR062C	15	265
YBR063C	19	279
YBR064W	8	34
ECM2	20	585
NRG2	26	621
TIP1	13	106
BAP2	81	3284
TAT1	56	1812
ALG14	9	17
YBR071W	35	1071
HSP26	28	926
YBR072C-A	21	286
RDH54	53	1550
PFF1	64	3123
ECM8	54	3728
YBR076C-A	32	1633
SLM4	13	103
ECM33	19	571
RPG1	48	1121
SEC18	15	399
SPT7	56	1343
UBC4	25	1120
TEC1	54	2115
MIS1	78	3447
RPL19A	24	488
AAC3	22	1011
YBR085C-A	12	304
IST2	62	2282
RFC5	6	52
POL30	4	28
YBR089W	3	25
NHP6B	7	56
YBR090C	54	935
TIM12	3	4
PHO3	31	1246
PHO5	32	1071
PBY1	61	1463
RXT2	20	212
YBR096W	11	264
VPS15	52	1160
MMS4	47	1040
YBR099C	8	97
FES1	12	126
EXO84	50	1479
SIF2	40	1959
YBR103C-A	19	775
YMC2	30	2236
VID24	39	722
PHO88	28	607
IML3	14	112
AIM3	64	3385
CMD1	1	0
YBR109W-A	13	324
ALG1	5	45
YSA1	19	543
SUS1	4	9
CYC8	36	592
YBR113W	14	264
RAD16	79	2873
LYS2	108	3309
YBR116C	41	1308
TKL2	80	2884
TEF2	53	1053
MUD1	15	158
CBP6	1	0
GRS1	1	0
YBR121C-A	0	0
MRPL36	9	79
TFC1	18	426
YBR124W	23	541
PTC4	22	420
TPS1	25	586
YBR126W-A	19	591
YBR126W-B	11	353
VMA2	12	80
ATG14	47	1145
OPY1	9	132
SHE3	11	557
CCZ1	22	256
YBR131C-A	0	0
AGP2	44	1844
HSL7	39	764
YBR134W	23	975
CKS1	4	24
MEC1	120	3571
YBR137W	9	389
YBR138C	31	802
YBR139W	43	1963
IRA1	91	1926
BMT2	38	1418
YBR141W-A	2	14
MAK5	38	975
SUP45	10	37
YBR144C	50	2992
ADH5	37	1193
MRPS9	15	290
RTC2	32	1135
YSW1	53	1159
ARA1	28	828
TBS1	80	2674
APD1	28	937
SPP381	16	377
RIB7	9	72
RPB5	2	3
CNS1	7	48
SLI15	17	397
ICS2	23	787
AMN1	37	2040
IFA38	17	347
CDC28	6	20
CSH1	20	266
TOS1	42	2219
YSY6	2	10
EXO5	21	411
ARL1	5	48
UBS1	16	257
TYR1	44	1421
POP7	5	6
PEX32	30	1121
SSE2	50	1303
NPL4	27	759
SEC66	5	76
SMY2	40	1039
UMP1	2	1
YBR174C	6	141
SWD3	12	277
ECM31	8	115
EHT1	45	1410
YBR178W	31	621
FZO1	55	1253
DTR1	48	1533
RPS6B	8	45
SMP1	17	331
YBR182C-A	7	138
YPC1	25	1111
YBR184W	41	1485
MBA1	14	138
PCH2	54	2629
GDT1	18	616
NTC20	9	106
RPS9B	4	11
YBR190W	9	179
RPL21A	10	113
YBR191W-A	0	0
RIM2	7	30
MED8	4	18
AIM4	9	180
MSI1	34	1194
PGI1	9	84
YBR196C-A	18	255
YBR196C-B	7	746
YBR197C	38	1890
TAF5	26	536
KTR4	27	734
BEM1	24	632
YBR200W-A	2	2
DER1	10	411
YBR201C-A	3	35
MCM7	24	710
COS111	76	2024
LDH1	34	824
KTR3	30	692
YBR206W	9	153
FTH1	42	1298
DUR1,2	120	4710
YBR209W	38	2527
ERV15	6	156
AME1	14	204
NGR1	40	1130
MET8	40	1075
SDS24	53	2451
HPC2	32	220
YBP1	25	452
ATG12	8	77
PYC2	84	3190
YBR219C	48	1978
YBR220C	48	1876
PDB1	19	704
YBR221W-A	27	881
PCS60	47	1047
TDP1	44	1702
YBR223W-A	11	242
YBR224W	24	554
YBR225W	33	472
YBR226C	9	165
MCX1	30	717
SLX1	22	978
ROT2	74	2756
OM14	17	377
YBR230W-A	19	921
SWC5	25	820
YBR232C	10	140
PBP2	31	890
DAD3	3	14
ARC40	15	432
VHC1	75	2134
ABD1	14	626
PRP5	26	464
YBR238C	40	1721
ERT1	56	1778
THI2	45	2418
YBR241C	79	2554
YBR242W	19	638
ALG7	7	65
GPX2	14	289
ISW1	78	3423
RRT2	40	2133
ENP1	5	44
HIS7	34	729
ARO4	20	954
SPO23	29	725
MRPS5	23	383
DUT1	3	7
SRB6	5	29
TRS20	6	72
MTC4	42	1087
YBR255C-A	13	266
RIB5	9	58
POP4	6	93
SHG1	11	197
YBR259W	60	2078
RGD1	60	1648
TAE1	17	645
MIC12	11	415
SHM1	33	698
YPT10	11	193
TSC10	13	412
REI1	26	653
SLM6	3	63
MRPL37	5	34
SDH8	8	39
BIT2	30	839
EFM2	40	999
HSM3	20	365
UBX7	39	1250
CHK1	26	907
RIF1	123	4965
PPS1	48	1711
YBR277C	17	421
DPB3	22	467
PAF1	21	661
SAF1	41	1607
DUG2	46	846
MRPL27	4	8
SSH1	30	590
YBR284W	53	1662
YBR285W	5	7
APE3	57	2736
YBR287W	21	207
APM3	22	246
SNF5	33	762
BSD2	16	251
CTP1	36	2096
YBR292C	17	527
VBA2	32	848
SUL1	52	1409
PCA1	85	2882
PHO89	67	1918
YBR296C-A	2	16
MAL33	27	798
MAL31	36	1297
YBR298C-A	17	334
MAL32	79	1805
YBR300C	21	123
PAU24	20	109
COS2	48	611
YCL076W	5	25
GEX1	55	889
VBA3	37	594
YCL068C	29	1161
HMLALPHA2	6	16
HMLALPHA1	40	449
YCL065W	15	92
CHA1	35	981
VAC17	34	608
MRC1	58	1280
KRR1	9	65
FYV5	25	738
ADF1	17	355
MIC10	24	1156
PRD1	56	2306
PEX34	11	102
KAR4	13	148
RDT1	0	0
SPB1	45	950
PBN1	23	461
LRE1	64	2901
APA1	22	1083
YCL049C	32	838
YCL048W-A	10	69
SPS22	65	2981
POF1	27	831
EMC1	61	2063
YCL046W	16	115
MGR1	58	2344
PDI1	42	1161
YCL041C	42	180
YCL042W	38	901
GLK1	118	5049
GID7	102	2875
ATG22	55	1430
SRO9	41	1142
GFD2	98	3929
GRX1	12	250
LSB5	71	4517
MXR2	22	463
STE50	36	1582
RRP7	11	140
HIS4	149	5014
BIK1	100	4906
RNQ1	51	2742
FUS1	62	2697
HBN1	27	411
FRM2	36	1516
AGP1	146	6550
YCL023C	38	2199
KCC4	149	6450
YCL022C	26	1329
YCL021W-A	29	849
LEU2	77	2590
NFS1	19	424
DCC1	54	1169
BUD3	172	6083
YCL012C	35	447
GBP2	80	1784
SGF29	54	1709
ILV6	97	4689
STP22	81	3864
CWH36	12	594
VMA9	6	85
LDB16	61	1754
PGS1	34	1119
YCL002C	58	2520
RER1	32	325
YCL001W-A	14	238
YCL001W-B	9	319
YCR001W	20	1017
CDC10	5	23
MRPL32	19	168
YCP4	26	622
CIT2	109	5625
YCR006C	189	10359
YCR007C	59	1473
SAT4	81	1985
RVS161	23	341
ADY2	58	2092
ADP1	161	7064
PGK1	8	85
YCR013C	10	106
POL4	81	2637
CTO1	48	1138
YCR016W	28	824
CWH43	46	773
SRD1	7	91
YCR018C-A	55	1003
MAK32	59	3143
PET18	32	947
MAK31	11	348
HTL1	1	0
HSP30	50	3386
YCR022C	57	2397
YCR023C	79	3854
SLM5	31	659
YCR024C-B	9	178
PMP1	5	18
YCR025C	75	1878
NPP1	131	4116
RHB1	12	87
FEN2	49	1121
RIM1	6	25
SYP1	61	2213
RPS14A	14	251
BPH1	141	4296
SNT1	106	4616
ELO2	11	219
RRP43	6	58
RBK1	43	1891
PHO87	76	3130
BUD5	53	1157
YCR038W-A	3	3
MATALPHA2	6	13
MATALPHA1	48	457
YCR041W	17	225
TAF2	52	1079
YCR043C	20	635
PER1	19	675
RRT12	61	2984
YCR045W-A	25	935
IMG1	15	194
BUD23	7	140
YCR047W-A	1	0
YCR049C	27	940
ARE1	86	4443
YCR050C	13	301
YCR051W	30	926
RSC6	12	154
THR4	25	886
CTR86	29	679
PWP2	32	993
YIH1	50	1932
TAH1	21	953
YCR061W	188	10525
YCR064C	46	2605
BUD31	25	452
HCM1	52	1918
RAD18	23	288
SED4	72	1820
ATG15	62	1849
CPR4	39	1413
IMG2	17	372
RSA4	23	324
SSK22	100	5796
SOL2	33	1252
ERS1	26	457
YCR075W-A	3	39
FUB1	30	1070
PAT1	31	731
PTC6	53	1044
SRB8	161	9252
YCR081C-A	14	705
AHC2	12	251
TRX3	13	383
TUP1	20	315
YCR085W	13	107
CSM1	14	274
YCR087W	11	162
YCR087C-A	11	162
ABP1	45	1880
FIG2	61	1953
YCR090C	17	573
KIN82	66	2946
MSH3	89	3206
CDC39	61	1483
CDC50	34	1375
OCA4	18	383
YCR095W-A	5	213
HMRA2	4	3
HMRA1	1	0
YCR097W-A	7	15
GIT1	62	2217
YCR099C	20	1129
YCR100C	29	876
YCR101C	17	420
YCR102C	63	3260
YCR102W-A	5	34
PAU3	16	172
ADH7	53	1716
RDS1	81	2124
AAD3	42	1482
YCR108C	22	612
COS7	37	433
YDL247W-A	4	14
MPH2	71	1143
SOR2	60	1038
HXT15	89	2137
THI13	67	1269
AAD4	36	1083
YDL242W	19	1036
YDL241W	9	234
YDL240C-A	30	1115
LRG1	48	933
ADY3	23	381
GUD1	29	495
AIM6	17	402
PHO13	10	62
YPD1	0	0
GYP7	54	2105
MFG1	31	1096
OST4	0	0
BRE4	60	1634
PTP1	41	1223
SSB1	47	920
YDL228C	17	309
HO	76	2330
GCS1	16	227
SHS1	42	853
WHI4	31	1119
HBT1	110	4891
FMP45	35	620
YDL221W	53	1965
CDC13	53	1292
DTD1	3	31
YDL218W	41	906
TIM22	3	2
RRI1	28	857
GDH2	97	4773
PRR2	57	1398
NOP6	14	195
SHR3	7	290
YDL211C	25	750
UGA4	56	2257
CWC2	4	10
NHP2	1	0
GLE1	10	72
YDL206W	39	970
HEM3	23	479
RTN2	38	1472
ACK1	40	939
MRPL11	8	41
TRM8	34	1514
MGT1	20	280
YDL199C	31	855
GGC1	6	81
ASF2	56	1012
YDL196W	50	2389
SEC31	46	1141
SNF3	33	622
NUS1	6	31
ARF1	12	225
RPL35A	8	79
UFD2	48	915
RBS1	19	497
PPH22	45	1852
YDL187C	6	52
YDL186W	6	207
YDL185C-A	12	262
VMA1	31	597
RPL41A	6	151
YDL183C	22	1349
LYS20	62	2192
INH1	10	64
YDL180W	32	651
PCL9	12	385
DLD2	43	1500
YDL177C	24	609
YDL176W	45	1385
AIR2	22	623
DLD1	51	2056
PAR32	17	276
YDL172C	11	71
GLT1	146	6151
UGA3	45	915
UGX2	19	764
SFA1	43	1617
NRP1	2	1
FAP7	8	122
CDC36	5	16
CDC9	36	546
YDL163W	9	168
YDL162C	28	1414
ENT1	27	1036
MHF2	5	76
DHH1	28	848
YDL159W-A	10	324
STE7	40	1539
YDL159C-B	6	115
YDL158C	7	84
YDL157C	9	98
CMR1	50	2075
CLB3	36	1575
MSH5	63	2830
SAS10	12	147
YDL152W	14	191
BUD30	3	27
RPC53	14	315
ATG9	63	1700
NOP14	44	1030
RPN5	9	48
LDB17	21	280
COP1	25	213
YDL144C	39	1366
CCT4	14	154
CRD1	37	1029
BPL1	23	425
RPO21	61	1073
SCM3	8	94
RGT2	51	1332
ARF2	15	596
RPL35B	17	268
RDI1	20	398
PPH21	41	1497
RPL41B	3	10
SRF1	34	792
CDC53	25	298
LYS21	56	1737
STF1	16	185
RPP1B	16	418
YDL129W	16	440
VCX1	43	866
PCL2	39	1448
CDC48	20	1186
HNT1	6	64
YDL124W	21	677
SNA4	13	275
UBP1	41	977
EXP1	13	387
YFH1	9	195
HEM25	36	1365
YDL118W	13	398
CYK3	37	1205
NUP84	30	704
IWR1	24	584
YDL114W-A	0	0
YDL114W	21	471
ATG20	43	1020
TRM3	79	3161
RRP42	13	85
TMA17	16	256
YDL109C	58	1984
KIN28	12	153
MSS2	24	555
PHO2	42	867
NSE4	7	77
QRI7	36	954
QRI1	8	248
POL3	29	393
DUN1	28	698
GET3	32	661
BUG1	13	363
SNU23	14	255
RPN6	14	114
OPI6	14	144
PMT1	51	1000
YDL094C	38	1985
PMT5	57	1523
SRP14	23	953
UBX3	24	1497
RAM1	8	78
NUR1	36	982
ASM4	31	997
LUC7	6	24
YDL086W	39	1417
YDL086C-A	26	935
YDL085C-A	8	352
NDE2	46	1543
SUB2	14	88
RPS16B	10	100
RPL13A	24	524
RPP1A	2	1
THI3	43	1064
MRK1	63	1802
MDH3	27	344
VAM6	31	689
RXT3	33	885
RPL31A	2	1
BRE1	21	448
YDL073W	50	1825
YET3	14	227
YDL071C	39	1372
BDF2	40	984
CBS1	9	125
YDL068W	5	17
COX9	9	120
IDP1	47	1227
PEX19	23	376
UBC9	14	205
SYO1	30	633
YDL062W	7	119
RPS29B	0	0
TSR1	26	314
RAD59	21	446
USO1	64	2182
YDL057W	32	921
MBP1	56	905
PSA1	5	57
