Gene name	Number of transposons per gene	Number of reads per gene
TFC3	45	829
EFB1	1	0
MAK16	2	1
PRP45	35	1481
POP5	4	60
YAL034C-B	33	4206
MTW1	14	309
CDC19	12	221
CDC24	18	343
PTA1	26	369
RFA1	0	0
SEN34	15	395
CDC15	31	1058
HTA2	34	1384
UTP20	54	1158
RRN6	41	748
POP8	9	88
RFT1	16	402
MCM2	11	356
LSM2	3	18
PET9	18	160
STU1	55	1224
POL12	27	676
ERD2	19	394
PRE7	6	73
SEC17	10	224
YBL073W	22	1486
AAR2	27	1081
ILS1	23	283
YBL077W	12	775
CDC27	26	813
RPL32	2	1
BRN1	27	972
SFT2	18	343
PKC1	39	1185
RER2	17	925
GPI18	15	85
HHF1	13	133
IPP1	17	267
SCO2	42	3307
CDS1	26	620
CHS2	31	414
REB1	25	561
PRP6	34	1521
TSC3	2	2
ORC2	23	887
ALG14	8	87
RPG1	40	795
SEC18	23	309
RFC5	6	50
POL30	6	33
YBR089W	2	1
TIM12	1	0
EXO84	33	828
CMD1	2	1
ALG1	7	100
GRS1	0	0
TFC1	16	241
YBR124W	15	668
CKS1	4	25
MEC1	50	1548
IRA1	57	1483
MAK5	31	777
SUP45	12	172
SPP381	17	558
RIB7	6	48
RPB5	3	19
CNS1	5	12
AMN1	32	1037
CDC28	9	44
POP7	4	5
YBR190W	17	301
RIM2	6	35
MED8	5	13
PGI1	11	108
TAF5	25	307
MCM7	23	488
AME1	10	202
DAD3	2	2
ARC40	19	337
ABD1	19	853
PRP5	16	531
ALG7	4	25
ENP1	7	38
DUT1	4	81
SRB6	7	32
TRS20	5	75
RIB5	6	80
POP4	6	33
TSC10	9	152
PGS1	23	863
NFS1	13	310
RRP7	11	150
YCL041C	50	394
PDI1	31	583
PBN1	21	490
SPB1	40	804
KRR1	8	59
HMLALPHA2	5	5
PGK1	5	25
YCR013C	7	40
RRP43	4	4
MATALPHA2	2	2
RSC6	13	110
CTR86	20	674
PWP2	32	890
RSA4	20	241
CDC39	54	1516
HMRA2	4	4
MCD1	14	248
ATP16	5	5
RPT2	11	203
APC11	10	126
SLX5	49	975
NOP1	4	4
TSC13	10	60
YDL016C	4	449
CDC7	24	1025
MPS1	31	1005
ARP2	5	14
PRP9	14	108
DBP10	19	535
PRP11	8	75
FAD1	9	67
PSA1	6	54
USO1	54	1279
TSR1	29	689
UBC9	10	67
COX9	6	54
SUB2	8	181
LUC7	11	82
SRP14	19	1216
RPN6	18	245
SNU23	12	160
POL3	27	619
QRI1	9	282
NSE4	7	69
KIN28	11	213
RRP42	11	337
YFH1	8	24
CDC48	22	540
CDC53	24	549
SCM3	6	68
RPO21	50	1286
BPL1	26	449
CCT4	14	122
COP1	30	707
RPN5	9	94
NOP14	53	1413
RPC53	9	108
YDL152W	13	132
SAS10	8	25
CLB3	34	1380
YDL163W	12	454
CDC9	32	487
CDC36	5	89
FAP7	4	64
NUS1	7	43
SEC31	19	280
YDL196W	40	1844
HEM3	21	611
GLE1	14	862
NHP2	3	40
CWC2	6	54
SHR3	4	8
TIM22	2	27
CDC13	52	2273
YDL221W	44	2666
YPD1	2	3
YRB1	3	7
PSF1	0	0
DAD1	1	0
FAL1	11	100
SES1	6	65
KRS1	25	521
RSM10	9	112
HEM13	7	36
RPC11	2	22
BAP3	42	2303
HEM12	21	426
TPI1	1	0
DBF4	13	257
YDR053W	2	2
CDC34	4	35
MAK21	26	547
LCB2	13	168
RPS13	4	24
PDC2	10	112
STN1	20	336
SSS1	1	0
RRP1	3	4
SLU7	11	216
RLI1	10	99
PDS1	12	67
APC4	16	462
INO2	8	39
DOP1	41	631
TAF12	5	215
CTH1	19	680
SSY1	9	48
SEC1	30	557
SEC5	24	630
TAF10	6	281
CDC37	21	570
SEC7	52	1613
SUP35	17	261
UBC1	6	48
SCC2	36	695
CDC1	17	288
YDR187C	14	653
CCT6	19	125
SLY1	12	221
RVB1	7	54
CAB5	8	196
SPC19	3	2
MSS4	31	871
GCD6	19	428
TCP1	17	374
HTB1	3	31
PCF11	8	135
COX20	22	1017
HEM1	11	66
RTN1	7	194
PRP42	2	72
FMN1	5	24
SEC26	23	384
SNU56	17	401
PRP28	20	175
TRS23	11	338
CIA1	15	261
RRP45	11	228
NSE3	8	222
SRP101	15	369
BFR2	12	64
CFT1	45	930
GPI11	2	1
RSC3	25	545
SRB7	3	12
TFB1	25	700
UTP4	12	70
YCG1	30	796
YDR327W	5	41
SKP1	8	34
GPI8	14	155
FCF1	0	0
YDR341C	19	321
TRR1	3	20
YDR355C	5	28
SPC110	21	191
BCP1	11	202
TFC6	24	620
ESF1	6	81
KEI1	4	78
FRQ1	5	15
ARH1	10	182
YRA1	11	147
SAC7	17	456
UBA2	13	418
RPT3	9	115
YDR396W	6	123
NCB2	6	123
UTP5	11	45
RPB7	1	0
TRS120	43	911
RRP17	0	0
YDR413C	0	0
SYF1	31	874
RPL12B	5	18
RPN9	13	147
TIF35	5	37
GPI17	17	310
GPI19	1	0
UTP6	13	512
GUK1	0	0
TFB3	6	29
SPP41	26	296
TLG1	5	45
UGO1	21	174
TRS31	11	25
PRP3	21	470
SNM1	10	27
RIB3	6	23
SLD5	15	175
SEC20	9	92
LCD1	23	394
PSP1	14	420
SMT3	1	0
YDR526C	1	0
RBA50	14	293
CAB1	17	243
WBP1	13	352
MMS21	14	288
SNU13	0	0
MCM3	36	574
HYP2	10	282
UTR5	79	2657
POL5	30	860
PCM1	12	143
PMI40	14	187
YND1	104	7180
NUG1	29	560
SEC3	68	3221
NTF2	2	1
PRE1	6	53
PRP22	42	1236
BIM1	39	2173
SPC25	9	143
RPN3	25	931
SRB4	26	858
PRO3	3	96
GCD11	6	104
ARB1	17	220
KRE29	5	117
SAH1	15	239
ISD11	5	65
FCY21	25	1255
YOS1	0	0
UTP7	12	519
TSC11	61	2281
PUP3	4	21
RTT105	12	502
MAM1	6	129
LSM4	3	4
RSP5	19	187
NSA2	6	41
LCP5	14	132
GLC7	8	39
GDI1	14	346
LSM5	3	11
SCC4	38	1163
SPT15	7	151
COG3	34	1019
BUR6	6	52
PAB1	8	125
CCA1	17	232
RAD3	23	245
BRR2	67	1613
SPB4	17	311
SEC4	2	15
SMC1	27	252
CDC4	30	666
GNA1	6	7
SMX2	2	1
FRS2	23	446
EPL1	38	1591
CAK1	8	187
MOB2	19	631
TUB2	21	441
YPT1	8	61
ACT1	12	258
SEC53	2	2
NIC96	51	3513
YPI1	4	9
RPN11	9	65
SAD1	11	291
ECO1	6	17
CDC14	21	993
PTR3	43	908
SMC2	38	572
RSC8	19	565
KEG1	3	6
PRE4	17	371
RET2	56	3138
RPN12	8	84
ERG26	10	112
PMA1	13	269
SCL1	7	22
PUF4	63	4281
JAC1	7	31
STT3	30	1079
RPL30	4	172
HEM2	9	49
RNA15	6	12
ALG13	4	59
RPT6	4	15
OLE1	17	478
DUO1	15	391
ALG2	18	405
MNP1	2	1
YGL069C	2	1
HSF1	41	2176
YGL074C	13	845
MPS2	13	377
NBP35	16	173
NUP145	32	1006
SPC105	32	543
SRM1	21	360
USE1	1	0
LSG1	14	107
YGL102C	3	37
RPL28	5	105
NSA1	10	142
TAF6	0	0
SLD3	15	609
CDC20	18	285
PRP43	30	513
NAB2	22	740
RPS2	2	1
CWC23	3	12
CEG1	3	7
SEC27	22	322
GPI10	14	193
TIP20	35	812
INO80	59	1506
CDC43	17	212
CUP2	17	137
SUA5	16	149
ROK1	17	365
NUP49	14	310
ATG1	35	1402
MCM6	57	1385
SPT16	27	641
VRG4	8	57
SEC15	18	369
CSE1	31	869
YGL239C	8	184
GUS1	17	121
BRR6	5	47
SWC4	39	1986
TFG2	17	325
SEC9	18	214
SNU71	50	1239
THG1	3	12
ERV1	8	60
POP6	4	47
TAM41	15	416
TFC4	23	448
UFD1	10	105
ERG25	12	167
VHT1	19	507
YGR073C	5	17
SMD1	2	11
PRP38	3	3
TOM20	6	66
GCD2	11	153
UTP22	14	76
PRP31	20	659
VAS1	45	1604
RRP46	8	59
ESP1	22	350
TEL2	25	1022
NOP7	12	76
DAM1	10	487
YGR114C	14	576
YGR115C	3	26
SPT6	44	968
NUP57	17	243
COG2	5	174
UTP8	8	33
CBF2	28	864
ENP2	25	580
NAT2	20	591
PTI1	4	15
MTR3	7	71
YIP1	9	42
ERG1	9	150
OKP1	30	440
TYS1	8	142
TFG1	21	480
YGR190C	5	167
HIP1	22	442
SKI6	6	173
YPP1	13	503
ZPR1	20	496
GPI1	16	393
CRM1	32	765
LSC2	49	2472
SDA1	39	781
BRF1	12	109
NOP19	9	66
PUP2	16	249
MES1	20	195
YGR265W	14	265
FOL2	9	62
TAF1	15	188
CAB4	3	13
CWC22	11	273
PXR1	8	39
PAU12	14	171
RPS20	2	1
ARN2	40	1778
TIM10	8	219
ERG11	16	88
SPO13	17	503
DED81	15	595
YHR020W	26	314
MYO1	47	940
MAS2	9	227
BRL1	13	286
BCD1	29	854
NCP1	32	441
CPR2	30	1686
MED6	11	687
RPP1	6	21
RRP3	19	523
DYS1	17	411
RRP4	9	165
TRM5	13	313
ERG7	20	635
NOP10	0	0
QNS1	19	406
KSP1	53	1949
SAM35	8	158
STE12	26	741
IPI1	5	19
NAM8	47	2213
RPF1	3	3
SFB3	57	1697
BIG1	8	29
CDC12	1	0
ORC6	14	105
YHR122W	22	367
RPC10	0	0
IMP3	13	243
DNA2	34	719
CDC23	27	1030
NMD3	20	231
SPC97	31	1477
KOG1	52	1451
GPI16	16	354
ERG9	14	400
UTP9	29	567
RIX1	10	141
CFD1	19	790
BET1	2	1
FAF1	13	209
RPB3	21	351
TIM44	13	185
IRR1	29	667
ULP2	50	1933
MET30	30	449
NEO1	17	263
MMF1	25	1372
SNP1	13	151
ARC15	6	64
YRB2	9	66
SEC6	24	448
RPN2	41	1146
THS1	17	510
CAB2	8	130
UTP25	37	857
SHQ1	13	275
MOB1	8	119
SEC24	41	824
NUP159	50	1487
RHO3	13	239
STH1	25	804
TAO3	91	3173
CCT2	14	422
SSL2	31	884
NDC80	28	956
SLN1	29	521
MCM10	36	899
DJP1	39	1518
PAN1	134	7751
PRI1	5	22
DSN1	21	575
STS1	15	246
SQT1	17	224
RPR2	7	52
SEC11	3	10
PRE3	4	42
OST1	9	125
CYR1	77	1762
CCT8	18	330
YJL009W	9	374
NOP9	18	325
RPC17	5	31
CCT3	12	87
YJL015C	41	5639
MPS3	60	2488
RRN7	18	226
RNR2	23	471
BET4	2	3
YJL032W	0	0
HCA4	16	199
KAR2	21	434
TAD2	7	102
NUP192	29	521
NSP1	6	26
MTR4	38	1023
TIM54	18	468
NUP82	16	523
UTP18	26	487
PSF2	12	226
SMC3	31	769
NET1	62	1508
ARP4	4	24
EXO70	26	604
YJL086C	18	495
TRL1	10	103
DPB11	21	324
GWT1	15	319
PHS1	8	163
PAM16	4	61
IME2	41	810
UTP10	48	1226
CCT7	11	127
ASF1	13	209
MTC1	36	1033
GCD14	14	322
TIM17	9	33
SSY5	29	580
FAR1	53	2818
TPK1	32	623
ERG20	11	97
RFA3	0	0
KRE9	6	106
CDC6	5	26
YJL195C	0	0
YJL202C	12	406
PRP21	12	222
MPP10	44	1307
MRX12	106	6863
POL31	5	17
SUI2	15	570
YJR012C	49	2886
GPI14	9	126
ILV3	23	187
ESS1	10	236
LSM8	2	6
YJR023C	2	6
URB2	15	148
NUP85	19	170
SSC1	7	162
TAH11	11	233
CDC8	6	31
CCT5	28	732
ARP3	21	528
YAE1	4	10
RFC2	10	174
NPA3	18	696
CDC11	15	301
FIP1	14	409
SFC1	32	927
NNF1	5	47
RPS5	0	0
YJR141W	2	9
AUR1	22	505
SFT1	19	1259
PRP40	28	853
ARC19	0	0
URB1	58	1396
SWD2	6	64
RAM2	13	296
MAK11	26	1899
CDC16	55	2629
URA6	7	182
TFA1	22	472
TTI1	37	787
UGP1	21	454
YKL036C	39	1892
SPC42	9	81
PRI2	14	201
CSE4	4	17
ASK1	22	732
TOA2	1	0
MPE1	21	567
FBA1	8	84
DHR2	16	798
RRP14	5	46
YKL083W	2	2
CAB3	19	585
MIF2	5	10
YJU2	10	203
UTP11	10	152
HSL1	45	1040
GFA1	16	492
SLD2	26	689
YKL111C	8	148
ABF1	20	341
SRP21	3	98
RRN3	20	415
HSK3	6	21
SDH3	10	112
RPC25	7	32
RPT1	9	111
GPM1	3	19
YKL153W	2	1
SRP102	7	108
MCD4	28	678
TPK3	20	561
EBP2	5	59
SNU114	15	222
RPL17A	3	2
FAS1	55	1069
MTR2	8	68
HYM1	21	544
ACP1	6	59
SDS22	14	237
MIA40	8	80
YKT6	5	62
TOR2	86	1811
LOS1	50	2344
UBA1	18	408
PAP1	16	171
ECM9	31	469
RSC4	23	342
NTR2	12	297
RPC37	5	173
SPC34	13	303
KAE1	15	390
RPS21A	14	200
TFA2	0	0
LAS1	16	273
BET3	11	160
DRE2	21	356
TRZ1	28	518
RPF2	9	206
DAD2	4	19
PRP16	40	641
SFI1	32	964
ORC3	20	194
DRS1	19	261
SOF1	26	572
DPS1	17	199
GPI13	24	342
RIX7	17	174
GRC3	11	247
PRP19	5	14
YLL037W	18	584
COF1	9	16
NOC3	19	355
SSL1	28	737
NSE1	23	339
PAM18	3	4
RLP24	1	0
TEN1	0	0
GAT3	13	132
SDO1	16	183
SED5	6	41
RPL15A	7	59
RSC58	3	2
STU2	30	574
FCF2	15	239
REX2	53	4694
FRS1	25	551
SPC3	5	237
RGR1	36	725
RPL10	5	5
YLR076C	1	0
BOS1	9	97
SMC4	33	602
GAA1	32	619
HRT3	15	483
MIM2	4	34
ERG27	7	162
YLR101C	3	77
CDC45	13	236
SEN2	9	119
MDN1	104	2049
CFT2	19	149
MSL5	22	312
CLF1	37	1485
APC2	21	690
DIP2	22	473
USB1	3	18
YLR140W	15	589
RRN5	15	143
RMP1	6	59
SMD3	5	26
ACS2	31	679
MAS1	11	264
SEC10	14	171
RPS31	5	101
CBF5	10	168
EMG1	8	29
NMT1	2	1
PWP1	29	497
NOP56	7	123
YLR198C	2	3
SEC13	11	307
TUB4	10	59
CDC123	6	173
CCC1	17	741
UTP13	25	300
IFH1	39	2372
CDC42	4	23
YLR230W	3	45
GPN3	6	14
YEF3	17	225
HSP60	8	145
YCS4	22	542
MCM5	21	511
SMD2	1	0
DBP9	1	0
YSH1	22	657
GCD7	11	410
YHC1	19	417
STT4	56	782
CDC25	56	1202
CDC3	26	367
TAD3	20	321
YLR317W	5	102
SFH1	22	392
CWC24	13	305
RPS25B	7	56
SGD1	30	463
YLR339C	0	0
RPP0	0	0
RPL26A	11	200
KAP95	17	415
ILV5	19	364
ADE13	7	81
STP3	26	550
SEC61	14	254
YLR379W	5	22
AFG2	10	118
SFP1	38	998
UTP21	31	445
SPP382	16	492
SEN1	36	813
LSM3	2	5
SEC39	7	28
NBP1	17	388
YLR458W	4	18
GAB1	1	0
SPT5	42	1841
TAF11	4	26
NSE5	27	686
YML6	16	274
NDC1	20	586
RRN11	6	140
PRP39	18	575
RSE1	81	2959
TEM1	7	64
ORC1	23	363
ITT1	21	1073
POB3	9	170
BET5	3	34
TUB1	11	60
RPM2	40	375
PRE8	1	0
UTP14	39	786
TAF13	0	0
SEC65	4	8
TAF8	20	836
PGA3	13	215
ERG13	24	335
RSC9	21	209
MSC1	32	903
ERO1	22	489
CDC5	11	172
TAF4	8	59
SEC59	18	661
TAP42	11	129
HOF1	42	2414
ARP9	4	59
MCM1	9	96
NUP116	34	951
ERB1	17	292
SEN15	4	11
RNA14	12	115
MOT3	10	32
TVP18	11	133
PDS5	28	874
SEC14	9	127
UTP15	16	405
CTF13	5	42
MED11	6	227
FOL3	25	673
SPC24	6	27
ECM16	37	676
RRB1	21	673
ERG29	14	254
PSO2	37	2055
TIF34	10	216
SWP1	15	197
MSS11	34	677
CEP3	15	422
SPT21	32	1098
RTP1	19	338
VTI1	8	99
CIK1	23	691
ROT1	10	137
TOM40	6	64
ERG12	17	246
DML1	8	23
CEF1	19	324
TRS130	25	442
ERG8	14	161
TAF7	22	408
RRP5	33	586
RNA1	11	183
TAF9	3	22
RNT1	17	348
CUS1	34	2711
TIF11	1	0
PRP24	4	6
RRN9	15	350
FCP1	19	277
GPI12	1	0
HSH155	27	625
HAS1	8	125
YMR290W-A	9	88
LCB1	18	461
LIP1	3	12
ATM1	21	330
PSE1	21	269
NIP1	29	631
PRE5	9	172
RLP7	6	362
LST8	2	1
SIS1	10	174
ARK1	68	3309
KSH1	6	18
SAM50	9	44
GPI15	9	140
BDP1	16	300
NOP2	27	614
GCD10	15	656
IMP4	8	14
TOP2	32	498
POL1	65	1625
MET4	19	233
NOP15	4	11
DBP2	38	486
RPC19	1	0
YNL114C	8	186
DCP2	29	540
NAF1	14	440
SPC98	20	327
TOM22	1	0
KRE33	18	437
NAM9	30	744
YSF3	8	78
PGA2	7	32
YNL150W	4	12
RPC31	12	234
INN1	11	430
PGA1	3	33
CBK1	33	713
RPL42A	8	71
RIA1	35	798
APC1	60	1592
RPS3	1	0
YNL181W	15	223
IPI3	13	166
KAR1	4	86
SRP1	4	9
RIO2	5	12
RAP1	39	722
POP1	40	1062
SSU72	4	6
CSL4	11	164
NAR1	16	114
SUI1	9	302
CWC25	2	29
YNL247W	19	334
NRD1	17	285
FOL1	22	708
DSL1	18	280
LTO1	4	154
ORC5	2	9
POL2	97	2045
YIF1	12	169
PIK1	20	247
SEC2	21	574
POP3	10	99
SEC21	28	299
RFC3	13	337
MRPS18	11	85
KRI1	7	77
ZIM17	7	258
RFA2	4	4
EMW1	29	647
PFS2	15	333
RPC34	18	451
PRP2	54	2119
ACC1	86	1946
TIM23	10	120
SEC12	17	662
ARC35	16	523
DBP6	15	320
MVD1	4	7
TRM112	6	31
NOG2	14	260
ESF2	17	309
RPB11	3	4
RCL1	26	970
DIS3	29	293
TSR4	3	7
MIM1	12	87
SMC5	38	686
PRE6	6	40
RPS15	4	13
RIB2	27	685
NUF2	11	197
BRX1	13	347
AVO1	41	2516
RFC4	16	235
WRS1	21	306
TPT1	3	29
RPL18A	13	281
HRP1	13	139
RPL25	1	0
ALR1	35	1461
HRT1	6	81
YOL134C	14	325
MED7	6	41
CDC33	1	0
NOP8	17	192
PSF3	3	46
DCP1	3	3
UTP23	13	124
HSP10	0	0
DBP5	12	150
RAT1	18	203
NOB1	24	388
SGT1	20	378
SLD7	16	420
RPL3	4	28
CDC21	14	321
UFE1	14	176
RTS2	12	375
RKI1	11	133
NUP1	25	367
YOR102W	4	73
OST2	1	0
VAM3	6	157
TFC7	11	120
RPO31	31	703
RPT5	12	132
RIO1	13	325
PFY1	2	13
THI80	17	432
YOR146W	1	0
SPP2	4	22
SMP3	14	263
RPB2	33	533
PDR5	64	1807
PUP1	13	180
SME1	4	64
MTR10	23	327
GLN4	23	553
YOR169C	3	3
MED4	7	76
HEM15	25	573
LAS17	18	268
TOA1	2	1
YOR203W	18	398
DED1	11	152
NOC2	21	369
RET1	30	547
RPB10	2	2
RFC1	50	1341
YOR218C	5	28
RPB8	7	48
WTM2	54	2047
MGE1	6	135
KIN4	41	1479
DFR1	13	334
ESA1	25	558
APC5	9	76
CLP1	9	145
SEC63	17	421
TRE2	27	477
CDC31	0	0
RPT4	15	188
GCD1	17	190
RPN8	11	230
GPN2	11	98
FSF1	27	1674
YTM1	5	28
HEM4	10	159
PLP2	8	136
YOR282W	11	889
RRP36	8	29
RRS1	6	84
NOP58	10	77
HSH49	3	27
MYO2	44	969
SCD5	18	284
ALA1	35	748
KRE5	47	1250
RPA43	8	149
RPA190	30	400
SOG2	54	1412
PRT1	39	1425
PRE10	5	29
MRS6	13	200
NDD1	13	586
NUD1	21	379
