Gene name	Number of transposons per gene	Number of reads per gene
TFC3	0	0
EFB1	0	0
MAK16	0	0
PRP45	0	0
POP5	0	0
YAL034C-B	0	0
MTW1	0	0
CDC19	0	0
CDC24	0	0
PTA1	0	0
RFA1	0	0
SEN34	0	0
CDC15	0	0
HTA2	0	0
UTP20	0	0
RRN6	0	0
POP8	0	0
RFT1	0	0
MCM2	0	0
LSM2	0	0
PET9	0	0
STU1	0	0
POL12	0	0
ERD2	0	0
PRE7	0	0
SEC17	0	0
YBL073W	0	0
AAR2	0	0
ILS1	0	0
YBL077W	0	0
CDC27	2	1
RPL32	0	0
BRN1	0	0
SFT2	0	0
PKC1	0	0
RER2	0	0
GPI18	0	0
HHF1	0	0
IPP1	0	0
SCO2	0	0
CDS1	0	0
CHS2	0	0
REB1	0	0
PRP6	0	0
TSC3	0	0
ORC2	0	0
ALG14	0	0
RPG1	0	0
SEC18	0	0
RFC5	0	0
POL30	0	0
YBR089W	0	0
TIM12	0	0
EXO84	0	0
CMD1	0	0
ALG1	0	0
GRS1	0	0
TFC1	0	0
YBR124W	0	0
CKS1	0	0
MEC1	0	0
IRA1	0	0
MAK5	0	0
SUP45	0	0
SPP381	0	0
RIB7	0	0
RPB5	0	0
CNS1	0	0
AMN1	0	0
CDC28	0	0
POP7	0	0
YBR190W	0	0
RIM2	0	0
MED8	0	0
PGI1	0	0
TAF5	0	0
MCM7	0	0
AME1	0	0
DAD3	0	0
ARC40	0	0
ABD1	0	0
PRP5	0	0
ALG7	0	0
ENP1	0	0
DUT1	0	0
SRB6	0	0
TRS20	0	0
RIB5	0	0
POP4	0	0
TSC10	0	0
PGS1	0	0
NFS1	0	0
RRP7	0	0
YCL041C	0	0
PDI1	0	0
PBN1	0	0
SPB1	0	0
KRR1	0	0
HMLALPHA2	0	0
PGK1	0	0
YCR013C	0	0
RRP43	0	0
MATALPHA2	0	0
RSC6	0	0
CTR86	0	0
PWP2	0	0
RSA4	0	0
CDC39	0	0
HMRA2	0	0
MCD1	0	0
ATP16	0	0
RPT2	0	0
APC11	0	0
SLX5	0	0
NOP1	0	0
TSC13	0	0
YDL016C	0	0
CDC7	0	0
MPS1	0	0
ARP2	0	0
PRP9	0	0
DBP10	0	0
PRP11	0	0
FAD1	0	0
PSA1	0	0
USO1	0	0
TSR1	0	0
UBC9	0	0
COX9	0	0
SUB2	0	0
LUC7	0	0
SRP14	0	0
RPN6	0	0
SNU23	0	0
POL3	0	0
QRI1	0	0
NSE4	0	0
KIN28	0	0
RRP42	0	0
YFH1	0	0
CDC48	0	0
CDC53	0	0
SCM3	0	0
RPO21	0	0
BPL1	0	0
CCT4	0	0
COP1	0	0
RPN5	0	0
NOP14	0	0
RPC53	0	0
YDL152W	0	0
SAS10	0	0
CLB3	0	0
YDL163W	0	0
CDC9	0	0
CDC36	0	0
FAP7	0	0
NUS1	0	0
SEC31	0	0
YDL196W	0	0
HEM3	0	0
GLE1	0	0
NHP2	0	0
CWC2	0	0
SHR3	0	0
TIM22	0	0
CDC13	0	0
YDL221W	0	0
YPD1	0	0
YRB1	0	0
PSF1	0	0
DAD1	0	0
FAL1	0	0
SES1	0	0
KRS1	0	0
RSM10	0	0
HEM13	0	0
RPC11	0	0
BAP3	0	0
HEM12	0	0
TPI1	0	0
DBF4	0	0
YDR053W	0	0
CDC34	0	0
MAK21	0	0
LCB2	0	0
RPS13	0	0
PDC2	0	0
STN1	0	0
SSS1	0	0
RRP1	0	0
SLU7	0	0
RLI1	0	0
PDS1	0	0
APC4	0	0
INO2	0	0
DOP1	0	0
TAF12	0	0
CTH1	0	0
SSY1	0	0
SEC1	0	0
SEC5	0	0
TAF10	0	0
CDC37	0	0
SEC7	0	0
SUP35	0	0
UBC1	0	0
SCC2	0	0
CDC1	0	0
YDR187C	0	0
CCT6	0	0
SLY1	0	0
RVB1	0	0
CAB5	0	0
SPC19	0	0
MSS4	0	0
GCD6	0	0
TCP1	0	0
HTB1	0	0
PCF11	0	0
COX20	0	0
HEM1	0	0
RTN1	0	0
PRP42	0	0
FMN1	0	0
SEC26	0	0
SNU56	0	0
PRP28	0	0
TRS23	0	0
CIA1	0	0
RRP45	0	0
NSE3	0	0
SRP101	0	0
BFR2	0	0
CFT1	0	0
GPI11	0	0
RSC3	0	0
SRB7	0	0
TFB1	0	0
UTP4	0	0
YCG1	0	0
YDR327W	0	0
SKP1	0	0
GPI8	0	0
FCF1	0	0
YDR341C	0	0
TRR1	0	0
YDR355C	0	0
SPC110	0	0
BCP1	0	0
TFC6	0	0
ESF1	0	0
KEI1	0	0
FRQ1	0	0
ARH1	0	0
YRA1	0	0
SAC7	0	0
UBA2	0	0
RPT3	0	0
YDR396W	0	0
NCB2	0	0
UTP5	0	0
RPB7	0	0
TRS120	0	0
RRP17	0	0
YDR413C	0	0
SYF1	0	0
RPL12B	0	0
RPN9	0	0
TIF35	0	0
GPI17	0	0
GPI19	0	0
UTP6	0	0
GUK1	0	0
TFB3	0	0
SPP41	0	0
TLG1	0	0
UGO1	0	0
TRS31	0	0
PRP3	0	0
SNM1	0	0
RIB3	0	0
SLD5	0	0
SEC20	0	0
LCD1	0	0
PSP1	0	0
SMT3	0	0
YDR526C	0	0
RBA50	0	0
CAB1	0	0
WBP1	0	0
MMS21	0	0
SNU13	0	0
MCM3	0	0
HYP2	0	0
UTR5	0	0
POL5	0	0
PCM1	0	0
PMI40	0	0
YND1	0	0
NUG1	0	0
SEC3	0	0
NTF2	0	0
PRE1	0	0
PRP22	0	0
BIM1	0	0
SPC25	0	0
RPN3	0	0
SRB4	0	0
PRO3	0	0
GCD11	0	0
ARB1	0	0
KRE29	0	0
SAH1	0	0
ISD11	0	0
FCY21	0	0
YOS1	0	0
UTP7	0	0
TSC11	0	0
PUP3	0	0
RTT105	0	0
MAM1	0	0
LSM4	0	0
RSP5	0	0
NSA2	0	0
LCP5	0	0
GLC7	0	0
GDI1	0	0
LSM5	0	0
SCC4	0	0
SPT15	0	0
COG3	0	0
BUR6	0	0
PAB1	0	0
CCA1	0	0
RAD3	0	0
BRR2	0	0
SPB4	0	0
SEC4	0	0
SMC1	0	0
CDC4	0	0
GNA1	0	0
SMX2	0	0
FRS2	0	0
EPL1	0	0
CAK1	0	0
MOB2	0	0
TUB2	0	0
YPT1	0	0
ACT1	0	0
SEC53	0	0
NIC96	0	0
YPI1	0	0
RPN11	0	0
SAD1	0	0
ECO1	0	0
CDC14	0	0
PTR3	0	0
SMC2	0	0
RSC8	0	0
KEG1	0	0
PRE4	0	0
RET2	0	0
RPN12	0	0
ERG26	0	0
PMA1	0	0
SCL1	0	0
PUF4	0	0
JAC1	0	0
STT3	0	0
RPL30	0	0
HEM2	0	0
RNA15	0	0
ALG13	0	0
RPT6	0	0
OLE1	0	0
DUO1	0	0
ALG2	0	0
MNP1	0	0
YGL069C	0	0
HSF1	0	0
YGL074C	0	0
MPS2	0	0
NBP35	0	0
NUP145	0	0
SPC105	0	0
SRM1	0	0
USE1	0	0
LSG1	0	0
YGL102C	0	0
RPL28	0	0
NSA1	0	0
TAF6	0	0
SLD3	0	0
CDC20	0	0
PRP43	0	0
NAB2	0	0
RPS2	0	0
CWC23	0	0
CEG1	0	0
SEC27	0	0
GPI10	0	0
TIP20	0	0
INO80	0	0
CDC43	0	0
CUP2	0	0
SUA5	0	0
ROK1	0	0
NUP49	0	0
ATG1	0	0
MCM6	0	0
SPT16	0	0
VRG4	0	0
SEC15	0	0
CSE1	0	0
YGL239C	0	0
GUS1	0	0
BRR6	0	0
SWC4	0	0
TFG2	0	0
SEC9	0	0
SNU71	0	0
THG1	0	0
ERV1	0	0
POP6	0	0
TAM41	0	0
TFC4	0	0
UFD1	0	0
ERG25	0	0
VHT1	0	0
YGR073C	0	0
SMD1	0	0
PRP38	0	0
TOM20	0	0
GCD2	0	0
UTP22	0	0
PRP31	0	0
VAS1	0	0
RRP46	0	0
ESP1	0	0
TEL2	0	0
NOP7	0	0
DAM1	0	0
YGR114C	0	0
YGR115C	0	0
SPT6	0	0
NUP57	0	0
COG2	0	0
UTP8	0	0
CBF2	0	0
ENP2	0	0
NAT2	0	0
PTI1	0	0
MTR3	0	0
YIP1	0	0
ERG1	0	0
OKP1	0	0
TYS1	0	0
TFG1	0	0
YGR190C	0	0
HIP1	0	0
SKI6	0	0
YPP1	0	0
ZPR1	0	0
GPI1	0	0
CRM1	0	0
LSC2	0	0
SDA1	0	0
BRF1	0	0
NOP19	0	0
PUP2	0	0
MES1	0	0
YGR265W	0	0
FOL2	0	0
TAF1	0	0
CAB4	0	0
CWC22	0	0
PXR1	0	0
PAU12	0	0
RPS20	0	0
ARN2	0	0
TIM10	0	0
ERG11	0	0
SPO13	0	0
DED81	0	0
YHR020W	0	0
MYO1	0	0
MAS2	0	0
BRL1	0	0
BCD1	0	0
NCP1	0	0
CPR2	0	0
MED6	0	0
RPP1	0	0
RRP3	0	0
DYS1	0	0
RRP4	0	0
TRM5	0	0
ERG7	0	0
NOP10	0	0
QNS1	0	0
KSP1	0	0
SAM35	0	0
STE12	0	0
IPI1	0	0
NAM8	0	0
RPF1	0	0
SFB3	0	0
BIG1	0	0
CDC12	0	0
ORC6	0	0
YHR122W	0	0
RPC10	0	0
IMP3	0	0
DNA2	0	0
CDC23	0	0
NMD3	0	0
SPC97	0	0
KOG1	1	0
GPI16	0	0
ERG9	0	0
UTP9	0	0
RIX1	0	0
CFD1	0	0
BET1	0	0
FAF1	0	0
RPB3	0	0
TIM44	0	0
IRR1	0	0
ULP2	0	0
MET30	0	0
NEO1	0	0
MMF1	0	0
SNP1	0	0
ARC15	0	0
YRB2	0	0
SEC6	0	0
RPN2	0	0
THS1	0	0
CAB2	0	0
UTP25	0	0
SHQ1	0	0
MOB1	0	0
SEC24	0	0
NUP159	0	0
RHO3	0	0
STH1	0	0
TAO3	0	0
CCT2	0	0
SSL2	0	0
NDC80	0	0
SLN1	0	0
MCM10	0	0
DJP1	0	0
PAN1	0	0
PRI1	0	0
DSN1	0	0
STS1	0	0
SQT1	0	0
RPR2	0	0
SEC11	0	0
PRE3	0	0
OST1	0	0
CYR1	0	0
CCT8	0	0
YJL009W	0	0
NOP9	0	0
RPC17	0	0
CCT3	0	0
YJL015C	0	0
MPS3	0	0
RRN7	0	0
RNR2	0	0
BET4	0	0
YJL032W	0	0
HCA4	0	0
KAR2	0	0
TAD2	0	0
NUP192	0	0
NSP1	0	0
MTR4	0	0
TIM54	0	0
NUP82	0	0
UTP18	0	0
PSF2	0	0
SMC3	0	0
NET1	0	0
ARP4	0	0
EXO70	0	0
YJL086C	0	0
TRL1	0	0
DPB11	0	0
GWT1	0	0
PHS1	0	0
PAM16	0	0
IME2	0	0
UTP10	0	0
CCT7	0	0
ASF1	0	0
MTC1	0	0
GCD14	0	0
TIM17	0	0
SSY5	0	0
FAR1	0	0
TPK1	0	0
ERG20	0	0
RFA3	0	0
KRE9	0	0
CDC6	0	0
YJL195C	0	0
YJL202C	0	0
PRP21	0	0
MPP10	0	0
MRX12	0	0
POL31	0	0
SUI2	0	0
YJR012C	0	0
GPI14	0	0
ILV3	0	0
