Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	0	0
YAL068W-A	0	0
PAU8	0	0
YAL067W-A	0	0
SEO1	0	0
YAL066W	0	0
YAL065C	0	0
YAL064W-B	0	0
TDA8	0	0
YAL064W	0	0
YAL063C-A	0	0
FLO9	0	0
GDH3	0	0
BDH2	0	0
BDH1	0	0
YAL059C-A	0	0
ECM1	0	0
CNE1	0	0
YAL056C-A	0	0
GPB2	0	0
PEX22	0	0
ACS1	0	0
FLC2	0	0
OAF1	0	0
AIM2	0	0
GEM1	0	0
YAL047W-A	0	0
SPC72	0	0
BOL3	0	0
YAL045C	0	0
BOL1	0	0
GCV3	0	0
PTA1	0	0
YAL042C-A	0	0
ERV46	0	0
CDC24	0	0
CLN3	0	0
CYC3	0	0
CDC19	0	0
YAL037C-B	0	0
YAL037C-A	0	0
YAL037W	0	0
RBG1	0	0
FUN12	0	0
YAL034C-B	0	0
MTW1	0	0
FUN19	0	0
POP5	0	0
PRP45	0	0
YAL031W-A	0	0
GIP4	0	0
SNC1	0	0
MYO4	0	0
FRT2	0	0
SAW1	0	0
YAL026C-A	0	0
DRS2	0	0
MAK16	0	0
LTE1	0	0
PMT2	0	0
FUN26	0	0
CCR4	1	0
ATS1	0	0
YAL019W-A	0	0
FUN30	0	0
LDS1	0	0
PSK1	0	0
YAL016C-B	0	0
YAL016C-A	0	0
TPD3	0	0
NTG1	0	0
SYN8	0	0
DEP1	0	0
CYS3	0	0
SWC3	0	0
MDM10	0	0
SPO7	0	0
FUN14	0	0
ERP2	0	0
SSA1	0	0
YAL004W	0	0
EFB1	0	0
VPS8	0	0
TFC3	0	0
NUP60	0	0
ERP1	0	0
SWD1	0	0
RFA1	0	0
SEN34	0	0
BUD14	0	0
ADE1	0	0
KIN3	0	0
CDC15	0	0
YAR019W-A	0	0
PAU7	0	0
YAR023C	0	0
UIP3	0	0
YAR028W	0	0
YAR029W	0	0
YAR030C	0	0
PRM9	0	0
MST28	0	0
YAT1	0	0
YAR035C-A	0	0
SWH1	0	0
YAR047C	0	0
FLO1	0	0
YAR053W	0	0
YAR060C	0	0
YAR064W	0	0
YAR066W	0	0
YAR068W	0	0
YAR069C	0	0
YAR070C	0	0
PHO11	0	0
IMD1	0	0
YAR075W	0	0
YBL113C	0	0
YBL113W-A	0	0
YBL112C	0	0
YBL111C	0	0
YBL109W	0	0
PAU9	0	0
YBL108W	0	0
YBL107W-A	0	0
MIX23	0	0
SRO77	0	0
PKC1	0	0
SEA4	0	0
RTG3	0	0
SFT2	0	0
ECM21	0	0
YBL100W-C	0	0
YBL100C	0	0
ATP1	0	0
BNA4	0	0
BRN1	0	0
YBL096C	0	0
MRX3	0	0
YBL094C	0	0
ROX3	0	0
RPL32	0	0
SCS22	0	0
MAP2	0	0
MRP21	0	0
AVT5	0	0
TEL1	0	0
RPL23A	0	0
YBL086C	0	0
BOI1	0	0
CDC27	2	1
YBL083C	0	0
ALG3	0	0
YBL081W	1	0
PET112	0	0
NUP170	0	0
ATG8	0	0
YBL077W	0	0
ILS1	0	0
SSA3	0	0
AAR2	0	0
YBL073W	0	0
RPS8A	0	0
YBL071C-B	0	0
KTI11	0	0
YBL071C	0	0
YBL070C	0	0
AST1	0	0
YBL068W-A	0	0
PRS4	0	0
UBP13	0	0
SEF1	0	0
YBL065W	0	0
PRX1	0	0
KIP1	0	0
YBL062W	0	0
SKT5	0	0
YEL1	0	0
CMC2	0	0
YBL059W	0	0
SHP1	0	0
PTH2	0	0
PTC3	0	0
YBL055C	0	0
TOD6	0	0
YBL053W	0	0
SAS3	0	0
PIN4	0	0
SEC17	0	0
MOH1	0	0
RRT1	0	0
EDE1	0	0
PSY4	0	0
COR1	0	0
YBL044W	0	0
ECM13	0	0
FUI1	0	0
PRE7	0	0
ERD2	0	0
YBL039W-B	0	0
URA7	0	0
YBL039C-A	0	0
MRPL16	0	0
APL3	0	0
YBL036C	0	0
POL12	0	0
STU1	0	0
RIB1	0	0
HEK2	0	0
SHE1	0	0
PET9	0	0
YBL029C-A	0	0
YBL029W	0	0
YBL028C	0	0
RPL19B	0	0
LSM2	0	0
RRN10	0	0
NCL1	0	0
MCM2	0	0
PIM1	0	0
HAP3	0	0
RFT1	0	0
APN2	0	0
POP8	0	0
PEP1	0	0
FUS3	0	0
ACH1	0	0
RRN6	0	0
FMT1	0	0
YBL012C	0	0
SCT1	0	0
YBL010C	0	0
ALK2	0	0
YBL008W-A	0	0
HIR1	0	0
SLA1	0	0
LDB7	0	0
YBL006W-A	0	0
PDR3	0	0
