Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	27	781
YAL068W-A	11	233
PAU8	18	638
YAL067W-A	11	156
SEO1	39	1083
YAL066W	18	700
YAL065C	14	613
YAL064W-B	17	235
TDA8	12	508
YAL064W	9	109
YAL063C-A	14	919
FLO9	157	6592
GDH3	110	5292
BDH2	92	8557
BDH1	46	2374
YAL059C-A	21	694
ECM1	24	1028
CNE1	68	3740
YAL056C-A	19	1125
GPB2	48	1602
PEX22	18	598
ACS1	97	5129
FLC2	60	1432
OAF1	88	4271
AIM2	28	1455
GEM1	72	2864
YAL047W-A	17	431
SPC72	18	122
BOL3	22	759
YAL045C	12	351
BOL1	18	530
GCV3	23	603
PTA1	21	353
YAL042C-A	17	714
ERV46	46	1645
CDC24	24	692
CLN3	24	306
CYC3	76	2056
CDC19	12	156
YAL037C-B	7	47
YAL037C-A	6	279
YAL037W	23	551
RBG1	30	881
FUN12	30	982
YAL034C-B	36	3090
MTW1	14	274
FUN19	63	3062
POP5	4	24
PRP45	36	1652
YAL031W-A	18	617
GIP4	55	2023
SNC1	17	506
MYO4	112	5113
FRT2	41	1743
SAW1	31	1236
YAL026C-A	13	86
DRS2	110	3787
MAK16	5	56
LTE1	71	1668
PMT2	49	926
FUN26	60	2874
CCR4	55	1152
ATS1	51	1611
YAL019W-A	56	3978
FUN30	96	3956
LDS1	32	1445
PSK1	127	5232
YAL016C-B	15	910
YAL016C-A	16	2536
TPD3	7	21
NTG1	63	2849
SYN8	33	1887
DEP1	37	966
CYS3	34	359
SWC3	41	2289
MDM10	19	321
SPO7	26	429
FUN14	27	844
ERP2	29	1259
SSA1	168	7723
YAL004W	41	1086
EFB1	1	0
VPS8	146	9752
TFC3	26	459
NUP60	59	1998
ERP1	56	2188
SWD1	32	486
RFA1	1	0
SEN34	11	336
BUD14	82	4562
ADE1	10	125
KIN3	51	1051
CDC15	29	398
YAR019W-A	41	2547
PAU7	3	8
YAR023C	30	1845
UIP3	41	2429
YAR028W	44	2705
YAR029W	3	26
YAR030C	7	223
PRM9	33	1415
MST28	58	2636
YAT1	259	11768
YAR035C-A	13	1016
SWH1	95	3791
YAR047C	0	0
FLO1	205	11507
YAR053W	3	2
YAR060C	19	373
YAR064W	29	375
YAR066W	11	52
YAR068W	19	251
YAR069C	9	170
YAR070C	8	45
PHO11	38	1393
IMD1	15	432
YAR075W	3	8
YBL113C	184	2948
YBL113W-A	62	891
YBL112C	31	469
YBL111C	306	5470
YBL109W	32	1105
PAU9	11	249
YBL108W	23	529
YBL107W-A	10	48
MIX23	26	753
SRO77	69	2956
PKC1	35	1083
SEA4	90	3376
RTG3	30	1685
SFT2	15	304
ECM21	74	3223
YBL100W-C	10	387
YBL100C	4	21
ATP1	16	199
BNA4	35	2026
BRN1	34	992
YBL096C	23	1254
MRX3	22	1405
YBL094C	2	7
ROX3	17	305
RPL32	2	9
SCS22	19	801
MAP2	21	403
MRP21	8	79
AVT5	32	872
TEL1	158	5484
RPL23A	26	1094
YBL086C	9	170
BOI1	53	2785
CDC27	20	413
YBL083C	8	54
ALG3	29	516
YBL081W	23	567
PET112	38	840
NUP170	68	1609
ATG8	7	79
YBL077W	15	673
ILS1	21	178
SSA3	91	3197
AAR2	27	900
YBL073W	27	1639
RPS8A	12	297
YBL071C-B	6	53
KTI11	2	1
YBL071C	8	226
YBL070C	10	768
AST1	39	2753
YBL068W-A	9	212
PRS4	24	751
UBP13	33	723
SEF1	61	1898
YBL065W	17	593
PRX1	15	485
KIP1	82	3391
YBL062W	10	333
SKT5	37	1141
YEL1	51	1993
CMC2	3	4
YBL059W	17	478
SHP1	32	505
PTH2	31	2023
PTC3	33	1338
YBL055C	47	1468
TOD6	35	1586
YBL053W	7	125
SAS3	39	1373
PIN4	38	1125
SEC17	10	160
MOH1	14	66
RRT1	9	93
EDE1	69	2222
PSY4	46	1661
COR1	8	34
YBL044W	56	4163
ECM13	27	1827
FUI1	46	1694
PRE7	5	25
ERD2	21	387
YBL039W-B	3	5
URA7	41	1884
YBL039C-A	1	0
MRPL16	10	91
APL3	68	2241
YBL036C	19	1210
POL12	24	882
STU1	61	1114
RIB1	14	511
HEK2	36	971
SHE1	33	1116
PET9	17	149
YBL029C-A	8	204
YBL029W	62	2741
YBL028C	12	434
RPL19B	19	157
LSM2	3	40
RRN10	3	7
NCL1	50	2236
MCM2	21	313
PIM1	59	1461
HAP3	16	229
RFT1	17	231
APN2	47	1849
POP8	8	296
PEP1	133	5180
FUS3	56	2961
ACH1	80	5170
RRN6	36	712
FMT1	167	11260
YBL012C	27	1014
SCT1	67	3078
YBL010C	36	2140
ALK2	74	4068
YBL008W-A	29	908
HIR1	69	1980
SLA1	50	1085
LDB7	34	1443
YBL006W-A	12	481
PDR3	125	5034
UTP20	52	775
HTA2	28	1032
HTB2	33	2394
ECM15	32	1722
NTH2	141	10387
RER2	14	888
COQ1	40	915
GPI18	10	237
RCR1	54	3856
UGA2	117	9736
DSF2	110	6857
FLR1	107	7122
HHF1	12	93
HHT1	28	602
IPP1	23	763
YBR012C	21	841
YBR013C	18	563
GRX7	15	259
MNN2	48	1989
YBR016W	28	1114
KAP104	30	522
GAL7	38	1966
GAL10	94	5617
GAL1	63	3445
FUR4	45	2149
POA1	27	1235
CHS3	38	640
SCO2	45	2588
OLA1	35	1551
ETR1	25	918
YBR027C	38	1208
YPK3	35	1112
CDS1	28	497
RKM3	40	1753
RPL4A	23	656
YBR032W	34	1520
EDS1	74	2953
HMT1	31	731
PDX3	24	570
CSG2	12	233
SCO1	21	330
CHS2	37	867
ATP3	24	185
FIG1	12	307
FAT1	29	505
CST26	29	1564
QDR3	48	2507
TCM62	38	1408
GIP1	36	1375
ZTA1	17	373
FMP23	24	1376
RPS11B	16	244
REB1	25	436
REG2	24	1023
YBR051W	6	162
RFS1	18	321
YBR053C	27	1222
YRO2	45	2634
PRP6	37	1295
YBR056W	58	2234
YBR056W-A	9	326
YBR056C-B	9	326
MUM2	33	1065
UBP14	34	774
TSC3	3	2
AKL1	55	2696
ORC2	20	530
TRM7	27	443
YBR062C	12	239
YBR063C	15	402
YBR064W	7	94
ECM2	24	785
NRG2	17	377
TIP1	21	637
BAP2	62	2538
TAT1	45	1921
ALG14	4	18
YBR071W	35	723
HSP26	30	782
YBR072C-A	12	275
RDH54	45	1687
PFF1	69	2050
ECM8	44	2461
YBR076C-A	17	960
SLM4	12	377
ECM33	20	208
RPG1	44	641
SEC18	19	251
SPT7	51	1111
UBC4	25	1457
TEC1	38	2589
MIS1	58	2272
RPL19A	22	304
AAC3	13	142
YBR085C-A	6	46
IST2	61	1119
RFC5	7	36
POL30	4	6
YBR089W	1	0
NHP6B	6	33
YBR090C	49	961
TIM12	0	0
PHO3	27	710
PHO5	34	1135
PBY1	61	1975
RXT2	10	163
YBR096W	12	493
VPS15	37	609
MMS4	46	886
YBR099C	8	58
FES1	13	228
EXO84	34	593
SIF2	30	1676
YBR103C-A	20	937
YMC2	23	779
VID24	27	1323
PHO88	21	703
IML3	11	228
AIM3	53	2534
CMD1	3	4
YBR109W-A	8	281
ALG1	7	70
YSA1	24	1144
SUS1	6	69
CYC8	30	454
YBR113W	9	112
RAD16	64	3140
LYS2	86	3660
YBR116C	30	984
TKL2	63	2019
TEF2	57	1085
MUD1	17	349
CBP6	2	1
GRS1	0	0
YBR121C-A	0	0
MRPL36	7	73
TFC1	16	120
YBR124W	13	713
PTC4	27	505
TPS1	21	332
YBR126W-A	10	358
YBR126W-B	10	267
VMA2	13	241
ATG14	37	1182
OPY1	13	335
SHE3	12	163
CCZ1	22	378
YBR131C-A	1	0
AGP2	33	1438
HSL7	24	500
YBR134W	14	659
CKS1	4	59
MEC1	54	1342
YBR137W	10	622
YBR138C	24	519
YBR139W	46	1606
IRA1	70	1342
BMT2	24	830
YBR141W-A	1	0
MAK5	25	569
SUP45	12	88
YBR144C	34	3152
ADH5	31	1417
MRPS9	19	266
RTC2	32	1418
YSW1	31	746
ARA1	27	1188
TBS1	59	1473
APD1	23	866
SPP381	13	442
RIB7	6	16
RPB5	5	11
CNS1	6	9
SLI15	15	422
ICS2	18	480
AMN1	32	1297
IFA38	8	84
CDC28	6	98
CSH1	12	647
TOS1	28	749
YSY6	2	2
EXO5	26	496
ARL1	6	26
UBS1	15	450
TYR1	34	1119
POP7	5	18
PEX32	29	844
SSE2	43	1324
NPL4	29	948
SEC66	10	134
SMY2	27	681
UMP1	3	7
YBR174C	10	210
SWD3	11	39
ECM31	8	166
EHT1	24	549
YBR178W	33	1367
FZO1	42	606
DTR1	28	907
RPS6B	9	142
SMP1	24	684
YBR182C-A	5	38
YPC1	29	468
YBR184W	25	1048
MBA1	9	105
PCH2	51	2882
GDT1	14	579
NTC20	11	163
RPS9B	4	12
YBR190W	15	266
RPL21A	11	214
YBR191W-A	1	0
RIM2	6	27
MED8	4	189
AIM4	6	302
MSI1	30	767
PGI1	10	49
YBR196C-A	9	310
YBR196C-B	7	224
YBR197C	25	1216
TAF5	24	440
KTR4	15	605
BEM1	9	49
YBR200W-A	3	14
DER1	13	529
YBR201C-A	2	22
MCM7	20	338
COS111	44	1257
LDH1	22	582
KTR3	26	597
YBR206W	4	6
FTH1	36	2072
DUR1,2	101	4110
YBR209W	28	1023
ERV15	2	1
AME1	9	85
NGR1	37	927
MET8	40	1549
SDS24	53	2647
HPC2	24	733
YBP1	23	1128
ATG12	13	217
PYC2	67	2134
YBR219C	35	1248
YBR220C	36	1684
PDB1	17	440
YBR221W-A	19	755
PCS60	34	1141
TDP1	45	2046
YBR223W-A	10	675
YBR224W	28	369
YBR225W	25	632
YBR226C	9	71
MCX1	24	536
SLX1	23	762
ROT2	60	2058
OM14	17	97
YBR230W-A	14	481
SWC5	22	1062
YBR232C	10	275
PBP2	35	2389
DAD3	2	20
ARC40	12	257
VHC1	68	2316
ABD1	19	473
PRP5	23	485
YBR238C	33	890
ERT1	40	1672
THI2	40	1677
YBR241C	74	3861
YBR242W	14	130
ALG7	7	62
GPX2	10	456
ISW1	79	4757
RRT2	34	1648
ENP1	12	117
HIS7	34	1278
ARO4	24	735
SPO23	16	603
MRPS5	13	233
DUT1	3	100
SRB6	7	79
TRS20	5	26
MTC4	39	1107
