Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	28	994
YAL068W-A	9	367
PAU8	23	397
YAL067W-A	9	138
SEO1	36	1526
YAL066W	17	751
YAL065C	20	549
YAL064W-B	14	346
TDA8	12	501
YAL064W	10	45
YAL063C-A	17	1109
FLO9	152	6665
GDH3	110	5857
BDH2	94	9272
BDH1	58	1898
YAL059C-A	15	1047
ECM1	16	1453
CNE1	64	3158
YAL056C-A	22	776
GPB2	50	1134
PEX22	23	750
ACS1	101	5228
FLC2	60	2514
OAF1	89	4015
AIM2	28	2144
GEM1	58	3251
YAL047W-A	15	828
SPC72	16	144
BOL3	22	633
YAL045C	10	537
BOL1	15	725
GCV3	18	506
PTA1	26	369
YAL042C-A	16	699
ERV46	41	1828
CDC24	18	343
CLN3	16	490
CYC3	67	2194
CDC19	12	221
YAL037C-B	6	77
YAL037C-A	7	408
YAL037W	25	810
RBG1	32	1565
FUN12	27	519
YAL034C-B	33	4206
MTW1	14	309
FUN19	50	2702
POP5	4	60
PRP45	35	1481
YAL031W-A	20	714
GIP4	53	2270
SNC1	14	513
MYO4	108	4757
FRT2	42	1976
SAW1	26	1223
YAL026C-A	11	128
DRS2	115	5159
MAK16	2	1
LTE1	70	1857
PMT2	54	1690
FUN26	60	3124
CCR4	43	948
ATS1	39	2026
YAL019W-A	51	3973
FUN30	96	3369
LDS1	36	1064
PSK1	117	5913
YAL016C-B	17	1164
YAL016C-A	18	2039
TPD3	10	34
NTG1	66	3154
SYN8	36	2966
DEP1	32	872
CYS3	33	502
SWC3	47	2107
MDM10	24	158
SPO7	27	718
FUN14	26	1310
ERP2	25	1097
SSA1	154	5129
YAL004W	36	763
EFB1	1	0
VPS8	153	10358
TFC3	45	829
NUP60	50	2037
ERP1	47	2509
SWD1	30	364
RFA1	0	0
SEN34	15	395
BUD14	85	3331
ADE1	14	434
KIN3	42	618
CDC15	31	1058
YAR019W-A	34	2050
PAU7	4	35
YAR023C	22	1147
UIP3	41	2796
YAR028W	43	3174
YAR029W	3	34
YAR030C	5	93
PRM9	34	1685
MST28	64	3222
YAT1	249	12686
YAR035C-A	12	794
SWH1	98	3666
YAR047C	0	0
FLO1	204	11423
YAR053W	2	1
YAR060C	18	243
YAR064W	28	501
YAR066W	12	172
YAR068W	20	200
YAR069C	13	396
YAR070C	11	105
PHO11	46	1449
IMD1	17	243
YAR075W	5	6
YBL113C	180	3293
YBL113W-A	63	1052
YBL112C	27	437
YBL111C	310	5647
YBL109W	34	898
PAU9	11	137
YBL108W	22	868
YBL107W-A	12	72
MIX23	20	750
SRO77	58	2870
PKC1	39	1185
SEA4	81	2841
RTG3	33	1491
SFT2	18	343
ECM21	69	3494
YBL100W-C	9	369
YBL100C	4	12
ATP1	12	146
BNA4	36	1420
BRN1	27	972
YBL096C	26	1069
MRX3	20	960
YBL094C	1	0
ROX3	16	736
RPL32	2	1
SCS22	19	856
MAP2	17	388
MRP21	13	239
AVT5	36	1402
TEL1	154	6734
RPL23A	30	863
YBL086C	6	61
BOI1	48	1724
CDC27	26	813
YBL083C	10	74
ALG3	31	553
YBL081W	22	565
PET112	40	623
NUP170	72	1829
ATG8	6	32
YBL077W	12	775
ILS1	23	283
SSA3	84	3740
AAR2	27	1081
YBL073W	22	1486
RPS8A	12	130
YBL071C-B	6	126
KTI11	4	25
YBL071C	8	180
YBL070C	14	1484
AST1	42	2157
YBL068W-A	8	175
PRS4	25	734
UBP13	41	1295
SEF1	54	1944
YBL065W	17	911
PRX1	21	919
KIP1	73	3183
YBL062W	9	539
SKT5	35	1361
YEL1	50	2437
CMC2	2	5
YBL059W	17	251
SHP1	32	1172
PTH2	22	1071
PTC3	32	893
YBL055C	43	1601
TOD6	34	1492
YBL053W	7	119
SAS3	39	1098
PIN4	38	1846
SEC17	10	224
MOH1	11	156
RRT1	3	30
EDE1	65	2218
PSY4	37	2023
COR1	7	44
YBL044W	61	4473
ECM13	29	1371
FUI1	53	1703
PRE7	6	73
ERD2	19	394
YBL039W-B	5	19
URA7	40	1519
YBL039C-A	1	0
MRPL16	7	60
APL3	60	2150
YBL036C	20	954
POL12	27	676
STU1	55	1224
RIB1	14	420
HEK2	37	1329
SHE1	36	779
PET9	18	160
YBL029C-A	10	204
YBL029W	64	3091
YBL028C	11	1079
RPL19B	15	150
LSM2	3	18
RRN10	3	23
NCL1	47	2745
MCM2	11	356
PIM1	67	1367
HAP3	18	268
RFT1	16	402
APN2	47	2362
POP8	9	88
PEP1	131	5265
FUS3	66	3605
ACH1	102	6694
RRN6	41	748
FMT1	164	11147
YBL012C	28	1307
SCT1	77	3920
YBL010C	29	1074
ALK2	70	2770
YBL008W-A	27	1043
HIR1	62	1734
SLA1	43	1188
LDB7	33	1518
YBL006W-A	12	567
PDR3	121	7328
UTP20	54	1158
HTA2	34	1384
HTB2	36	3073
ECM15	36	2416
NTH2	134	9969
RER2	17	925
COQ1	43	1791
GPI18	15	85
RCR1	51	4121
UGA2	115	10385
DSF2	118	7213
FLR1	113	7692
HHF1	13	133
HHT1	29	659
IPP1	17	267
YBR012C	20	603
YBR013C	19	838
GRX7	18	702
MNN2	36	1139
YBR016W	32	848
KAP104	30	509
GAL7	34	2079
GAL10	94	5911
GAL1	70	3965
FUR4	45	1561
POA1	27	1479
CHS3	40	750
SCO2	42	3307
OLA1	29	1163
ETR1	21	249
YBR027C	34	1175
YPK3	34	1264
CDS1	26	620
RKM3	39	1903
RPL4A	18	522
YBR032W	34	1723
EDS1	70	2829
HMT1	44	1443
PDX3	25	751
CSG2	16	126
SCO1	16	281
CHS2	31	414
ATP3	17	351
FIG1	11	193
FAT1	23	531
CST26	29	1465
QDR3	43	1661
TCM62	36	1100
GIP1	42	1817
ZTA1	19	221
FMP23	25	1058
RPS11B	17	333
REB1	25	561
REG2	24	906
YBR051W	8	198
RFS1	18	481
YBR053C	31	1484
YRO2	42	2538
PRP6	34	1521
YBR056W	53	2569
YBR056W-A	9	81
YBR056C-B	8	75
MUM2	34	1548
UBP14	31	695
TSC3	2	2
AKL1	52	2811
ORC2	23	887
TRM7	20	282
YBR062C	14	320
YBR063C	18	299
YBR064W	7	109
ECM2	26	1333
NRG2	17	636
TIP1	16	220
BAP2	65	2626
TAT1	46	1538
ALG14	8	87
YBR071W	26	747
HSP26	27	1270
YBR072C-A	11	153
RDH54	51	1698
PFF1	61	3121
ECM8	39	3259
YBR076C-A	18	1108
SLM4	9	112
ECM33	12	77
RPG1	40	795
SEC18	23	309
SPT7	57	1419
UBC4	27	868
TEC1	40	2850
MIS1	59	2105
RPL19A	28	458
AAC3	13	338
YBR085C-A	10	229
IST2	57	1177
RFC5	6	50
POL30	6	33
YBR089W	2	1
NHP6B	7	91
YBR090C	46	1049
TIM12	1	0
PHO3	28	1291
PHO5	33	1385
PBY1	51	2043
RXT2	11	151
YBR096W	13	193
VPS15	42	594
MMS4	49	1520
YBR099C	6	67
FES1	7	57
EXO84	33	828
SIF2	31	913
YBR103C-A	19	1285
YMC2	22	879
VID24	27	1422
PHO88	16	426
IML3	9	178
AIM3	52	2529
CMD1	2	1
YBR109W-A	5	90
ALG1	7	100
YSA1	27	830
SUS1	7	131
CYC8	36	645
YBR113W	8	60
RAD16	58	3010
LYS2	91	4629
YBR116C	29	1457
TKL2	64	2307
TEF2	51	1103
MUD1	12	400
CBP6	3	12
GRS1	0	0
YBR121C-A	0	0
MRPL36	9	178
TFC1	16	241
YBR124W	15	668
PTC4	24	508
TPS1	15	454
YBR126W-A	7	155
YBR126W-B	6	73
VMA2	8	230
ATG14	40	2344
OPY1	14	489
SHE3	12	289
CCZ1	16	243
YBR131C-A	2	1
AGP2	39	1505
HSL7	26	606
YBR134W	15	646
CKS1	4	25
MEC1	50	1548
YBR137W	9	933
YBR138C	24	634
YBR139W	36	1427
IRA1	57	1483
BMT2	22	1522
YBR141W-A	0	0
MAK5	31	777
SUP45	12	172
YBR144C	33	2891
ADH5	39	1688
MRPS9	18	437
RTC2	29	1382
YSW1	34	918
ARA1	25	539
TBS1	61	2125
APD1	28	1437
SPP381	17	558
RIB7	6	48
RPB5	3	19
CNS1	5	12
SLI15	14	549
ICS2	14	797
AMN1	32	1037
IFA38	7	45
CDC28	9	44
CSH1	12	466
TOS1	25	1218
YSY6	2	20
EXO5	32	391
ARL1	5	57
UBS1	15	555
TYR1	29	917
POP7	4	5
PEX32	30	1029
SSE2	43	2101
NPL4	31	883
SEC66	9	211
SMY2	24	861
UMP1	3	2
YBR174C	10	370
SWD3	13	372
ECM31	10	278
EHT1	20	677
YBR178W	34	1202
FZO1	43	1122
DTR1	40	1627
RPS6B	13	140
SMP1	17	658
YBR182C-A	3	22
YPC1	25	489
YBR184W	26	500
MBA1	14	185
PCH2	47	3293
GDT1	13	174
NTC20	11	242
RPS9B	6	79
YBR190W	17	301
RPL21A	13	182
YBR191W-A	2	2
RIM2	6	35
MED8	5	13
AIM4	6	40
MSI1	23	780
PGI1	11	108
YBR196C-A	10	172
YBR196C-B	7	381
YBR197C	26	1033
