Gene name	Number of transposons per gene	Number of reads per gene
YAL069W	32	983
YAL068W-A	7	105
PAU8	27	461
YAL067W-A	18	73
SEO1	52	3405
YAL066W	22	651
YAL065C	23	591
YAL064W-B	25	1385
TDA8	17	809
YAL064W	14	159
YAL063C-A	21	1281
FLO9	185	7022
GDH3	100	4621
BDH2	109	7783
BDH1	69	2985
YAL059C-A	20	450
ECM1	22	491
CNE1	80	5894
YAL056C-A	20	1878
GPB2	58	2495
PEX22	32	1019
ACS1	124	5865
FLC2	70	1586
OAF1	112	4132
AIM2	24	1064
GEM1	82	3674
YAL047W-A	24	1379
SPC72	20	544
BOL3	16	399
YAL045C	17	394
BOL1	22	580
GCV3	19	1236
PTA1	23	474
YAL042C-A	27	1440
ERV46	64	3643
CDC24	15	582
CLN3	16	555
CYC3	78	2487
CDC19	17	414
YAL037C-B	10	126
YAL037C-A	11	365
YAL037W	32	591
RBG1	44	1418
FUN12	15	704
YAL034C-B	35	4379
MTW1	13	344
FUN19	44	1453
POP5	2	1
PRP45	30	960
YAL031W-A	20	872
GIP4	67	3241
SNC1	17	314
MYO4	122	5598
FRT2	45	2233
SAW1	45	1602
YAL026C-A	28	747
DRS2	116	4965
MAK16	5	13
LTE1	67	1224
PMT2	58	2692
FUN26	73	3149
CCR4	60	2316
ATS1	53	2745
YAL019W-A	59	4178
FUN30	92	3774
LDS1	32	609
PSK1	133	5025
YAL016C-B	16	744
YAL016C-A	15	676
TPD3	14	83
NTG1	63	2384
SYN8	40	2162
DEP1	20	263
CYS3	28	573
SWC3	66	3836
MDM10	30	722
SPO7	21	271
FUN14	41	1736
ERP2	33	1664
SSA1	185	7023
YAL004W	29	812
EFB1	3	2
VPS8	200	17348
TFC3	27	1026
NUP60	73	2268
ERP1	53	1782
SWD1	35	899
RFA1	2	6
SEN34	12	143
BUD14	98	3872
ADE1	8	58
KIN3	39	519
CDC15	17	447
YAR019W-A	48	2550
PAU7	10	31
YAR023C	33	1978
UIP3	37	1496
YAR028W	46	2858
YAR029W	9	184
YAR030C	10	239
PRM9	58	2384
MST28	66	2628
YAT1	309	11767
YAR035C-A	11	149
SWH1	107	2832
YAR047C	0	0
FLO1	237	12814
YAR053W	7	129
YAR060C	7	58
YAR064W	23	140
YAR066W	17	274
YAR068W	11	145
YAR069C	10	246
YAR070C	9	305
PHO11	45	1176
IMD1	19	218
YAR075W	4	18
YBL113C	222	3363
YBL113W-A	76	986
YBL112C	33	379
YBL111C	331	6354
YBL109W	31	718
PAU9	16	159
YBL108W	19	506
YBL107W-A	9	35
MIX23	22	222
SRO77	79	3450
PKC1	40	1167
SEA4	96	4900
RTG3	30	475
SFT2	23	1276
ECM21	92	7718
YBL100W-C	10	400
YBL100C	0	0
ATP1	9	101
BNA4	37	1441
BRN1	30	627
YBL096C	20	541
MRX3	29	595
YBL094C	6	35
ROX3	19	267
RPL32	2	1
SCS22	19	468
MAP2	31	1597
MRP21	8	119
AVT5	40	1661
TEL1	178	6109
RPL23A	39	1344
YBL086C	13	120
BOI1	59	2377
CDC27	22	908
YBL083C	6	61
ALG3	24	1007
YBL081W	20	497
PET112	26	616
NUP170	97	3358
ATG8	3	28
YBL077W	12	414
ILS1	23	286
SSA3	111	3927
AAR2	38	929
YBL073W	29	1929
RPS8A	7	71
YBL071C-B	3	11
KTI11	3	12
YBL071C	8	448
YBL070C	9	236
AST1	36	1072
YBL068W-A	6	60
PRS4	22	645
UBP13	24	264
SEF1	63	2697
