Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[]	[]
EFB1	I	142174	143160	[]	[]
MAK16	I	100225	101145	[]	[]
PRP45	I	83335	84474	[]	[]
POP5	I	82706	83227	[]	[]
YAL034C-B	I	79489	79842	[]	[]
MTW1	I	79718	80587	[]	[]
CDC19	I	71786	73288	[]	[]
CDC24	I	62840	65404	[]	[]
PTA1	I	58695	61052	[]	[]
RFA1	I	156754	158619	[]	[]
SEN34	I	158966	159793	[]	[]
CDC15	I	172211	175135	[]	[]
HTA2	II	235394	235792	[]	[]
UTP20	II	227636	235117	[]	[]
RRN6	II	199064	201748	[]	[]
POP8	II	185998	186474	[]	[]
RFT1	II	182401	184125	[]	[]
MCM2	II	174920	177526	[]	[]
LSM2	II	170623	171038	[]	[]
PET9	II	163041	163997	[]	[]
STU1	II	153848	158389	[]	[]
POL12	II	151493	153610	[]	[]
ERD2	II	142112	142868	[]	[]
PRE7	II	141247	141972	[]	[]
SEC17	II	125125	126119	[]	[]
YBL073W	II	87646	87957	[]	[]
AAR2	II	86722	87789	[]	[]
ILS1	II	81043	84261	[]	[]
YBL077W	II	80897	81328	[]	[]
CDC27	II	67169	69445	[68281, 68324]	[1, 2]
RPL32	II	45978	46370	[]	[]
BRN1	II	40831	43095	[]	[]
SFT2	II	24098	24745	[]	[]
PKC1	II	14241	17696	[]	[]
RER2	II	241708	242568	[]	[]
GPI18	II	244366	245667	[]	[]
HHF1	II	255373	255684	[]	[]
IPP1	II	257112	257975	[]	[]
SCO2	II	289445	290350	[]	[]
CDS1	II	296369	297742	[]	[]
CHS2	II	311898	314789	[]	[]
REB1	II	334386	336818	[]	[]
PRP6	II	344602	347301	[]	[]
TSC3	II	356324	356566	[]	[]
ORC2	II	360652	362514	[]	[]
ALG14	II	379221	379934	[]	[]
RPG1	II	395383	398277	[]	[]
SEC18	II	398614	400890	[]	[]
RFC5	II	423765	424829	[]	[]
POL30	II	424990	425766	[]	[]
YBR089W	II	425183	425782	[]	[]
TIM12	II	427155	427484	[]	[]
EXO84	II	445062	447323	[]	[]
CMD1	II	457919	458362	[]	[]
ALG1	II	458872	460221	[]	[]
GRS1	II	481364	483367	[]	[]
TFC1	II	484742	486691	[]	[]
YBR124W	II	486507	486866	[]	[]
CKS1	II	504854	505306	[]	[]
MEC1	II	505668	512774	[]	[]
IRA1	II	517350	526628	[]	[]
MAK5	II	528317	530638	[]	[]
SUP45	II	530869	532182	[]	[]
SPP381	II	546376	547251	[]	[]
RIB7	II	547460	548194	[]	[]
RPB5	II	548362	549009	[]	[]
CNS1	II	549771	550928	[]	[]
AMN1	II	556549	558198	[]	[]
CDC28	II	560078	560974	[]	[]
POP7	II	571468	571890	[]	[]
YBR190W	II	605966	606277	[]	[]
RIM2	II	607652	608785	[]	[]
MED8	II	609082	609753	[]	[]
PGI1	II	612236	613900	[]	[]
TAF5	II	616127	618523	[]	[]
MCM7	II	625772	628309	[]	[]
AME1	II	646158	647132	[]	[]
DAD3	II	684977	685261	[]	[]
ARC40	II	685438	686592	[]	[]
ABD1	II	690383	691693	[]	[]
PRP5	II	691969	694518	[]	[]
ALG7	II	705447	706793	[]	[]
ENP1	II	713004	714455	[]	[]
DUT1	II	722611	723054	[]	[]
SRB6	II	723270	723635	[]	[]
TRS20	II	723736	724263	[]	[]
RIB5	II	727386	728102	[]	[]
POP4	II	728885	729724	[]	[]
TSC10	II	738582	739544	[]	[]
PGS1	III	109105	110670	[]	[]
NFS1	III	92777	94270	[]	[]
RRP7	III	64675	65568	[]	[]
YCL041C	III	50133	50627	[]	[]
PDI1	III	48653	50221	[]	[]
PBN1	III	34143	35393	[]	[]
SPB1	III	31449	33974	[]	[]
KRR1	III	22429	23379	[]	[]
HMLALPHA2	III	12386	13018	[]	[]
PGK1	III	137746	138996	[]	[]
YCR013C	III	138402	139049	[]	[]
RRP43	III	191834	193018	[]	[]
MATALPHA2	III	199546	200178	[]	[]
RSC6	III	214994	216445	[]	[]
CTR86	III	218376	220067	[]	[]
PWP2	III	220457	223228	[]	[]
RSA4	III	240805	242352	[]	[]
CDC39	III	280117	286443	[]	[]
HMRA2	III	293179	293538	[]	[]
MCD1	IV	444683	446383	[]	[]
ATP16	IV	443029	443511	[]	[]
RPT2	IV	438047	439360	[]	[]
APC11	IV	433497	433994	[]	[]
SLX5	IV	429067	430926	[]	[]
NOP1	IV	427364	428347	[]	[]
TSC13	IV	426002	426934	[]	[]
YDL016C	IV	425570	425872	[]	[]
CDC7	IV	424209	425732	[]	[]
MPS1	IV	400997	403291	[]	[]
ARP2	IV	399340	400638	[]	[]
PRP9	IV	397537	399129	[]	[]
DBP10	IV	394217	397204	[]	[]
PRP11	IV	375680	376480	[]	[]
FAD1	IV	372688	373608	[]	[]
PSA1	IV	355674	356759	[]	[]
USO1	IV	345665	351037	[]	[]
TSR1	IV	341619	343985	[]	[]
UBC9	IV	337487	338070	[]	[]
COX9	IV	334217	334396	[]	[]
SUB2	IV	305237	306577	[]	[]
LUC7	IV	300214	300999	[]	[]
SRP14	IV	292781	293221	[]	[]
RPN6	IV	285391	286695	[]	[]
SNU23	IV	284581	285165	[]	[]
POL3	IV	276872	280165	[]	[]
QRI1	IV	275148	276581	[]	[]
NSE4	IV	272389	273597	[]	[]
KIN28	IV	267698	268699	[]	[]
RRP42	IV	263313	264110	[]	[]
YFH1	IV	245923	246447	[]	[]
CDC48	IV	236157	238664	[]	[]
CDC53	IV	224304	226751	[]	[]
SCM3	IV	211375	212046	[]	[]
RPO21	IV	205360	210561	[]	[]
BPL1	IV	203039	205111	[]	[]
CCT4	IV	199996	201582	[]	[]
COP1	IV	194571	198176	[]	[]
RPN5	IV	190924	192261	[]	[]
NOP14	IV	188154	190586	[]	[]
RPC53	IV	183343	184611	[]	[]
YDL152W	IV	182822	183187	[]	[]
SAS10	IV	181186	183018	[]	[]
CLB3	IV	176773	178056	[]	[]
YDL163W	IV	166956	167258	[]	[]
CDC9	IV	164987	167254	[]	[]
CDC36	IV	164290	164865	[]	[]
FAP7	IV	163449	164042	[]	[]
NUS1	IV	114672	115799	[]	[]
SEC31	IV	107208	111029	[]	[]
YDL196W	IV	106741	107070	[]	[]
HEM3	IV	92762	93745	[]	[]
GLE1	IV	88248	89864	[]	[]
NHP2	IV	87512	87982	[]	[]
CWC2	IV	86207	87226	[]	[]
SHR3	IV	78426	79058	[]	[]
TIM22	IV	67983	68606	[]	[]
CDC13	IV	62244	65018	[]	[]
YDL221W	IV	62011	62562	[]	[]
YPD1	IV	33415	33918	[]	[]
YRB1	IV	453045	453650	[]	[]
PSF1	IV	473157	473783	[]	[]
DAD1	IV	478474	478758	[]	[]
FAL1	IV	486804	488003	[]	[]
SES1	IV	489508	490896	[]	[]
KRS1	IV	525440	527215	[]	[]
RSM10	IV	539803	540414	[]	[]
HEM13	IV	546642	547628	[]	[]
RPC11	IV	547978	548310	[]	[]
BAP3	IV	548762	550576	[]	[]
HEM12	IV	551860	552948	[]	[]
TPI1	IV	555726	556472	[]	[]
DBF4	IV	558511	560625	[]	[]
YDR053W	IV	560249	560644	[]	[]
CDC34	IV	561440	562327	[]	[]
MAK21	IV	570649	573726	[]	[]
LCB2	IV	576474	578159	[]	[]
RPS13	IV	579458	580452	[]	[]
PDC2	IV	607304	610081	[]	[]
STN1	IV	610441	611925	[]	[]
SSS1	IV	616928	617170	[]	[]
RRP1	IV	617470	618306	[]	[]
SLU7	IV	618497	619645	[]	[]
RLI1	IV	626708	628534	[]	[]
PDS1	IV	680496	681617	[]	[]
APC4	IV	685882	687840	[]	[]
INO2	IV	698554	699468	[]	[]
DOP1	IV	734901	739997	[]	[]
TAF12	IV	746738	748357	[]	[]
CTH1	IV	764178	765155	[]	[]
SSY1	IV	776163	778721	[]	[]
SEC1	IV	782041	784215	[]	[]
SEC5	IV	786306	789221	[]	[]
TAF10	IV	789449	790069	[]	[]
CDC37	IV	790328	791848	[]	[]
SEC7	IV	796193	802222	[]	[]
SUP35	IV	808324	810381	[]	[]
UBC1	IV	816878	817525	[]	[]
SCC2	IV	821295	825776	[]	[]
CDC1	IV	827582	829057	[]	[]
YDR187C	IV	836228	836746	[]	[]
CCT6	IV	836421	838061	[]	[]
SLY1	IV	838392	840392	[]	[]
RVB1	IV	840604	841995	[]	[]
CAB5	IV	850274	850999	[]	[]
SPC19	IV	856317	856814	[]	[]
MSS4	IV	868224	870563	[]	[]
GCD6	IV	884727	886865	[]	[]
TCP1	IV	887232	888911	[]	[]
HTB1	IV	914317	914712	[]	[]
PCF11	IV	921926	923806	[]	[]
COX20	IV	926293	926910	[]	[]
HEM1	IV	927452	929098	[]	[]
RTN1	IV	929470	930357	[]	[]
PRP42	IV	933504	935138	[]	[]
FMN1	IV	935236	935892	[]	[]
SEC26	IV	937895	940816	[]	[]
SNU56	IV	943674	945152	[]	[]
PRP28	IV	948518	950284	[]	[]
TRS23	IV	954288	954947	[]	[]
CIA1	IV	1002510	1003502	[]	[]
RRP45	IV	1020747	1021664	[]	[]
NSE3	IV	1037195	1038106	[]	[]
SRP101	IV	1043146	1045011	[]	[]
BFR2	IV	1059627	1061231	[]	[]
CFT1	IV	1063352	1067425	[]	[]
GPI11	IV	1067731	1068390	[]	[]
RSC3	IV	1068729	1071386	[]	[]
SRB7	IV	1078027	1078449	[]	[]
TFB1	IV	1085065	1086993	[]	[]
UTP4	IV	1114433	1116763	[]	[]
YCG1	IV	1117126	1120233	[]	[]
YDR327W	IV	1125302	1125628	[]	[]
SKP1	IV	1125434	1126018	[]	[]
GPI8	IV	1129588	1130823	[]	[]
FCF1	IV	1149951	1150520	[]	[]
YDR341C	IV	1151803	1153626	[]	[]
TRR1	IV	1183299	1184258	[]	[]
YDR355C	IV	1186067	1186369	[]	[]
SPC110	IV	1186107	1188941	[]	[]
BCP1	IV	1195412	1196263	[]	[]
TFC6	IV	1196679	1198697	[]	[]
ESF1	IV	1204497	1206383	[]	[]
KEI1	IV	1212848	1213614	[]	[]
FRQ1	IV	1222759	1223331	[]	[]
ARH1	IV	1226822	1228303	[]	[]
YRA1	IV	1236558	1238004	[]	[]
SAC7	IV	1252537	1254501	[]	[]
UBA2	IV	1254937	1256847	[]	[]
RPT3	IV	1261681	1262967	[]	[]
YDR396W	IV	1266295	1266795	[]	[]
NCB2	IV	1266366	1266898	[]	[]
UTP5	IV	1267471	1269402	[]	[]
RPB7	IV	1276654	1277169	[]	[]
TRS120	IV	1284069	1287938	[]	[]
RRP17	IV	1294693	1295400	[]	[]
YDR413C	IV	1294836	1295411	[]	[]
SYF1	IV	1298432	1301011	[]	[]
RPL12B	IV	1301616	1302113	[]	[]
RPN9	IV	1322205	1323386	[]	[]
TIF35	IV	1324477	1325301	[]	[]
GPI17	IV	1331237	1332841	[]	[]
GPI19	IV	1337352	1337774	[]	[]
UTP6	IV	1357580	1358902	[]	[]
GUK1	IV	1366264	1366827	[]	[]
TFB3	IV	1383811	1384776	[]	[]
SPP41	IV	1388872	1393179	[]	[]
TLG1	IV	1398026	1398700	[]	[]
UGO1	IV	1399706	1401214	[]	[]
TRS31	IV	1403322	1404173	[]	[]
PRP3	IV	1404445	1405854	[]	[]
SNM1	IV	1414575	1415171	[]	[]
RIB3	IV	1428354	1428980	[]	[]
SLD5	IV	1431012	1431896	[]	[]
SEC20	IV	1445843	1446994	[]	[]
LCD1	IV	1447830	1450073	[]	[]
PSP1	IV	1456695	1459220	[]	[]
SMT3	IV	1469400	1469705	[]	[]
YDR526C	IV	1491075	1491545	[]	[]
RBA50	IV	1491094	1492413	[]	[]
CAB1	IV	1498232	1499335	[]	[]
WBP1	V	148722	150014	[]	[]
MMS21	V	120498	121301	[]	[]
