Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147595, 147601, 147601, 147605, 147608, 147613, 147617, 147638, 147835, 148217, 148222, 148248, 148251, 148348, 148437, 148441, 148466, 148469, 148472, 148606, 148609, 148615, 148868, 148873, 148873, 148888, 148949, 149018, 149055, 149121, 149127, 149541, 150382, 150385, 150388, 150515, 150554, 150555, 150559, 150670, 150922, 150926, 150928, 150929, 151090]	[14, 310, 66, 17, 1, 63, 47, 107, 1, 1, 5, 8, 10, 3, 1, 48, 44, 13, 1, 1, 2, 13, 45, 1, 14, 4, 15, 13, 25, 2, 21, 1, 10, 27, 2, 2, 4, 1, 52, 28, 4, 11, 1, 6, 74]
EFB1	I	142174	143160	[143148]	[6]
MAK16	I	100225	101145	[101022, 101110]	[25, 1]
PRP45	I	83335	84474	[83341, 83362, 83378, 83386, 83430, 83455, 83461, 83489, 83497, 83521, 83524, 83577, 83637, 83679, 83686, 83690, 83693, 83708, 83713, 83718, 83782, 83818, 83823, 83843, 83876, 83889, 83899, 83909, 83997, 84022, 84055, 84114, 84118, 84405, 84409]	[32, 15, 157, 7, 56, 173, 124, 14, 7, 1, 3, 183, 1, 9, 1, 18, 44, 3, 12, 10, 134, 6, 77, 3, 7, 34, 270, 5, 98, 5, 163, 52, 8, 2, 17]
POP5	I	82706	83227	[83190, 83200, 83204, 83220]	[45, 1, 68, 14]
YAL034C-B	I	79489	79842	[79533, 79541, 79551, 79561, 79571, 79575, 79576, 79581, 79586, 79591, 79594, 79606, 79606, 79609, 79614, 79616, 79616, 79619, 79632, 79637, 79638, 79640, 79641, 79644, 79647, 79651, 79654, 79683, 79709, 79716, 79720, 79737, 79839]	[187, 152, 186, 85, 464, 105, 425, 1, 337, 77, 108, 158, 65, 1, 151, 381, 11, 2, 429, 1, 73, 282, 234, 704, 38, 56, 30, 14, 11, 102, 1, 38, 1]
MTW1	I	79718	80587	[79720, 79737, 79839, 79845, 79897, 79901, 80052, 80464, 80475, 80485, 80498, 80501, 80516, 80549]	[1, 38, 1, 41, 31, 1, 3, 83, 46, 32, 19, 12, 135, 1]
CDC19	I	71786	73288	[72112, 72157, 72162, 72163, 72299, 72305, 72409, 72497, 72694, 72699, 72890, 73285]	[9, 72, 8, 1, 42, 18, 66, 31, 32, 1, 8, 5]
CDC24	I	62840	65404	[63197, 63231, 63299, 63613, 63617, 63795, 63796, 63800, 63906, 63913, 64297, 64673, 64746, 64844, 64846, 65234, 65283, 65290]	[29, 2, 18, 6, 25, 1, 16, 78, 1, 104, 6, 75, 39, 2, 39, 1, 3, 2]
PTA1	I	58695	61052	[58851, 58854, 59008, 59055, 59180, 59337, 59339, 59344, 59451, 59470, 59500, 59524, 59538, 59646, 59650, 59864, 59866, 59869, 60121, 60376, 60719, 60948, 60952, 61002, 61006, 61007]	[1, 51, 9, 68, 1, 1, 2, 23, 60, 23, 2, 1, 7, 37, 12, 1, 1, 25, 31, 2, 2, 2, 1, 96, 5, 1]
RFA1	I	156754	158619	[]	[]
SEN34	I	158966	159793	[158989, 158994, 159224, 159228, 159363, 159536, 159539, 159540, 159541, 159599, 159670, 159676, 159679, 159778, 159791]	[32, 94, 15, 20, 20, 26, 1, 10, 2, 1, 64, 62, 1, 47, 252]
CDC15	I	172211	175135	[172238, 172266, 172267, 172269, 172270, 172385, 172389, 172538, 172539, 172544, 172612, 172616, 172811, 172940, 172944, 173157, 173162, 173246, 173628, 173632, 173675, 173677, 173681, 173894, 174072, 174077, 174082, 174320, 174324, 174328, 174370]	[6, 28, 1, 1, 52, 194, 2, 29, 1, 9, 130, 17, 30, 52, 51, 1, 71, 9, 341, 4, 11, 2, 15, 3, 5, 8, 3, 22, 4, 296, 1]
HTA2	II	235394	235792	[235430, 235446, 235458, 235461, 235464, 235467, 235469, 235473, 235475, 235478, 235480, 235492, 235496, 235514, 235591, 235621, 235631, 235636, 235643, 235643, 235654, 235662, 235663, 235667, 235675, 235679, 235694, 235701, 235705, 235718, 235733, 235781, 235785, 235788]	[16, 22, 22, 1, 29, 58, 5, 134, 33, 9, 4, 8, 2, 43, 29, 10, 4, 58, 307, 10, 3, 398, 4, 168, 5, 1, 32, 1, 82, 1, 1, 136, 137, 9]
