Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[336, 342, 385, 385, 387, 387, 388, 389, 390, 392, 397, 435, 439, 488, 491, 491, 494, 495, 496, 497, 498, 498, 501, 504, 508, 508, 512, 513, 514, 517, 519, 537, 543, 562, 568, 579, 581, 581, 584, 589]	[1, 3, 2, 1, 141, 1, 1, 5, 6, 98, 4, 63, 37, 5, 14, 21, 1, 1, 3, 7, 1, 41, 63, 16, 14, 285, 51, 1, 16, 1, 4, 8, 6, 48, 1, 1, 7, 3, 47, 99]
YAL068W-A	I	538	792	[543, 562, 568, 579, 581, 581, 584, 589, 698]	[6, 48, 1, 1, 7, 3, 47, 99, 16]
PAU8	I	1807	2169	[1811, 1817, 1824, 1829, 1833, 1842, 1846, 1852, 1861, 1879, 1884, 1894, 1898, 1928, 1933, 1963, 1971, 1979, 1991, 2014, 2018, 2074, 2108, 2139, 2159]	[5, 42, 28, 1, 3, 4, 6, 12, 1, 3, 14, 1, 1, 1, 40, 1, 1, 13, 17, 1, 15, 1, 21, 19, 2]
YAL067W-A	I	2480	2707	[2494, 2497, 2560, 2572, 2584, 2586, 2590, 2592, 2598, 2598, 2603, 2605, 2609, 2621, 2628, 2629, 2631]	[7, 29, 47, 80, 3, 8, 16, 3, 3, 15, 1, 9, 41, 14, 39, 2, 155]
SEO1	I	7235	9016	[7255, 7294, 7304, 7403, 7407, 7408, 7410, 7441, 7472, 7477, 7488, 7491, 7509, 7511, 7522, 7621, 7628, 7658, 7728, 7771, 7776, 8047, 8049, 8091, 8170, 8184, 8193, 8246, 8342, 8419, 8436, 8593, 8613, 8699, 8733, 8738, 8741, 8742, 8783, 8788, 8798, 8818, 8869, 8874, 8882, 8893, 8900, 8928, 8929, 8929, 8940, 8972, 8987, 9014]	[1, 35, 55, 50, 8, 41, 688, 9, 19, 54, 30, 1, 38, 21, 94, 19, 4, 117, 8, 12, 7, 13, 84, 1, 2, 3, 40, 10, 1, 2, 212, 1, 69, 10, 159, 24, 1, 2, 12, 1, 140, 7, 41, 7, 190, 63, 6, 6, 52, 341, 11, 15, 3, 49]
YAL066W	I	10091	10399	[10094, 10127, 10130, 10130, 10134, 10154, 10185, 10231, 10250, 10272, 10296, 10304, 10309, 10310, 10314, 10320, 10322, 10323, 10329, 10359, 10389, 10394]	[2, 1, 1, 238, 228, 350, 43, 28, 9, 49, 20, 29, 60, 63, 285, 50, 37, 22, 314, 235, 1, 40]
YAL065C	I	11565	11951	[11580, 11584, 11597, 11638, 11745, 11748, 11763, 11768, 11778, 11793, 11797, 11798, 11811, 11816, 11822, 11826, 11827, 11827, 11830, 11832, 11833, 11834, 11837, 11868, 11911, 11921, 11922, 11931, 11938, 11941]	[27, 92, 20, 22, 15, 19, 202, 22, 13, 43, 220, 90, 5, 1, 22, 1, 15, 144, 7, 14, 10, 11, 58, 18, 298, 3, 86, 3, 1, 34]
YAL064W-B	I	12046	12426	[12105, 12137, 12144, 12147, 12150, 12150, 12198, 12211, 12298, 12310, 12313, 12336, 12337, 12339, 12340, 12344, 12351, 12368, 12373, 12391, 12422, 12422]	[1, 27, 110, 2, 5, 29, 1, 159, 39, 15, 18, 21, 8, 1, 36, 113, 95, 5, 21, 3, 2, 1]
TDA8	I	13363	13743	[13404, 13405, 13416, 13426, 13451, 13457, 13515, 13526, 13549, 13574, 13579, 13593, 13631, 13662, 13716, 13728]	[10, 77, 9, 4, 8, 23, 24, 48, 22, 162, 35, 41, 2, 115, 25, 32]
YAL064W	I	21566	21850	[21599, 21629, 21646, 21654, 21664, 21666, 21678, 21745, 21763, 21824, 21835, 21837, 21841, 21845]	[36, 97, 2, 42, 1, 13, 21, 1, 12, 105, 32, 28, 14, 92]
