Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[336, 341, 372, 386, 388, 390, 391, 396, 443, 450, 480, 481, 486, 491, 491, 493, 493, 496, 498, 502, 503, 504, 506, 509, 515, 537, 538, 561, 565, 568, 579, 596]	[48, 46, 16, 452, 4, 7, 69, 1, 12, 15, 11, 1, 2, 58, 35, 2, 42, 82, 31, 1, 7, 7, 14, 1, 87, 2, 3, 9, 1, 2, 278, 89]
YAL068W-A	I	538	792	[538, 561, 565, 568, 579, 596, 687]	[3, 9, 1, 2, 278, 89, 1]
PAU8	I	1807	2169	[1808, 1818, 1838, 1847, 1879, 1884, 1894, 1895, 1898, 1933, 1934, 1936, 1938, 1987, 1987, 1991, 2002, 2014, 2018, 2094, 2124, 2128, 2132, 2140, 2149, 2152, 2159]	[6, 3, 130, 16, 117, 7, 2, 1, 4, 44, 1, 2, 34, 3, 1, 1, 2, 25, 6, 1, 1, 26, 75, 67, 11, 4, 1]
YAL067W-A	I	2480	2707	[2498, 2506, 2518, 2552, 2560, 2564, 2569, 2573, 2573, 2582, 2583, 2588, 2593, 2600, 2601, 2603, 2607, 2623]	[1, 2, 1, 3, 13, 1, 3, 6, 4, 30, 2, 3, 6, 1, 3, 6, 14, 4]
SEO1	I	7235	9016	[7294, 7403, 7408, 7468, 7471, 7473, 7477, 7538, 7543, 7645, 7708, 7721, 8009, 8042, 8079, 8116, 8167, 8168, 8171, 8174, 8243, 8409, 8544, 8548, 8598, 8609, 8610, 8687, 8701, 8732, 8739, 8745, 8788, 8788, 8798, 8817, 8827, 8831, 8838, 8865, 8868, 8872, 8874, 8921, 8932, 8935, 8962, 8966, 8986, 9013, 9014, 9014]	[5, 1, 43, 1, 1, 6, 86, 3, 125, 3, 280, 2, 41, 9, 161, 22, 3, 21, 1, 5, 23, 25, 15, 169, 9, 6, 185, 5, 479, 183, 2, 66, 209, 475, 1, 313, 6, 12, 1, 28, 92, 1, 115, 74, 244, 1, 37, 122, 136, 1, 29, 1]
YAL066W	I	10091	10399	[10094, 10118, 10123, 10130, 10135, 10157, 10185, 10198, 10228, 10232, 10243, 10296, 10300, 10307, 10315, 10328, 10349, 10372, 10387, 10389, 10392, 10392]	[2, 14, 267, 12, 45, 12, 14, 3, 3, 32, 63, 8, 78, 7, 1, 11, 158, 161, 3, 21, 1, 2]
YAL065C	I	11565	11951	[11613, 11619, 11626, 11751, 11764, 11770, 11773, 11790, 11797, 11804, 11808, 11832, 11832, 11834, 11838, 11839, 11843, 11865, 11884, 11921, 11925, 11941, 11948]	[149, 3, 1, 8, 22, 2, 387, 56, 39, 53, 1, 1, 5, 71, 15, 1, 1, 17, 64, 2, 78, 1, 1]
YAL064W-B	I	12046	12426	[12062, 12070, 12091, 12094, 12145, 12145, 12149, 12211, 12216, 12289, 12338, 12340, 12344, 12352, 12358, 12358, 12363, 12364, 12365, 12374, 12375, 12388, 12390, 12422, 12426]	[184, 1, 343, 1, 1, 1, 13, 281, 30, 123, 50, 12, 54, 6, 1, 10, 28, 43, 15, 1, 84, 87, 14, 2, 679]
TDA8	I	13363	13743	[13386, 13391, 13394, 13439, 13471, 13516, 13542, 13558, 13561, 13564, 13575, 13578, 13612, 13634, 13651, 13678, 13740]	[8, 227, 38, 7, 74, 52, 70, 152, 1, 46, 1, 13, 64, 15, 225, 7, 36]
YAL064W	I	21566	21850	[21600, 21650, 21657, 21665, 21668, 21679, 21705, 21791, 21803, 21806, 21814, 21824, 21832, 21839]	[7, 250, 5, 6, 21, 47, 2, 1, 23, 27, 7, 1, 1, 11]
