Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147595, 147601, 147605, 147611, 147645, 147833, 148250, 148344, 148348, 148442, 148469, 148474, 148868, 148872, 148950, 148954, 149057, 149127, 150234, 150383, 150387, 150515, 150554, 150559, 150672, 150922, 151090]	[151, 55, 473, 39, 1, 2, 35, 90, 2, 13, 126, 1, 23, 7, 1, 6, 3, 40, 1, 30, 1, 2, 5, 34, 62, 294, 2]
EFB1	I	142174	143160	[142326, 142918, 143115]	[5, 1, 1]
MAK16	I	100225	101145	[100231, 100271, 100783, 100793, 101023]	[7, 11, 1, 2, 3]
PRP45	I	83335	84474	[83345, 83362, 83370, 83412, 83456, 83464, 83502, 83504, 83516, 83526, 83642, 83677, 83684, 83686, 83687, 83700, 83817, 83823, 83873, 83892, 83895, 83997, 84001, 84002, 84003, 84033, 84055, 84114, 84118, 84405]	[13, 3, 6, 180, 1, 10, 7, 1, 4, 269, 3, 1, 72, 9, 1, 31, 5, 121, 22, 1, 83, 134, 19, 1, 13, 31, 176, 2, 1, 9]
POP5	I	82706	83227	[82947, 83143]	[1, 3]
YAL034C-B	I	79489	79842	[79494, 79533, 79554, 79556, 79558, 79561, 79562, 79564, 79569, 79572, 79575, 79577, 79581, 79585, 79586, 79589, 79594, 79609, 79609, 79610, 79617, 79631, 79637, 79640, 79644, 79646, 79649, 79654, 79704, 79707, 79711, 79717, 79722, 79737, 79840]	[38, 91, 269, 13, 268, 136, 1, 1, 192, 289, 2, 420, 624, 67, 25, 46, 272, 507, 36, 172, 404, 112, 1, 147, 20, 63, 622, 7, 1, 1, 25, 123, 4, 2, 2]
MTW1	I	79718	80587	[79722, 79737, 79840, 79844, 79897, 80475, 80483, 80506, 80515, 80518, 80520, 80523, 80528]	[4, 2, 2, 81, 37, 79, 31, 7, 31, 86, 2, 4, 64]
CDC19	I	71786	73288	[72157, 72160, 72162, 72301, 72303, 72304, 72305, 72409, 72413, 72497, 72694, 72695, 72696, 72699, 72699, 72885, 72890]	[17, 4, 109, 300, 2, 4, 104, 9, 16, 48, 39, 1, 1, 1, 26, 24, 9]
CDC24	I	62840	65404	[62927, 62935, 63193, 63292, 63295, 63299, 63612, 63617, 63800, 63911, 64672, 64841, 64844, 64846, 65284]	[17, 92, 128, 1, 21, 162, 85, 7, 12, 50, 64, 1, 2, 39, 63]
PTA1	I	58695	61052	[58697, 58699, 58854, 59003, 59008, 59055, 59060, 59339, 59345, 59433, 59493, 59507, 59539, 59646, 59650, 59864, 59868, 60121, 60136, 60377, 60952, 61002, 61006]	[5, 1, 7, 5, 19, 50, 3, 1, 9, 1, 6, 3, 32, 225, 2, 17, 147, 1, 81, 1, 1, 19, 63]
RFA1	I	156754	158619	[156756, 156781]	[80, 6]
SEN34	I	158966	159793	[158973, 158976, 158994, 159224, 159228, 159535, 159541, 159598, 159598, 159603, 159673, 159793]	[1, 15, 9, 1, 59, 4, 16, 1, 1, 58, 7, 30]
CDC15	I	172211	175135	[172266, 172270, 172385, 172389, 172540, 172544, 172612, 172811, 172944, 173628, 173632, 173678, 173681, 173894, 174324, 174332, 174574]	[70, 4, 17, 10, 10, 6, 141, 40, 74, 98, 1, 1, 98, 2, 2, 5, 9]
HTA2	II	235394	235792	[235426, 235450, 235452, 235458, 235467, 235473, 235474, 235476, 235480, 235516, 235579, 235611, 235621, 235624, 235635, 235639, 235640, 235642, 235646, 235646, 235649, 235655, 235661, 235662, 235681, 235686, 235733, 235738, 235752, 235781, 235791]	[35, 122, 5, 32, 14, 83, 35, 24, 13, 4, 1, 4, 240, 2, 20, 308, 6, 15, 47, 2, 9, 12, 4, 2, 1, 4, 23, 1, 1, 1, 6]
UTP20	II	227636	235117	[227750, 227755, 227853, 227882, 227977, 227980, 227983, 227984, 227987, 228153, 228158, 228273, 228274, 228277, 228401, 228448, 230100, 230713, 231128, 231132, 231276, 231277, 231282, 231584, 232048, 232186, 232704, 234019, 234312, 234315, 234366, 234611, 234616, 234969, 234973, 235061, 235064, 235097, 235107, 235108, 235114]	[74, 1, 57, 5, 154, 2, 45, 1, 1, 16, 19, 1, 1, 81, 53, 2, 26, 27, 83, 11, 36, 2, 98, 2, 29, 4, 4, 9, 1, 19, 1, 19, 11, 5, 9, 5, 1, 674, 2, 92, 4]
RRN6	II	199064	201748	[199074, 199079, 199083, 199120, 199275, 199277, 199301, 199306, 199339, 199350, 199409, 199461, 199464, 199465, 199466, 199633, 199688, 199707, 199909, 200203, 200311, 200315, 200423, 200553, 200554, 200557, 200600, 200670, 200689, 200906, 200918, 200976, 200980, 201617, 201746]	[1, 47, 1, 45, 11, 4, 55, 7, 10, 14, 139, 61, 1, 1, 1, 3, 2, 2, 15, 17, 2, 4, 10, 21, 1, 23, 35, 21, 12, 2, 2, 33, 259, 59, 45]
POP8	II	185998	186474	[186006, 186015, 186036, 186039, 186039, 186048, 186051, 186054, 186058, 186060, 186221, 186299, 186303, 186313, 186318, 186339]	[1, 140, 4, 32, 63, 76, 151, 103, 99, 136, 20, 2, 144, 1, 1, 15]
RFT1	II	182401	184125	[182442, 182446, 182483, 182532, 182533, 182536, 182540, 182756, 183097, 183103, 183113, 183415, 183544, 183956, 183962, 184055, 184057, 184065, 184070, 184099, 184125]	[18, 110, 2, 5, 1, 34, 1, 74, 8, 1, 2, 164, 8, 4, 2, 2, 1, 3, 10, 193, 185]
MCM2	II	174920	177526	[174953, 174967, 174973, 175262, 175266, 175272, 175409, 175417, 175423, 175668, 175679, 175682, 175682, 175683, 175683, 175684, 175694, 175776, 175781, 175894, 175898, 176056, 176061, 176709, 177249]	[6, 3, 104, 157, 3, 1, 2, 16, 2, 2, 3, 11, 31, 11, 6, 353, 1, 59, 11, 18, 18, 3, 6, 5, 9]
LSM2	II	170623	171038	[170881, 170979]	[1, 40]
PET9	II	163041	163997	[163052, 163069, 163128, 163150, 163267, 163271, 163476, 163480, 163656, 163665, 163670, 163849, 163994, 163995]	[2, 1, 14, 57, 1, 9, 34, 2, 1, 94, 1, 57, 16, 1]
