Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[336, 340, 344, 349, 387, 391, 397, 441, 446, 476, 489, 495, 501, 504, 509, 510, 510, 511, 516, 517, 524, 525, 563, 564, 571, 573, 583, 607]	[249, 55, 1, 1, 16, 8, 1, 109, 67, 1, 35, 187, 17, 1, 108, 1, 33, 1, 27, 60, 1, 2, 2, 64, 31, 162, 2, 1]
YAL068W-A	I	538	792	[563, 564, 571, 573, 583, 607, 687, 695, 707]	[2, 64, 31, 162, 2, 1, 77, 135, 55]
PAU8	I	1807	2169	[1809, 1811, 1813, 1816, 1820, 1838, 1880, 1884, 1894, 1898, 1901, 1932, 1937, 1962, 1982, 1996, 2014, 2017, 2018, 2019, 2019, 2100, 2137]	[37, 11, 14, 11, 118, 2, 27, 8, 12, 4, 1, 22, 6, 12, 12, 3, 58, 1, 14, 1, 22, 68, 51]
YAL067W-A	I	2480	2707	[2485, 2491, 2494, 2498, 2505, 2572, 2585, 2600, 2610]	[1, 46, 27, 14, 51, 1, 1, 32, 16]
SEO1	I	7235	9016	[7245, 7253, 7294, 7307, 7348, 7351, 7360, 7362, 7366, 7408, 7473, 7770, 7773, 7776, 7837, 7868, 7929, 7934, 8200, 8203, 8241, 8287, 8359, 8462, 8492, 8699, 8703, 8733, 8755, 8831, 8868, 8873, 8911, 8983, 8987, 9014]	[17, 100, 312, 1, 1, 363, 7, 291, 13, 9, 1, 2, 1, 22, 18, 149, 98, 57, 51, 36, 9, 43, 16, 17, 1, 19, 1, 48, 11, 49, 1, 66, 28, 6, 8, 17]
YAL066W	I	10091	10399	[10094, 10179, 10185, 10217, 10223, 10231, 10247, 10276, 10281, 10287, 10298, 10301, 10311, 10315, 10321, 10386, 10393]	[8, 1, 156, 1, 8, 20, 25, 1, 199, 82, 57, 60, 27, 189, 55, 2, 59]
YAL065C	I	11565	11951	[11629, 11689, 11722, 11773, 11779, 11801, 11830, 11833, 11834, 11835, 11837, 11838, 11839, 11839, 11893, 11899, 11902, 11905, 11932, 11943]	[32, 48, 2, 158, 15, 21, 61, 1, 57, 1, 1, 26, 1, 45, 1, 154, 1, 1, 80, 1]
YAL064W-B	I	12046	12426	[12050, 12091, 12144, 12144, 12149, 12301, 12313, 12340, 12346, 12351, 12355, 12362, 12378, 12423]	[50, 1, 14, 1, 36, 83, 92, 49, 14, 35, 1, 52, 8, 2]
TDA8	I	13363	13743	[13369, 13441, 13444, 13477, 13501, 13573, 13579, 13612, 13613, 13643, 13721, 13724]	[37, 1, 24, 7, 52, 29, 24, 51, 57, 93, 132, 126]
YAL064W	I	21566	21850	[21641, 21654, 21665, 21701, 21739, 21748, 21755, 21791, 21813, 21844]	[4, 3, 150, 1, 1, 3, 3, 9, 11, 10]
YAL063C-A	I	22395	22685	[22463, 22497, 22498, 22500, 22505, 22506, 22507, 22507, 22509, 22509, 22512, 22518, 22559, 22583, 22588, 22621, 22685]	[251, 44, 26, 1, 140, 242, 1, 278, 1, 33, 804, 1, 58, 14, 3, 2, 14]
FLO9	I	24000	27968	[24010, 24018, 24036, 24037, 24050, 24051, 24057, 24061, 24070, 24078, 24089, 24105, 24107, 24108, 24109, 24117, 24122, 24143, 24146, 24173, 24189, 24205, 24210, 24211, 24215, 24224, 24227, 24232, 24246, 24262, 24266, 24271, 24274, 24325, 24401, 24413, 24420, 24424, 24428, 24445, 24454, 24463, 24477, 24515, 24581, 24641, 24754, 24762, 24766, 24785, 24795, 24799, 24802, 24804, 24805, 24808, 24815, 24831, 24836, 24852, 24872, 24875, 24876, 24880, 24895, 24963, 24967, 24975, 24976, 24978, 24986, 24992, 24995, 25015, 25138, 25139, 25159, 25172, 25175, 25176, 25188, 25299, 25321, 25330, 25392, 25396, 25424, 25450, 25460, 25505, 25508, 25521, 25527, 25531, 25537, 25543, 25564, 25570, 25574, 25581, 25585, 25589, 25596, 25604, 25612, 25618, 25622, 25623, 25629, 25636, 25638, 25639, 25640, 25653, 25665, 25676, 25686, 25710, 25848, 26526, 26565, 26661, 26700, 26796, 26835, 26887, 26902, 26945, 26985, 26995, 26998, 27008, 27065, 27073, 27125, 27130, 27133, 27236, 27240, 27259, 27261, 27282, 27292, 27295, 27316, 27393, 27585, 27599, 27675, 27758, 27883, 27887]	[24, 12, 17, 8, 63, 17, 14, 27, 31, 64, 10, 9, 9, 15, 3, 3, 20, 2, 97, 244, 22, 183, 20, 7, 68, 298, 25, 47, 44, 59, 71, 63, 2, 3, 10, 8, 104, 1, 39, 4, 56, 140, 46, 10, 20, 155, 82, 203, 122, 47, 126, 13, 247, 33, 1, 3, 62, 6, 39, 45, 80, 3, 1, 35, 3, 9, 21, 23, 1, 1, 3, 12, 4, 11, 7, 1, 10, 2, 12, 53, 152, 11, 5, 16, 240, 1, 1, 2, 3, 2, 1, 30, 80, 2, 3, 432, 2, 137, 34, 8, 4, 14, 107, 10, 74, 2, 5, 1, 139, 225, 2, 2, 266, 4, 26, 19, 27, 1, 1, 13, 1, 9, 2, 16, 2, 7, 1, 118, 66, 42, 79, 92, 41, 1, 37, 107, 1, 333, 1, 7, 4, 214, 167, 5, 1, 18, 56, 6, 14, 23, 6, 1]
GDH3	I	31567	32940	[31584, 31600, 31604, 31607, 31617, 31656, 31669, 31675, 31681, 31683, 31684, 31687, 31690, 31693, 31695, 31734, 31740, 31748, 31751, 31753, 31761, 31764, 31787, 31854, 31858, 31872, 31891, 31897, 31913, 31920, 31939, 31968, 32000, 32026, 32029, 32046, 32059, 32065, 32070, 32100, 32116, 32122, 32131, 32140, 32177, 32181, 32182, 32185, 32192, 32251, 32277, 32281, 32310, 32321, 32382, 32382, 32386, 32392, 32407, 32421, 32439, 32449, 32451, 32453, 32460, 32475, 32499, 32569, 32589, 32598, 32604, 32608, 32619, 32620, 32630, 32636, 32639, 32641, 32646, 32648, 32652, 32658, 32659, 32675, 32681, 32699, 32753, 32771, 32785, 32801, 32805, 32809, 32817, 32821, 32828, 32830, 32830, 32832, 32861, 32862, 32868, 32881, 32897, 32899, 32900, 32901, 32902, 32904, 32921, 32932]	[1, 10, 268, 2, 44, 13, 46, 1, 93, 3, 138, 4, 74, 45, 24, 1, 66, 45, 268, 10, 6, 43, 116, 54, 109, 1, 50, 25, 28, 1, 180, 2, 1, 46, 60, 334, 57, 71, 10, 96, 705, 18, 18, 75, 5, 3, 1, 75, 32, 65, 1, 11, 8, 2, 12, 1, 29, 56, 1, 67, 63, 91, 60, 3, 78, 9, 67, 1, 9, 9, 173, 167, 6, 33, 54, 1, 17, 87, 225, 52, 70, 138, 55, 188, 86, 7, 13, 229, 40, 1, 45, 30, 58, 79, 26, 3, 45, 93, 24, 67, 9, 25, 68, 44, 1, 31, 68, 79, 44, 60]
BDH2	I	33448	34701	[33519, 33543, 33547, 33577, 33582, 33625, 33629, 33650, 33651, 33659, 33662, 33700, 33702, 33726, 33726, 33749, 33752, 33756, 33764, 33794, 33833, 33845, 33852, 33872, 33893, 33985, 33990, 34023, 34034, 34038, 34043, 34054, 34125, 34150, 34157, 34167, 34189, 34211, 34250, 34264, 34305, 34323, 34325, 34328, 34353, 34364, 34375, 34377, 34377, 34395, 34404, 34408, 34415, 34423, 34436, 34440, 34447, 34466, 34467, 34478, 34482, 34502, 34510, 34516, 34518, 34524, 34525, 34528, 34528, 34561, 34564, 34569, 34572, 34584, 34593, 34599, 34601, 34603, 34606, 34608, 34613, 34613, 34618, 34629, 34631, 34637, 34640, 34645, 34650, 34660, 34661, 34666, 34681, 34699]	[5, 17, 436, 123, 2, 19, 11, 117, 210, 219, 42, 122, 52, 45, 9, 1, 103, 17, 50, 90, 62, 28, 153, 876, 131, 6, 10, 28, 8, 47, 10, 1, 134, 123, 89, 78, 141, 16, 88, 1, 1, 208, 1, 1, 1, 87, 106, 92, 101, 121, 85, 12, 85, 198, 6, 15, 76, 64, 44, 61, 27, 137, 350, 107, 63, 27, 136, 209, 14, 162, 121, 274, 212, 139, 412, 340, 415, 190, 9, 80, 22, 458, 137, 324, 14, 29, 15, 4, 169, 129, 121, 1, 207, 9]
BDH1	I	35155	36303	[35157, 35160, 35190, 35203, 35222, 35236, 35277, 35292, 35304, 35310, 35315, 35358, 35371, 35371, 35373, 35375, 35376, 35377, 35438, 35451, 35475, 35506, 35523, 35535, 35542, 35577, 35579, 35581, 35584, 35585, 35689, 35689, 35692, 35695, 35696, 35696, 35700, 35702, 35912, 35930, 36007, 36028, 36033, 36048, 36052, 36060, 36099, 36123, 36128, 36162, 36162, 36165, 36166, 36166, 36241, 36249, 36277, 36283]	[64, 22, 5, 19, 60, 1, 9, 53, 5, 1, 1, 8, 60, 6, 1, 64, 1, 150, 17, 1, 442, 92, 54, 17, 65, 1, 1, 31, 1, 183, 2, 7, 13, 4, 55, 38, 20, 18, 61, 2, 7, 1, 117, 1, 1, 81, 9, 70, 31, 9, 1, 1, 1, 17, 12, 81, 20, 225]
YAL059C-A	I	36496	36918	[36496, 36500, 36502, 36508, 36510, 36519, 36579, 36584, 36664, 36674, 36703, 36709, 36833, 36838, 36841]	[431, 52, 146, 18, 51, 1111, 14, 2, 106, 18, 12, 179, 3, 1, 14]
ECM1	I	36509	37147	[36510, 36519, 36579, 36584, 36664, 36674, 36703, 36709, 36833, 36838, 36841, 36994, 36994, 37009, 37034, 37057]	[51, 1111, 14, 2, 106, 18, 12, 179, 3, 1, 14, 415, 131, 347, 151, 9]
CNE1	I	37464	38972	[37519, 37523, 37527, 37571, 37616, 37689, 37693, 37697, 37697, 37699, 37703, 37727, 37731, 37874, 37879, 37994, 37998, 38006, 38185, 38232, 38286, 38315, 38365, 38371, 38409, 38412, 38413, 38438, 38442, 38509, 38559, 38563, 38566, 38628, 38648, 38652, 38667, 38674, 38677, 38677, 38678, 38678, 38682, 38682, 38727, 38733, 38737, 38742, 38748, 38749, 38752, 38768, 38771, 38801, 38802, 38807, 38876, 38879, 38884, 38888, 38896, 38899, 38905, 38931]	[368, 34, 1, 45, 3, 334, 26, 51, 11, 74, 15, 3, 41, 1, 14, 1, 1, 30, 17, 42, 4, 42, 176, 92, 12, 38, 39, 34, 21, 66, 169, 1, 2, 527, 1, 51, 23, 1, 1, 5, 31, 3, 23, 191, 96, 10, 159, 24, 261, 146, 1, 1, 85, 12, 1, 44, 4, 14, 2, 26, 88, 12, 16, 18]
