Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147595, 147601, 147601, 147605, 147613, 147617, 147638, 147709, 147827, 148343, 148441, 148469, 148614, 148868, 148873, 148958, 149123, 150385, 150515, 150552, 150558, 150670, 150916, 150922, 151084, 151090]	[1, 207, 20, 10, 4, 25, 118, 29, 1, 5, 3, 28, 31, 6, 14, 10, 4, 11, 15, 1, 21, 7, 2, 18, 6, 69]
EFB1	I	142174	143160	[143148]	[29]
MAK16	I	100225	101145	[100405, 100788, 100794, 101022, 101026]	[30, 65, 2, 6, 18]
PRP45	I	83335	84474	[83341, 83362, 83378, 83386, 83430, 83455, 83460, 83489, 83497, 83512, 83524, 83526, 83577, 83637, 83671, 83679, 83690, 83693, 83708, 83713, 83718, 83782, 83818, 83843, 83889, 83899, 83909, 83940, 83989, 83997, 83998, 84001, 84063, 84114, 84404, 84411]	[39, 4, 40, 10, 55, 200, 153, 291, 3, 14, 4, 1, 3, 72, 173, 6, 1, 164, 8, 300, 2, 20, 23, 4, 17, 160, 8, 1, 1, 2, 2, 135, 2, 16, 2, 16]
POP5	I	82706	83227	[83000, 83041, 83190, 83220]	[3, 2, 41, 19]
YAL034C-B	I	79489	79842	[79533, 79541, 79551, 79554, 79561, 79571, 79574, 79575, 79576, 79583, 79586, 79589, 79591, 79594, 79604, 79606, 79606, 79610, 79611, 79614, 79615, 79616, 79618, 79632, 79638, 79640, 79641, 79645, 79647, 79649, 79651, 79654, 79683, 79709, 79737, 79840]	[47, 98, 228, 1, 139, 5, 1, 4, 535, 1, 101, 1, 188, 83, 1, 4, 126, 1, 1, 182, 120, 61, 1, 462, 139, 123, 243, 840, 6, 3, 78, 76, 16, 10, 3, 2]
MTW1	I	79718	80587	[79737, 79840, 79844, 79902, 80048, 80052, 80464, 80475, 80485, 80498, 80501, 80516, 80549, 80576]	[3, 2, 59, 11, 1, 43, 81, 50, 8, 37, 3, 53, 3, 1]
CDC19	I	71786	73288	[72112, 72117, 72158, 72300, 72305, 72413, 72498, 72698, 72884, 72890, 73236, 73285]	[24, 1, 1, 91, 60, 5, 23, 11, 9, 5, 15, 2]
CDC24	I	62840	65404	[62896, 62929, 62935, 63193, 63197, 63231, 63295, 63612, 63618, 63796, 63801, 63804, 63911, 64673, 64746, 64838, 64841, 64844, 64845, 65176, 65180, 65234, 65284, 65289]	[48, 4, 6, 64, 18, 44, 2, 30, 2, 29, 22, 1, 158, 95, 52, 25, 4, 1, 202, 13, 9, 15, 49, 1]
PTA1	I	58695	61052	[58854, 58882, 59002, 59003, 59007, 59054, 59340, 59340, 59345, 59345, 59470, 59499, 59538, 59646, 59651, 59864, 59868, 60121, 60376, 60719, 60948]	[1, 5, 2, 31, 66, 20, 9, 1, 1, 20, 62, 17, 5, 23, 9, 26, 41, 3, 10, 1, 124]
RFA1	I	156754	158619	[158476]	[3]
SEN34	I	158966	159793	[158994, 159228, 159363, 159535, 159535, 159540, 159599, 159603, 159676, 159778, 159791]	[15, 21, 121, 1, 2, 21, 1, 3, 127, 24, 310]
