Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[341, 387, 388, 391, 391, 436, 489, 491, 496, 497, 501, 504, 508, 508, 512, 513, 514, 514, 515, 517, 521, 537, 561, 567, 569, 570, 571, 581, 582, 589, 596]	[1, 3, 3, 77, 21, 298, 38, 92, 115, 62, 36, 31, 8, 42, 46, 34, 14, 2, 12, 52, 3, 1, 63, 2, 1, 1, 2, 11, 1, 48, 1]
YAL068W-A	I	538	792	[561, 567, 569, 570, 571, 581, 582, 589, 596, 698]	[63, 2, 1, 1, 2, 11, 1, 48, 1, 9]
PAU8	I	1807	2169	[1811, 1817, 1824, 1829, 1833, 1842, 1846, 1852, 1861, 1880, 1884, 1894, 1898, 1926, 1933, 1972, 1979, 1979, 1991, 2011, 2014, 2017, 2018, 2019, 2020, 2087, 2108, 2138, 2159]	[23, 3, 31, 7, 4, 2, 19, 34, 4, 349, 2, 3, 3, 1, 27, 14, 12, 12, 32, 1, 13, 1, 45, 1, 10, 1, 58, 19, 2]
YAL067W-A	I	2480	2707	[2482, 2486, 2494, 2497, 2552, 2560, 2573, 2577, 2586, 2590, 2598, 2604, 2609, 2621, 2628, 2629, 2631, 2652]	[1, 1, 1, 4, 1, 27, 29, 1, 7, 27, 13, 11, 45, 29, 43, 1, 74, 2]
SEO1	I	7235	9016	[7255, 7293, 7300, 7304, 7403, 7406, 7408, 7410, 7410, 7441, 7471, 7477, 7488, 7493, 7509, 7511, 7522, 7621, 7658, 7728, 7777, 7912, 8040, 8047, 8049, 8091, 8184, 8193, 8419, 8436, 8613, 8686, 8699, 8733, 8738, 8742, 8772, 8783, 8784, 8798, 8825, 8832, 8844, 8867, 8873, 8882, 8889, 8893, 8917, 8928, 8929, 8929, 8940, 8972, 9014]	[27, 6, 1, 66, 123, 3, 24, 91, 33, 183, 43, 1, 73, 1, 55, 37, 54, 3, 11, 3, 19, 1, 2, 16, 83, 65, 3, 1, 1, 145, 52, 2, 13, 94, 20, 5, 82, 11, 11, 153, 9, 24, 78, 26, 25, 23, 69, 38, 1, 127, 1, 114, 42, 4, 11]
YAL066W	I	10091	10399	[10093, 10130, 10130, 10134, 10141, 10154, 10185, 10195, 10231, 10235, 10250, 10272, 10296, 10304, 10309, 10310, 10314, 10318, 10320, 10321, 10323, 10329, 10359, 10389, 10394]	[1, 10, 11, 86, 49, 51, 23, 55, 17, 1, 41, 3, 41, 10, 77, 165, 1, 9, 27, 16, 63, 165, 160, 5, 37]
YAL065C	I	11565	11951	[11580, 11584, 11597, 11638, 11642, 11681, 11742, 11748, 11768, 11776, 11778, 11793, 11797, 11798, 11811, 11816, 11819, 11827, 11827, 11833, 11833, 11834, 11837, 11841, 11860, 11869, 11875, 11911, 11915, 11921, 11922, 11924, 11926, 11931, 11935, 11941]	[31, 89, 23, 146, 2, 33, 1, 5, 8, 16, 23, 13, 74, 2, 6, 3, 19, 23, 55, 1, 3, 21, 27, 1, 3, 130, 2, 142, 2, 18, 185, 4, 27, 78, 11, 27]
YAL064W-B	I	12046	12426	[12046, 12091, 12105, 12137, 12149, 12211, 12300, 12311, 12332, 12336, 12339, 12348, 12355, 12364, 12422, 12426]	[8, 1, 14, 127, 22, 1, 7, 6, 2, 30, 26, 162, 40, 1, 1, 10]
TDA8	I	13363	13743	[13371, 13394, 13394, 13405, 13416, 13426, 13451, 13457, 13515, 13549, 13574, 13578, 13593, 13631, 13662, 13716]	[28, 34, 1, 12, 126, 11, 94, 108, 143, 2, 14, 45, 42, 6, 5, 2]
YAL064W	I	21566	21850	[21586, 21589, 21599, 21629, 21646, 21654, 21665, 21666, 21666, 21678, 21705, 21708, 21745, 21763, 21785, 21824, 21835, 21841]	[52, 1, 15, 8, 9, 60, 2, 2, 54, 6, 21, 1, 5, 15, 45, 121, 44, 18]
