Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[]	[]
YAL068W-A	I	538	792	[]	[]
PAU8	I	1807	2169	[]	[]
YAL067W-A	I	2480	2707	[]	[]
SEO1	I	7235	9016	[]	[]
YAL066W	I	10091	10399	[]	[]
YAL065C	I	11565	11951	[]	[]
YAL064W-B	I	12046	12426	[]	[]
TDA8	I	13363	13743	[]	[]
YAL064W	I	21566	21850	[]	[]
YAL063C-A	I	22395	22685	[]	[]
FLO9	I	24000	27968	[]	[]
GDH3	I	31567	32940	[]	[]
BDH2	I	33448	34701	[]	[]
BDH1	I	35155	36303	[]	[]
YAL059C-A	I	36496	36918	[]	[]
ECM1	I	36509	37147	[]	[]
CNE1	I	37464	38972	[]	[]
YAL056C-A	I	38696	39046	[]	[]
GPB2	I	39259	41901	[]	[]
PEX22	I	42177	42719	[]	[]
ACS1	I	42881	45022	[]	[]
FLC2	I	45899	48250	[]	[]
OAF1	I	48564	51707	[]	[]
AIM2	I	51855	52595	[]	[]
GEM1	I	52801	54789	[]	[]
YAL047W-A	I	54584	54913	[]	[]
SPC72	I	54989	56857	[]	[]
BOL3	I	57029	57385	[]	[]
YAL045C	I	57488	57796	[]	[]
BOL1	I	57518	57850	[]	[]
GCV3	I	57950	58462	[]	[]
PTA1	I	58695	61052	[]	[]
YAL042C-A	I	61231	61608	[]	[]
ERV46	I	61316	62563	[]	[]
CDC24	I	62840	65404	[]	[]
CLN3	I	65778	67520	[]	[]
CYC3	I	68716	69525	[]	[]
CDC19	I	71786	73288	[]	[]
YAL037C-B	I	72326	73300	[]	[]
YAL037C-A	I	73426	73518	[]	[]
YAL037W	I	74020	74823	[]	[]
RBG1	I	75043	76152	[]	[]
FUN12	I	76427	79435	[]	[]
YAL034C-B	I	79489	79842	[]	[]
MTW1	I	79718	80587	[]	[]
FUN19	I	80710	81951	[]	[]
POP5	I	82706	83227	[]	[]
PRP45	I	83335	84474	[]	[]
YAL031W-A	I	84669	84977	[]	[]
GIP4	I	84749	87031	[]	[]
SNC1	I	87286	87752	[]	[]
MYO4	I	87855	92270	[]	[]
FRT2	I	92900	94486	[]	[]
SAW1	I	94687	95472	[]	[]
YAL026C-A	I	95386	95823	[]	[]
DRS2	I	95630	99697	[]	[]
MAK16	I	100225	101145	[]	[]
LTE1	I	101565	105872	[]	[]
PMT2	I	106272	108551	[]	[]
FUN26	I	108877	110430	[]	[]
CCR4	I	110846	113359	[113087]	[1]
ATS1	I	113614	114615	[]	[]
YAL019W-A	I	114250	114819	[]	[]
FUN30	I	114919	118314	[]	[]
LDS1	I	118564	119541	[]	[]
PSK1	I	120225	124295	[]	[]
YAL016C-B	I	124307	124492	[]	[]
YAL016C-A	I	124755	125069	[]	[]
TPD3	I	124879	126786	[]	[]
NTG1	I	126903	128102	[]	[]
SYN8	I	128252	129019	[]	[]
DEP1	I	129270	130487	[]	[]
CYS3	I	130799	131983	[]	[]
SWC3	I	132199	134076	[]	[]
MDM10	I	134184	135665	[]	[]
SPO7	I	135854	136633	[]	[]
FUN14	I	136914	137510	[]	[]
ERP2	I	137698	138345	[]	[]
SSA1	I	139503	141431	[]	[]
YAL004W	I	140760	141407	[]	[]
EFB1	I	142174	143160	[]	[]
VPS8	I	143707	147531	[]	[]
TFC3	I	147594	151166	[]	[]
NUP60	I	152257	153876	[]	[]
ERP1	I	154065	154724	[]	[]
SWD1	I	155005	156285	[]	[]
RFA1	I	156754	158619	[]	[]
SEN34	I	158966	159793	[]	[]
BUD14	I	166742	168871	[]	[]
ADE1	I	169375	170295	[]	[]
KIN3	I	170396	171703	[]	[]
