Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147595, 147600, 147601, 147606, 147617, 147633, 147639, 147702, 147753, 147829, 147832, 147936, 148251, 148256, 148343, 148444, 148461, 148464, 148465, 148610, 148614, 148698, 148868, 148872, 148954, 149018, 149123, 149127, 149131, 149541, 150385, 150388, 150515, 150553, 150559, 150665, 150669, 150718, 150922, 150926, 151047, 151090]	[172, 7, 44, 191, 270, 15, 87, 1, 4, 8, 2, 98, 56, 1, 3, 11, 10, 1, 28, 1, 94, 119, 1, 21, 2, 3, 14, 6, 3, 4, 31, 1, 16, 22, 43, 13, 30, 3, 2, 11, 2, 3]
EFB1	I	142174	143160	[142321, 142322, 142328]	[2, 1, 6]
MAK16	I	100225	101145	[100244, 100251, 101016, 101019, 101022]	[7, 299, 3, 1, 27]
PRP45	I	83335	84474	[83336, 83354, 83358, 83456, 83462, 83462, 83488, 83498, 83500, 83518, 83520, 83534, 83537, 83574, 83577, 83578, 83635, 83651, 83687, 83699, 83705, 83747, 83818, 83819, 83822, 83856, 83866, 83879, 83889, 83990, 83997, 83997, 84002, 84011, 84114, 84115, 84118, 84405]	[3, 62, 1, 190, 9, 3, 10, 6, 63, 6, 2, 2, 7, 44, 1, 1, 10, 164, 109, 4, 19, 78, 10, 1, 41, 125, 19, 48, 39, 2, 45, 46, 4, 8, 28, 1, 85, 6]
POP5	I	82706	83227	[82706, 82709, 83001, 83041]	[10, 6, 5, 5]
YAL034C-B	I	79489	79842	[79552, 79558, 79566, 79576, 79579, 79582, 79583, 79584, 79585, 79586, 79587, 79590, 79594, 79602, 79609, 79610, 79621, 79632, 79637, 79640, 79642, 79650, 79654, 79660, 79668, 79713, 79734]	[197, 25, 298, 123, 23, 171, 4, 9, 61, 217, 64, 11, 96, 4, 11, 1, 12, 167, 3, 157, 73, 86, 44, 3, 49, 5, 15]
MTW1	I	79718	80587	[79734, 79844, 79897, 79898, 79901, 80053, 80465, 80471, 80481, 80496, 80501, 80505, 80518, 80525, 80530, 80549, 80552, 80571, 80576, 80586]	[15, 47, 65, 1, 130, 5, 18, 63, 28, 126, 3, 2, 11, 38, 4, 5, 2, 10, 15, 41]
CDC19	I	71786	73288	[72110, 72159, 72301, 72307, 72409, 72413, 72494, 72497, 72551, 72693, 72700, 72886, 72887, 72891, 73229, 73244, 73267, 73275]	[1, 64, 14, 18, 5, 19, 1, 55, 20, 7, 15, 3, 1, 19, 2, 10, 40, 1]
CDC24	I	62840	65404	[62841, 62843, 62843, 62874, 62927, 62934, 63193, 63197, 63295, 63299, 63613, 63795, 63801, 64671, 64746, 64843, 64847, 65176, 65181, 65283, 65373]	[2, 1, 2, 4, 8, 20, 44, 23, 9, 2, 14, 1, 23, 16, 37, 1, 150, 69, 35, 6, 1]
PTA1	I	58695	61052	[58697, 58855, 59003, 59008, 59180, 59340, 59345, 59423, 59436, 59493, 59523, 59529, 59535, 59602, 59646, 59864, 59868, 60121, 60130, 60376, 60688, 60719, 60948, 60952, 61002, 61007]	[1, 13, 11, 74, 2, 17, 38, 2, 1, 1, 6, 22, 17, 14, 14, 1, 14, 42, 4, 5, 1, 7, 3, 1, 3, 96]
RFA1	I	156754	158619	[156761, 156763, 156765, 156775, 156784, 156786, 156859, 158475]	[1, 190, 48, 3, 3, 62, 1, 5]
SEN34	I	158966	159793	[158990, 158995, 159222, 159320, 159374, 159536, 159540, 159599, 159603, 159676]	[62, 8, 8, 74, 13, 79, 7, 5, 28, 2]
CDC15	I	172211	175135	[172235, 172266, 172270, 172271, 172384, 172470, 172539, 172544, 172544, 172612, 172617, 172807, 172813, 172945, 173162, 173246, 173628, 173632, 173681, 173892, 174072, 174077, 174320, 174325, 174327, 174332, 174369, 174573]	[2, 37, 1, 4, 18, 1, 87, 3, 78, 1, 153, 9, 117, 52, 12, 1, 42, 17, 180, 3, 31, 6, 68, 7, 10, 15, 4, 56]
HTA2	II	235394	235792	[235425, 235438, 235461, 235462, 235470, 235470, 235475, 235485, 235486, 235489, 235503, 235560, 235586, 235605, 235608, 235610, 235621, 235626, 235628, 235632, 235639, 235642, 235644, 235646, 235648, 235649, 235654, 235659, 235661, 235662, 235667, 235670, 235673, 235676, 235678, 235701, 235733, 235766, 235769, 235781, 235792]	[12, 26, 213, 1, 19, 15, 28, 31, 30, 47, 38, 1, 1, 65, 4, 1, 77, 7, 182, 26, 3, 137, 7, 72, 5, 140, 12, 17, 6, 53, 67, 150, 12, 11, 3, 2, 7, 12, 3, 40, 95]
UTP20	II	227636	235117	[227636, 227750, 227755, 227789, 227793, 227853, 227882, 227889, 227974, 227977, 227978, 227982, 228158, 228163, 228272, 228352, 228356, 228401, 228449, 229497, 230100, 230189, 230403, 230713, 230716, 230717, 231127, 231165, 231277, 231278, 231281, 231584, 231588, 231657, 232049, 232053, 232191, 232702, 233576, 233713, 233881, 234019, 234023, 234227, 234315, 234322, 234615, 234622, 234967, 234973, 235039, 235045, 235061, 235066, 235070, 235115]	[2, 61, 3, 11, 12, 12, 121, 1, 1, 1, 14, 175, 23, 19, 4, 19, 30, 41, 186, 1, 1, 4, 3, 7, 1, 2, 3, 20, 1, 14, 84, 2, 1, 2, 5, 4, 3, 5, 3, 6, 6, 10, 27, 7, 12, 1, 6, 11, 8, 6, 1, 30, 71, 2, 3, 104]
RRN6	II	199064	201748	[199083, 199136, 199201, 199300, 199305, 199356, 199359, 199363, 199465, 199633, 199688, 199909, 199914, 200202, 200208, 200310, 200315, 200423, 200455, 200551, 200557, 200665, 200694, 200898, 200912, 200976, 200982, 201223, 201227, 201491, 201745]	[110, 1, 57, 42, 2, 4, 110, 1, 1, 1, 2, 2, 1, 25, 1, 2, 4, 71, 4, 96, 26, 2, 54, 23, 16, 10, 2, 23, 1, 1, 1]
POP8	II	185998	186474	[186045, 186049, 186050, 186066, 186077, 186191, 186221, 186304, 186313]	[131, 4, 1, 25, 7, 2, 52, 23, 4]
