Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[336, 340, 349, 353, 381, 387, 441, 446, 476, 489, 495, 496, 501, 509, 509, 516, 517, 522, 525, 557, 563, 564, 568, 571, 573, 579, 596]	[141, 2, 1, 2, 2, 91, 73, 27, 1, 36, 2, 7, 16, 1, 182, 67, 140, 3, 13, 1, 17, 7, 1, 15, 110, 4, 1]
YAL068W-A	I	538	792	[557, 563, 564, 568, 571, 573, 579, 596, 687, 695, 707]	[1, 17, 7, 1, 15, 110, 4, 1, 35, 99, 53]
PAU8	I	1807	2169	[1809, 1811, 1813, 1816, 1820, 1880, 1886, 1899, 1932, 1936, 1962, 1962, 1965, 1983, 2014, 2019, 2100, 2137]	[8, 49, 4, 3, 81, 43, 4, 15, 152, 2, 95, 3, 1, 2, 61, 64, 119, 84]
YAL067W-A	I	2480	2707	[2485, 2491, 2494, 2498, 2505, 2552, 2572, 2585, 2600, 2610, 2622]	[3, 9, 54, 6, 3, 5, 23, 1, 41, 27, 38]
SEO1	I	7235	9016	[7253, 7294, 7351, 7360, 7362, 7366, 7404, 7405, 7407, 7409, 7449, 7456, 7478, 7658, 7772, 7776, 7837, 7868, 7929, 8171, 8203, 8242, 8246, 8250, 8462, 8686, 8698, 8733, 8737, 8737, 8826, 8827, 8831, 8869, 8874, 8911, 8966, 8987, 9014]	[18, 6, 80, 247, 104, 20, 116, 5, 1, 76, 2, 2, 2, 1, 7, 20, 31, 49, 3, 1, 91, 2, 8, 3, 52, 6, 35, 74, 1, 9, 1, 47, 19, 71, 1, 56, 1, 47, 15]
YAL066W	I	10091	10399	[10093, 10094, 10135, 10187, 10217, 10223, 10231, 10247, 10281, 10296, 10298, 10301, 10305, 10311, 10315, 10321, 10389, 10392]	[1, 10, 1, 176, 14, 21, 18, 64, 41, 46, 68, 150, 2, 19, 15, 105, 11, 114]
YAL065C	I	11565	11951	[11629, 11689, 11722, 11728, 11773, 11779, 11792, 11801, 11830, 11834, 11839, 11870, 11899, 11932]	[92, 178, 25, 16, 14, 45, 1, 1, 15, 13, 24, 1, 225, 188]
YAL064W-B	I	12046	12426	[12050, 12054, 12079, 12145, 12150, 12187, 12301, 12340, 12344, 12345, 12346, 12349, 12351, 12363, 12378, 12399, 12426]	[249, 1, 1, 12, 7, 2, 12, 43, 6, 1, 10, 1, 74, 54, 6, 1, 4]
TDA8	I	13363	13743	[13370, 13440, 13444, 13457, 13477, 13501, 13574, 13612, 13613, 13643, 13721, 13724]	[543, 2, 197, 1, 1, 37, 21, 56, 12, 118, 38, 25]
YAL064W	I	21566	21850	[21641, 21654, 21665, 21739, 21747, 21759, 21791, 21813, 21844]	[42, 5, 26, 4, 1, 1, 48, 1, 29]
YAL063C-A	I	22395	22685	[22463, 22497, 22498, 22500, 22505, 22506, 22507, 22507, 22511, 22514, 22559, 22588, 22621, 22685]	[88, 72, 42, 2, 45, 1, 1, 117, 255, 133, 30, 270, 86, 47]
FLO9	I	24000	27968	[24010, 24018, 24037, 24050, 24057, 24061, 24070, 24077, 24089, 24105, 24108, 24109, 24113, 24117, 24121, 24143, 24146, 24173, 24189, 24205, 24210, 24211, 24214, 24224, 24233, 24246, 24262, 24266, 24270, 24331, 24401, 24413, 24420, 24454, 24454, 24463, 24477, 24482, 24515, 24577, 24581, 24583, 24619, 24641, 24754, 24762, 24765, 24782, 24785, 24793, 24796, 24799, 24802, 24804, 24808, 24816, 24831, 24852, 24872, 24879, 24895, 24963, 24967, 24975, 24978, 24986, 24992, 24996, 25015, 25138, 25139, 25151, 25155, 25159, 25175, 25176, 25188, 25299, 25321, 25392, 25424, 25452, 25460, 25489, 25497, 25505, 25521, 25531, 25543, 25565, 25570, 25574, 25577, 25578, 25581, 25585, 25589, 25597, 25600, 25603, 25604, 25605, 25608, 25612, 25620, 25623, 25629, 25630, 25630, 25636, 25636, 25637, 25638, 25639, 25640, 25676, 25686, 25704, 25710, 26278, 26524, 26565, 26659, 26700, 26794, 26835, 26887, 26923, 26945, 26972, 26986, 26995, 26998, 27008, 27035, 27046, 27051, 27072, 27126, 27130, 27236, 27259, 27282, 27287, 27292, 27295, 27339, 27343, 27382, 27393, 27472, 27585, 27599, 27675, 27751, 27758, 27887]	[6, 25, 1, 38, 50, 89, 7, 36, 9, 11, 20, 30, 4, 55, 15, 60, 4, 33, 20, 7, 22, 47, 162, 282, 24, 44, 8, 11, 26, 1, 38, 57, 148, 1, 289, 22, 82, 1, 1, 35, 6, 83, 1, 79, 8, 191, 30, 8, 7, 75, 80, 15, 244, 63, 30, 41, 1, 178, 93, 14, 8, 19, 11, 102, 2, 16, 25, 1, 177, 18, 101, 1, 7, 36, 5, 7, 75, 11, 3, 58, 3, 1, 7, 1, 1, 86, 108, 1, 227, 111, 45, 21, 1, 12, 13, 76, 10, 189, 1, 3, 12, 11, 1, 60, 125, 4, 158, 6, 1, 289, 1, 1, 1, 3, 218, 75, 2, 1, 4, 1, 11, 10, 8, 20, 7, 15, 9, 2, 184, 1, 118, 29, 17, 3, 3, 1, 2, 2, 34, 36, 227, 2, 112, 1, 135, 5, 1, 32, 3, 32, 1, 33, 22, 82, 4, 29, 6]
GDH3	I	31567	32940	[31584, 31600, 31605, 31617, 31656, 31669, 31670, 31680, 31680, 31683, 31687, 31689, 31692, 31692, 31693, 31696, 31734, 31740, 31748, 31752, 31753, 31764, 31787, 31851, 31853, 31856, 31856, 31872, 31875, 31891, 31897, 31913, 31920, 31941, 31945, 31964, 31968, 32026, 32029, 32046, 32059, 32066, 32071, 32080, 32100, 32116, 32131, 32140, 32181, 32185, 32192, 32251, 32277, 32280, 32281, 32310, 32321, 32382, 32386, 32392, 32407, 32421, 32439, 32444, 32449, 32460, 32472, 32476, 32499, 32569, 32588, 32588, 32589, 32593, 32598, 32603, 32608, 32619, 32620, 32630, 32639, 32641, 32646, 32648, 32651, 32652, 32658, 32675, 32681, 32699, 32755, 32771, 32805, 32809, 32812, 32817, 32821, 32822, 32828, 32830, 32830, 32832, 32861, 32881, 32898, 32900, 32902, 32903, 32921, 32932]	[9, 6, 64, 32, 10, 62, 10, 9, 3, 353, 21, 50, 3, 51, 2, 123, 1, 80, 16, 391, 26, 33, 45, 1, 5, 12, 18, 1, 1, 65, 1, 31, 8, 8, 3, 6, 19, 21, 106, 134, 266, 6, 9, 1, 4, 17, 35, 23, 1, 98, 70, 177, 112, 1, 5, 12, 28, 11, 8, 6, 6, 64, 15, 1, 8, 29, 6, 33, 105, 4, 11, 1, 15, 91, 16, 178, 11, 6, 19, 2, 90, 95, 95, 18, 1, 31, 372, 466, 230, 31, 1, 74, 208, 41, 1, 47, 73, 8, 26, 11, 22, 3, 2, 30, 5, 206, 10, 23, 176, 11]
BDH2	I	33448	34701	[33519, 33543, 33547, 33577, 33584, 33625, 33650, 33659, 33700, 33702, 33704, 33726, 33726, 33752, 33764, 33794, 33845, 33852, 33860, 33872, 33893, 33985, 33988, 34023, 34029, 34034, 34038, 34043, 34054, 34124, 34125, 34150, 34157, 34167, 34186, 34189, 34211, 34250, 34280, 34305, 34323, 34339, 34364, 34375, 34377, 34378, 34395, 34400, 34403, 34404, 34408, 34415, 34436, 34440, 34447, 34459, 34466, 34467, 34478, 34482, 34502, 34510, 34510, 34517, 34525, 34528, 34529, 34564, 34569, 34572, 34584, 34593, 34600, 34601, 34603, 34606, 34608, 34613, 34613, 34618, 34629, 34637, 34640, 34645, 34650, 34654, 34660, 34662, 34681, 34696, 34696, 34699]	[4, 2, 751, 54, 1, 14, 81, 39, 220, 68, 1, 102, 31, 10, 153, 52, 137, 296, 1, 762, 207, 10, 1, 135, 2, 17, 8, 38, 15, 1, 72, 120, 309, 253, 1, 144, 12, 534, 2, 37, 1, 2, 5, 11, 32, 1, 86, 2, 4, 68, 31, 38, 72, 15, 15, 1, 22, 71, 194, 3, 40, 101, 9, 16, 180, 7, 5, 145, 553, 16, 406, 257, 94, 187, 262, 20, 49, 232, 217, 130, 422, 75, 8, 71, 84, 2, 70, 102, 82, 1, 1, 104]
BDH1	I	35155	36303	[35157, 35160, 35190, 35203, 35222, 35236, 35304, 35355, 35358, 35371, 35377, 35438, 35475, 35479, 35506, 35510, 35514, 35515, 35523, 35542, 35578, 35581, 35585, 35695, 35696, 35697, 35700, 35702, 35705, 35836, 35912, 35926, 35930, 36007, 36033, 36060, 36099, 36104, 36123, 36128, 36162, 36166, 36227, 36249, 36277, 36283]	[6, 24, 3, 1, 142, 2, 47, 1, 72, 28, 43, 276, 188, 1, 194, 8, 45, 1, 8, 189, 4, 10, 13, 9, 11, 5, 35, 15, 1, 41, 79, 11, 7, 32, 221, 50, 1, 1, 261, 96, 18, 2, 4, 129, 39, 316]
YAL059C-A	I	36496	36918	[36498, 36499, 36502, 36508, 36510, 36519, 36528, 36578, 36584, 36664, 36674, 36703, 36709, 36824, 36828, 36833, 36841, 36843, 36896, 36899, 36911]	[11, 31, 28, 131, 55, 512, 1, 8, 2, 153, 85, 18, 13, 29, 3, 3, 38, 2, 1, 81, 1]
ECM1	I	36509	37147	[36510, 36519, 36528, 36578, 36584, 36664, 36674, 36703, 36709, 36824, 36828, 36833, 36841, 36843, 36896, 36899, 36911, 36994, 36994, 37009, 37034, 37051, 37055, 37058]	[55, 512, 1, 8, 2, 153, 85, 18, 13, 29, 3, 3, 38, 2, 1, 81, 1, 37, 109, 155, 202, 2, 29, 1]
CNE1	I	37464	38972	[37519, 37523, 37535, 37540, 37571, 37613, 37689, 37692, 37693, 37697, 37698, 37699, 37703, 37708, 37727, 37731, 37753, 37869, 37871, 37875, 37876, 37994, 38000, 38001, 38005, 38079, 38185, 38220, 38232, 38237, 38315, 38344, 38365, 38371, 38409, 38412, 38413, 38438, 38442, 38509, 38543, 38561, 38562, 38562, 38628, 38653, 38674, 38678, 38679, 38682, 38682, 38727, 38733, 38737, 38742, 38748, 38749, 38771, 38794, 38807, 38876, 38880, 38888, 38896, 38899, 38905, 38910, 38931]	[186, 63, 1, 28, 32, 17, 199, 29, 231, 45, 6, 94, 6, 30, 71, 1, 17, 1, 21, 35, 1, 30, 2, 1, 114, 152, 146, 2, 20, 2, 175, 164, 8, 69, 7, 127, 1, 6, 25, 106, 114, 1, 3, 38, 26, 16, 1, 27, 1, 128, 43, 217, 102, 41, 41, 172, 52, 8, 6, 14, 345, 3, 10, 426, 7, 15, 35, 3]
YAL056C-A	I	38696	39046	[38727, 38733, 38737, 38742, 38748, 38749, 38771, 38794, 38807, 38876, 38880, 38888, 38896, 38899, 38905, 38910, 38931, 38993, 38998]	[217, 102, 41, 41, 172, 52, 8, 6, 14, 345, 3, 10, 426, 7, 15, 35, 3, 50, 4]
GPB2	I	39259	41901	[39490, 39612, 39648, 39673, 39835, 39957, 39963, 40157, 40232, 40268, 40304, 40309, 40342, 40355, 40367, 40371, 40443, 40578, 40648, 40757, 40782, 40798, 40802, 40907, 40973, 41004, 41065, 41070, 41097, 41101, 41107, 41122, 41178, 41207, 41242, 41341, 41382, 41404, 41405, 41409, 41490, 41528, 41698, 41752, 41783, 41825, 41851, 41888]	[497, 1, 32, 11, 13, 44, 7, 178, 451, 17, 1, 17, 12, 2, 8, 5, 16, 10, 21, 50, 38, 10, 10, 63, 19, 6, 14, 8, 1, 7, 21, 38, 8, 1, 4, 2, 270, 2, 2, 77, 47, 13, 13, 26, 2, 1, 1, 2]
PEX22	I	42177	42719	[42181, 42264, 42272, 42300, 42302, 42305, 42308, 42324, 42330, 42332, 42344, 42348, 42464, 42489, 42557, 42638, 42646, 42676]	[78, 22, 37, 7, 6, 30, 69, 49, 200, 34, 1, 71, 63, 66, 5, 21, 17, 22]
ACS1	I	42881	45022	[43009, 43013, 43018, 43024, 43030, 43037, 43042, 43109, 43113, 43121, 43164, 43182, 43188, 43198, 43229, 43232, 43250, 43292, 43313, 43322, 43357, 43364, 43377, 43391, 43396, 43406, 43437, 43445, 43450, 43491, 43546, 43549, 43573, 43603, 43617, 43618, 43621, 43623, 43623, 43628, 43660, 43665, 43668, 43672, 43674, 43693, 43698, 43704, 43713, 43720, 43736, 43793, 43801, 43897, 43900, 43988, 43997, 44024, 44045, 44049, 44051, 44056, 44067, 44082, 44091, 44106, 44110, 44163, 44191, 44209, 44221, 44229, 44275, 44290, 44324, 44435, 44439, 44443, 44540, 44587, 44599, 44603, 44648, 44697, 44699, 44708, 44727, 44832, 44864, 44874, 44877, 44879, 44883, 44894, 44900, 44907, 44912]	[2, 4, 61, 1, 59, 60, 1, 57, 117, 15, 176, 196, 29, 46, 1, 93, 1, 77, 1, 59, 68, 119, 45, 1, 65, 438, 4, 1, 66, 3, 33, 51, 2, 36, 19, 72, 112, 41, 12, 127, 31, 49, 154, 20, 38, 83, 50, 2, 97, 45, 9, 21, 24, 15, 10, 118, 1, 1, 369, 59, 1, 142, 43, 6, 27, 40, 9, 19, 191, 19, 13, 12, 8, 8, 34, 70, 40, 27, 322, 59, 8, 1, 26, 73, 206, 75, 394, 3, 1, 16, 67, 7, 1, 8, 7, 13, 4]
FLC2	I	45899	48250	[45901, 45951, 46008, 46059, 46068, 46201, 46219, 46272, 46365, 46375, 46420, 46472, 46509, 46521, 46525, 46526, 46535, 46547, 46588, 46655, 46855, 46860, 46933, 46975, 47123, 47137, 47155, 47218, 47222, 47302, 47415, 47418, 47464, 47571, 47576, 47625, 47638, 47765, 47789, 47808, 47870, 47948, 47955, 47960, 47990, 48000, 48007, 48022, 48036, 48042, 48119, 48128, 48132, 48142, 48148, 48150, 48162, 48168, 48182, 48189]	[5, 15, 10, 42, 39, 9, 8, 35, 121, 206, 2, 39, 5, 46, 1, 59, 174, 8, 3, 18, 1, 16, 48, 29, 1, 21, 19, 10, 10, 12, 21, 2, 36, 1, 37, 7, 22, 87, 43, 7, 60, 24, 1, 76, 42, 1, 41, 5, 11, 11, 7, 2, 2, 2, 2, 16, 50, 3, 4, 3]
OAF1	I	48564	51707	[48593, 48597, 48606, 48624, 48639, 48640, 48640, 48641, 48652, 48655, 48671, 48682, 48682, 48689, 48714, 48759, 48764, 48825, 48828, 48832, 48841, 48871, 48877, 48962, 48991, 48996, 49022, 49152, 49163, 49364, 49401, 49454, 49507, 49550, 49554, 49576, 49612, 49622, 49640, 49796, 49814, 49820, 49858, 49931, 49938, 49962, 50058, 50091, 50249, 50264, 50286, 50292, 50297, 50378, 50461, 50538, 50642, 50702, 50769, 50873, 50926, 50932, 51091, 51110, 51118, 51123, 51160, 51173, 51213, 51239, 51345, 51357, 51396, 51401, 51402, 51480, 51487, 51490, 51501, 51583, 51587, 51613, 51624, 51630, 51669, 51681, 51691, 51699]	[90, 1, 42, 9, 70, 73, 87, 45, 22, 35, 3, 1, 1, 4, 142, 1, 30, 16, 8, 51, 83, 20, 4, 6, 103, 19, 34, 40, 1, 12, 198, 1, 32, 19, 2, 28, 9, 62, 1, 18, 27, 14, 28, 5, 98, 44, 214, 1, 101, 52, 69, 168, 1, 117, 98, 3, 216, 6, 55, 10, 67, 1, 63, 2, 11, 18, 262, 63, 62, 1, 80, 139, 1, 84, 185, 56, 136, 30, 127, 1, 107, 7, 2, 230, 6, 9, 20, 13]
AIM2	I	51855	52595	[51893, 51903, 51957, 51966, 52010, 52046, 52057, 52135, 52144, 52149, 52182, 52188, 52197, 52259, 52320, 52327, 52339, 52347, 52348, 52351, 52352, 52356, 52394, 52450, 52504, 52538, 52563, 52576]	[1, 12, 22, 137, 4, 17, 111, 192, 50, 85, 233, 37, 8, 23, 4, 14, 1, 24, 198, 31, 114, 1, 49, 39, 20, 224, 36, 1]
GEM1	I	52801	54789	[52807, 52820, 52825, 52892, 52951, 52956, 52961, 53022, 53025, 53033, 53036, 53114, 53118, 53133, 53137, 53155, 53165, 53170, 53268, 53295, 53317, 53336, 53379, 53417, 53434, 53472, 53473, 53478, 53484, 53507, 53510, 53517, 53526, 53536, 53557, 53570, 53630, 53699, 53831, 53842, 53908, 53911, 53913, 53916, 53965, 53976, 54018, 54022, 54173, 54178, 54184, 54191, 54207, 54211, 54221, 54276, 54280, 54281, 54461, 54471, 54476, 54478, 54483, 54510, 54514, 54532, 54574, 54627, 54642, 54669, 54675, 54682]	[15, 3, 7, 64, 8, 13, 5, 33, 1, 43, 66, 61, 70, 36, 21, 166, 27, 1, 4, 57, 34, 186, 3, 10, 6, 2, 12, 67, 68, 36, 37, 20, 41, 2, 95, 101, 213, 30, 1, 182, 3, 1, 9, 2, 47, 15, 28, 2, 2, 25, 28, 49, 31, 1, 8, 27, 1, 1, 237, 215, 8, 2, 43, 101, 1, 7, 31, 2, 10, 569, 63, 17]
YAL047W-A	I	54584	54913	[54627, 54642, 54669, 54675, 54682, 54803, 54808, 54811, 54833, 54834, 54847, 54856, 54870, 54881, 54884, 54899, 54904]	[2, 10, 569, 63, 17, 33, 13, 1, 29, 5, 13, 13, 38, 114, 47, 7, 26]
SPC72	I	54989	56857	[55028, 55939, 56074, 56151, 56404, 56404, 56405, 56406, 56409, 56705, 56709, 56713, 56728, 56731, 56735, 56736, 56855, 56856]	[2, 114, 1, 8, 4, 1, 4, 1, 15, 1, 42, 6, 2, 1, 6, 2, 24, 2]
BOL3	I	57029	57385	[57029, 57029, 57034, 57054, 57074, 57082, 57086, 57087, 57097, 57149, 57173, 57185, 57189, 57189, 57190, 57193, 57257, 57264, 57283, 57342, 57345, 57365]	[21, 1, 25, 129, 1, 21, 11, 255, 3, 25, 19, 222, 2, 26, 1, 2, 147, 4, 21, 1, 45, 32]
YAL045C	I	57488	57796	[57553, 57609, 57618, 57621, 57635, 57661, 57674, 57683, 57703, 57740, 57775, 57794]	[36, 143, 1, 7, 92, 32, 30, 1, 30, 94, 3, 25]
BOL1	I	57518	57850	[57553, 57609, 57618, 57621, 57635, 57661, 57674, 57683, 57703, 57740, 57775, 57794, 57798, 57812, 57822, 57838, 57843, 57846]	[36, 143, 1, 7, 92, 32, 30, 1, 30, 94, 3, 25, 3, 56, 62, 13, 44, 1]
GCV3	I	57950	58462	[57958, 57998, 58013, 58141, 58146, 58146, 58154, 58157, 58182, 58185, 58196, 58309, 58314, 58317, 58324, 58342, 58344, 58363, 58385, 58427, 58431, 58448, 58457]	[1, 18, 1, 1, 35, 1, 1, 16, 130, 75, 62, 59, 1, 28, 25, 1, 115, 2, 54, 19, 33, 3, 52]
PTA1	I	58695	61052	[58854, 58882, 59002, 59003, 59007, 59054, 59340, 59340, 59345, 59345, 59470, 59499, 59538, 59646, 59651, 59864, 59868, 60121, 60376, 60719, 60948]	[1, 5, 2, 31, 66, 20, 9, 1, 1, 20, 62, 17, 5, 23, 9, 26, 41, 3, 10, 1, 124]
YAL042C-A	I	61231	61608	[61234, 61240, 61254, 61256, 61276, 61375, 61380, 61388, 61390, 61393, 61399, 61402, 61412, 61415, 61551, 61555, 61556]	[56, 63, 32, 8, 32, 84, 29, 48, 19, 1, 4, 313, 142, 26, 141, 27, 2]
ERV46	I	61316	62563	[61375, 61380, 61388, 61390, 61393, 61399, 61402, 61412, 61415, 61551, 61555, 61556, 61679, 61684, 61722, 61725, 61740, 61743, 61746, 61756, 61823, 61828, 61940, 61943, 61993, 62028, 62031, 62081, 62084, 62089, 62103, 62106, 62217, 62239, 62258, 62270, 62276, 62281, 62295, 62324, 62338, 62344, 62436, 62444, 62505, 62539]	[84, 29, 48, 19, 1, 4, 313, 142, 26, 141, 27, 2, 81, 6, 68, 3, 20, 1, 100, 150, 2, 5, 19, 1, 1, 2, 11, 2, 16, 158, 37, 14, 111, 1, 23, 35, 68, 57, 17, 68, 11, 25, 2, 3, 1, 3]
CDC24	I	62840	65404	[62896, 62929, 62935, 63193, 63197, 63231, 63295, 63612, 63618, 63796, 63801, 63804, 63911, 64673, 64746, 64838, 64841, 64844, 64845, 65176, 65180, 65234, 65284, 65289]	[48, 4, 6, 64, 18, 44, 2, 30, 2, 29, 22, 1, 158, 95, 52, 25, 4, 1, 202, 13, 9, 15, 49, 1]
CLN3	I	65778	67520	[65804, 65834, 65840, 65844, 65978, 66095, 66151, 66174, 66211, 66216, 66289, 66336, 66432, 66640, 66645, 66682, 66708, 66712, 67187, 67192, 67296, 67311, 67416, 67421]	[32, 5, 20, 1, 11, 4, 182, 68, 1, 16, 1, 23, 1, 68, 6, 6, 6, 1, 19, 2, 3, 1, 1, 10]
CYC3	I	68716	69525	[68738, 68747, 68757, 68758, 68764, 68768, 68772, 68775, 68782, 68786, 68789, 68791, 68794, 68799, 68805, 68806, 68807, 68813, 68815, 68817, 68818, 68842, 68848, 68856, 68864, 68867, 68870, 68875, 68881, 68886, 68896, 68897, 68904, 68907, 68926, 68945, 68953, 68961, 68976, 68980, 68984, 68984, 68992, 68992, 68994, 68999, 69003, 69011, 69013, 69016, 69019, 69026, 69035, 69044, 69046, 69072, 69089, 69096, 69118, 69124, 69141, 69142, 69149, 69154, 69159, 69161, 69206, 69244, 69268, 69297, 69301, 69445, 69464, 69503, 69504, 69508]	[3, 30, 48, 7, 1, 26, 21, 4, 3, 39, 35, 36, 83, 8, 21, 5, 54, 2, 5, 7, 7, 20, 2, 4, 51, 16, 31, 2, 11, 12, 1, 57, 1, 15, 16, 11, 11, 38, 262, 5, 131, 1, 75, 1, 5, 34, 21, 2, 22, 77, 52, 23, 1, 3, 23, 398, 7, 7, 1, 193, 1, 2, 83, 33, 54, 2, 16, 15, 9, 8, 1, 8, 53, 28, 1, 52]
